UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,25.235346,75.896314,250.273,0,0,0,No Data,No Data
1179727276,2007-05-21T06:01:16Z,25.234560,75.898242,251.636,0.2129958,0,0,No Data,No Data
1179727334,2007-05-21T06:02:14Z,25.233751,75.899541,250.949,0.3717705,0,0,No Data,No Data
1179727406,2007-05-21T06:03:26Z,25.233250,75.901456,251.472,0.572566,0,0,No Data,No Data
1179727475,2007-05-21T06:04:35Z,25.233034,75.903359,251.327,0.7657832,0,0,No Data,No Data
1179727521,2007-05-21T06:05:21Z,25.233080,75.904620,250.303,0.8928907,0,0,No Data,No Data
1179727591,2007-05-21T06:06:31Z,25.232864,75.906523,249.172,1.086047,0,0,No Data,No Data
1179727638,2007-05-21T06:07:18Z,25.233195,75.907770,249.379,1.216995,0,0,No Data,No Data
1179727661,2007-05-21T06:07:41Z,25.233218,75.908400,250.197,1.280565,0,0,No Data,No Data
1179727743,2007-05-21T06:09:03Z,25.234427,75.910240,249.956,1.509648,0,0,No Data,No Data
1179727833,2007-05-21T06:10:33Z,25.235921,75.912067,250.481,1.757729,0,0,No Data,No Data
1179727865,2007-05-21T06:11:05Z,25.236514,75.912672,250.755,1.847604,0,0,No Data,No Data
1179727989,2007-05-21T06:13:09Z,25.238327,75.915432,250.522,2.191145,0,0,No Data,No Data
1179728021,2007-05-21T06:13:41Z,25.238920,75.916037,249.259,2.281016,0,0,No Data,No Data
1179728202,2007-05-21T06:16:42Z,25.241634,75.920019,250.001,2.783164,0,0,No Data,No Data
1179728300,2007-05-21T06:18:20Z,25.243139,75.922161,250.594,3.056413,0,0,No Data,No Data
1179728373,2007-05-21T06:19:33Z,25.243778,75.924027,248.702,3.25737,0,0,No Data,No Data
1179728446,2007-05-21T06:20:46Z,25.245249,75.925224,248.892,3.460769,0,0,No Data,No Data
1179728510,2007-05-21T06:21:50Z,25.246435,75.926434,249.8,3.640472,0,0,No Data,No Data
1179728552,2007-05-21T06:22:32Z,25.247313,75.927026,248.457,3.755022,0,0,No Data,No Data
1179728634,2007-05-21T06:23:54Z,25.249069,75.928211,248.639,3.9841,0,0,No Data,No Data
1179728696,2007-05-21T06:24:56Z,25.250517,75.928778,249.797,4.155168,0,0,No Data,No Data
1179728757,2007-05-21T06:25:57Z,25.251965,75.929345,250.496,4.32625,0,0,No Data,No Data
1179728844,2007-05-21T06:27:24Z,25.253995,75.930202,249.863,4.568193,0,0,No Data,No Data
1179728921,2007-05-21T06:28:41Z,25.255739,75.931072,250.665,4.781284,0,0,No Data,No Data
1179728998,2007-05-21T06:29:58Z,25.257484,75.931942,249.987,4.994429,0,0,No Data,No Data
1179729064,2007-05-21T06:31:04Z,25.258943,75.932824,249.879,5.179599,0,0,No Data,No Data
1179729129,2007-05-21T06:32:09Z,25.260129,75.934034,248.578,5.359265,0,0,No Data,No Data
1179729170,2007-05-21T06:32:50Z,25.260733,75.934954,249.873,5.473773,0,0,No Data,No Data
1179729205,2007-05-21T06:33:25Z,25.260767,75.935899,248.999,5.569092,0,0,No Data,No Data
1179729251,2007-05-21T06:34:11Z,25.260813,75.937160,249.196,5.696236,0,0,No Data,No Data
1179729319,2007-05-21T06:35:19Z,25.260883,75.939052,249.992,5.886973,0,0,No Data,No Data
1179729366,2007-05-21T06:36:06Z,25.260644,75.940327,250.255,6.018056,0,0,No Data,No Data
1179729459,2007-05-21T06:37:39Z,25.259586,75.942585,249.702,6.274122,0,0,No Data,No Data
1179729541,2007-05-21T06:39:01Z,25.258512,75.944525,251.0,6.503122,0,0,No Data,No Data
1179729573,2007-05-21T06:39:33Z,25.257964,75.945179,251.0,6.592917,0,0,No Data,No Data
1179729656,2007-05-21T06:40:56Z,25.256891,75.947120,250.706,6.821935,0,0,No Data,No Data
1179729713,2007-05-21T06:41:53Z,25.255785,75.948115,251.057,6.980673,0,0,No Data,No Data
1179729827,2007-05-21T06:43:47Z,25.254167,75.950713,251.0,7.298316,0,0,No Data,No Data
1179729894,2007-05-21T06:44:54Z,25.252776,75.951722,250.022,7.483518,0,0,No Data,No Data
1179729945,2007-05-21T06:45:45Z,25.251658,75.952403,249.984,7.62554,0,0,No Data,No Data
1179730018,2007-05-21T06:46:58Z,25.250279,75.953726,249.0,7.828837,0,0,No Data,No Data
1179730085,2007-05-21T06:48:05Z,25.248888,75.954735,249.333,8.014046,0,0,No Data,No Data
1179730142,2007-05-21T06:49:02Z,25.248078,75.956033,246.787,8.172867,0,0,No Data,No Data
1179730191,2007-05-21T06:49:51Z,25.247257,75.957017,249.467,8.30763,0,0,No Data,No Data
1179730257,2007-05-21T06:50:57Z,25.245866,75.958025,249.0,8.49276,0,0,No Data,No Data
1179730334,2007-05-21T06:52:14Z,25.244190,75.959046,247.173,8.705769,0,0,No Data,No Data
1179730370,2007-05-21T06:52:50Z,25.243346,75.959399,246.291,8.80616,0,0,No Data,No Data
1179730417,2007-05-21T06:53:37Z,25.242217,75.959765,246.677,8.937045,0,0,No Data,No Data
1179730486,2007-05-21T06:54:46Z,25.240508,75.959841,247.862,9.127453,0,0,No Data,No Data
1179730547,2007-05-21T06:55:47Z,25.239105,75.960536,245.927,9.298548,0,0,No Data,No Data
1179730594,2007-05-21T06:56:34Z,25.237977,75.960904,245.354,9.429488,0,0,No Data,No Data
1179730646,2007-05-21T06:57:26Z,25.236859,75.961583,243.277,9.571488,0,0,No Data,No Data
1179730754,2007-05-21T06:59:14Z,25.234327,75.962640,245.403,9.872741,0,0,No Data,No Data
1179730846,2007-05-21T07:00:46Z,25.232377,75.963989,245.969,10.1288,0,0,No Data,No Data
1179730893,2007-05-21T07:01:33Z,25.231248,75.964355,246.614,10.25971,0,0,No Data,No Data
1179730942,2007-05-21T07:02:22Z,25.230427,75.965338,246.802,10.39444,0,0,No Data,No Data
1179731023,2007-05-21T07:03:43Z,25.229058,75.966977,247.27,10.61905,0,0,No Data,No Data
1179731096,2007-05-21T07:04:56Z,25.227975,75.968603,247.37,10.82241,0,0,No Data,No Data
1179731153,2007-05-21T07:05:53Z,25.227165,75.969901,245.938,10.98124,0,0,No Data,No Data
1179731267,2007-05-21T07:07:47Z,25.225545,75.972497,245.992,11.29881,0,0,No Data,No Data
1179731359,2007-05-21T07:09:19Z,25.224485,75.974751,247.268,11.55472,0,0,No Data,No Data
1179731411,2007-05-21T07:10:11Z,25.223960,75.976038,247.185,11.69689,0,0,No Data,No Data
1179731447,2007-05-21T07:10:47Z,25.223708,75.976999,247.051,11.79771,0,0,No Data,No Data
1179731498,2007-05-21T07:11:38Z,25.223182,75.978291,246.093,11.94036,0,0,No Data,No Data
1179731579,2007-05-21T07:12:59Z,25.223261,75.980505,238.971,12.16354,0,0,No Data,No Data
1179731662,2007-05-21T07:14:22Z,25.222770,75.982734,240.027,12.3946,0,0,No Data,No Data
1179731708,2007-05-21T07:15:08Z,25.222816,75.983992,240.162,12.52145,0,0,No Data,No Data
1179731759,2007-05-21T07:15:59Z,25.222291,75.985277,244.583,12.6635,0,0,No Data,No Data
1179731842,2007-05-21T07:17:22Z,25.221799,75.987509,240.018,12.89493,0,0,No Data,No Data
1179731889,2007-05-21T07:18:09Z,25.221560,75.988779,242.781,13.0256,0,0,No Data,No Data
1179731947,2007-05-21T07:19:07Z,25.221332,75.990363,243.219,13.18714,0,0,No Data,No Data
1179732045,2007-05-21T07:20:45Z,25.220567,75.992925,248.334,13.45893,0,0,No Data,No Data
1179732128,2007-05-21T07:22:08Z,25.220076,75.995156,248.096,13.69021,0,0,No Data,No Data
1179732164,2007-05-21T07:22:44Z,25.219824,75.996114,248.733,13.79074,0,0,No Data,No Data
1179732245,2007-05-21T07:24:05Z,25.219618,75.998335,246.916,14.01563,0,0,No Data,No Data
1179732326,2007-05-21T07:25:26Z,25.219696,76.000544,245.957,14.2383,0,0,No Data,No Data
1179732371,2007-05-21T07:26:11Z,25.219741,76.001806,244.993,14.36554,0,0,No Data,No Data
1179732451,2007-05-21T07:27:31Z,25.219821,76.004008,244.091,14.5876,0,0,No Data,No Data
1179732531,2007-05-21T07:28:51Z,25.219901,76.006204,241.518,14.80899,0,0,No Data,No Data
1179732593,2007-05-21T07:29:53Z,25.220528,76.007756,245.054,14.98022,0,0,No Data,No Data
1179732651,2007-05-21T07:30:51Z,25.220869,76.009320,247.008,15.14233,0,0,No Data,No Data
1179732749,2007-05-21T07:32:29Z,25.222373,76.011466,247.717,15.41582,0,0,No Data,No Data
1179732855,2007-05-21T07:34:15Z,25.224162,76.013599,247.327,15.70883,0,0,No Data,No Data
1179732945,2007-05-21T07:35:45Z,25.225655,76.015429,248.11,15.95711,0,0,No Data,No Data
1179733041,2007-05-21T07:37:21Z,25.227434,76.017246,247.866,16.22678,0,0,No Data,No Data
1179733131,2007-05-21T07:38:51Z,25.229200,76.018747,247.503,16.47491,0,0,No Data,No Data
1179733198,2007-05-21T07:39:58Z,25.230660,76.019631,248.089,16.66026,0,0,No Data,No Data
1179733278,2007-05-21T07:41:18Z,25.232142,76.021145,247.41,16.88493,0,0,No Data,No Data
1179733365,2007-05-21T07:42:45Z,25.234171,76.022003,246.598,17.12687,0,0,No Data,No Data
1179733391,2007-05-21T07:43:11Z,25.234753,76.022293,246.777,17.19799,0,0,No Data,No Data
1179733471,2007-05-21T07:44:31Z,25.236749,76.022209,247.901,17.42037,0,0,No Data,No Data
1179733487,2007-05-21T07:44:47Z,25.237045,76.022512,247.545,17.46538,0,0,No Data,No Data
1179733579,2007-05-21T07:46:19Z,25.239326,76.022415,246.879,17.71957,0,0,No Data,No Data
1179733648,2007-05-21T07:47:28Z,25.241037,76.022341,245.898,17.91024,0,0,No Data,No Data
1179733706,2007-05-21T07:48:26Z,25.242451,76.021964,245.942,18.07226,0,0,No Data,No Data
1179733763,2007-05-21T07:49:23Z,25.243558,76.020968,245.389,18.23118,0,0,No Data,No Data
1179733810,2007-05-21T07:50:10Z,25.244687,76.020603,246.103,18.36222,0,0,No Data,No Data
1179733856,2007-05-21T07:50:56Z,25.245828,76.020553,246.334,18.48939,0,0,No Data,No Data
1179733890,2007-05-21T07:51:30Z,25.246683,76.020516,246.23,18.58474,0,0,No Data,No Data
1179733937,2007-05-21T07:52:17Z,25.247835,76.020781,245.149,18.71581,0,0,No Data,No Data
1179733995,2007-05-21T07:53:15Z,25.249009,76.021677,245.385,18.87473,0,0,No Data,No Data
1179734043,2007-05-21T07:54:03Z,25.249898,76.022586,246.0,19.00962,0,0,No Data,No Data
1179734126,2007-05-21T07:55:26Z,25.251654,76.023772,245.542,19.23881,0,0,No Data,No Data
1179734199,2007-05-21T07:56:39Z,25.253125,76.024973,246.507,19.44244,0,0,No Data,No Data
1179734261,2007-05-21T07:57:41Z,25.253752,76.026527,245.744,19.61382,0,0,No Data,No Data
1179734318,2007-05-21T07:58:38Z,25.254653,76.027754,245.416,19.77302,0,0,No Data,No Data
1179734401,2007-05-21T08:00:01Z,25.255861,76.029599,246.002,20.00243,0,0,No Data,No Data
1179734483,2007-05-21T08:01:23Z,25.257070,76.031443,245.023,20.23181,0,0,No Data,No Data
1179734573,2007-05-21T08:02:53Z,25.258563,76.033274,244.912,20.48014,0,0,No Data,No Data
1179734630,2007-05-21T08:03:50Z,25.259464,76.034499,245.043,20.63919,0,0,No Data,No Data
1179734687,2007-05-21T08:04:47Z,25.260364,76.035724,245.432,20.79823,0,0,No Data,No Data
1179734745,2007-05-21T08:05:45Z,25.261265,76.036948,245.005,20.95727,0,0,No Data,No Data
1179734809,2007-05-21T08:06:49Z,25.262450,76.038160,242.911,21.13711,0,0,No Data,No Data
1179734876,2007-05-21T08:07:56Z,25.263910,76.039045,243.944,21.32257,0,0,No Data,No Data
1179734941,2007-05-21T08:09:01Z,25.265096,76.040259,244.761,21.50261,0,0,No Data,No Data
1179735014,2007-05-21T08:10:14Z,25.266567,76.041461,244.237,21.70633,0,0,No Data,No Data
1179735103,2007-05-21T08:11:43Z,25.268335,76.042966,243.881,21.9548,0,0,No Data,No Data
1179735184,2007-05-21T08:13:04Z,25.269818,76.044482,243.432,22.17972,0,0,No Data,No Data
1179735290,2007-05-21T08:14:50Z,25.271883,76.046294,242.856,22.47331,0,0,No Data,No Data
