UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,26.818469,93.762964,78.163,0,0,0,No Data,No Data
1179727620,2007-05-21T06:07:00Z,26.828961,93.762594,78.726,1.168674,0,0,No Data,No Data
1179728344,2007-05-21T06:19:04Z,26.847012,93.761957,78.22,3.179361,0,0,No Data,No Data
1179728974,2007-05-21T06:29:34Z,26.862199,93.766490,83.134,4.929157,0,0,No Data,No Data
1179729741,2007-05-21T06:42:21Z,26.880513,93.772632,78.098,7.057348,0,0,No Data,No Data
1179730338,2007-05-21T06:52:18Z,26.894330,93.778955,81.956,8.718906,0,0,No Data,No Data
1179731102,2007-05-21T07:05:02Z,26.911321,93.788603,83.455,10.83927,0,0,No Data,No Data
1179731952,2007-05-21T07:19:12Z,26.929953,93.799955,86.88,13.19993,0,0,No Data,No Data
1179732516,2007-05-21T07:28:36Z,26.940915,93.809876,81.183,14.7681,0,0,No Data,No Data
1179732910,2007-05-21T07:35:10Z,26.948756,93.816492,85.331,15.86049,0,0,No Data,No Data
1179733344,2007-05-21T07:42:24Z,26.956640,93.824834,82.776,17.0671,0,0,No Data,No Data
1179733779,2007-05-21T07:49:39Z,26.964540,93.833194,83.701,18.27617,0,0,No Data,No Data
1179734002,2007-05-21T07:53:22Z,26.969260,93.836504,89.329,18.89593,0,0,No Data,No Data
1179734439,2007-05-21T08:00:39Z,26.977185,93.844891,84.343,20.10882,0,0,No Data,No Data
1179734747,2007-05-21T08:05:47Z,26.981975,93.851650,89.296,20.96562,0,0,No Data,No Data
1179735318,2007-05-21T08:15:18Z,26.991545,93.863474,84.735,22.55033,0,0,No Data,No Data
1179735757,2007-05-21T08:22:37Z,26.999517,93.871916,87.372,23.77064,0,0,No Data,No Data
1179736021,2007-05-21T08:27:01Z,27.004309,93.876990,86.599,24.50415,0,0,No Data,No Data
1179736507,2007-05-21T08:35:07Z,27.012336,93.887187,84.444,25.8539,0,0,No Data,No Data
1179736772,2007-05-21T08:39:32Z,27.017143,93.892281,83.717,26.58997,0,0,No Data,No Data
1179737126,2007-05-21T08:45:26Z,27.023562,93.899083,85.299,27.57278,0,0,No Data,No Data
1179737438,2007-05-21T08:50:38Z,27.028411,93.905922,84.72,28.43965,0,0,No Data,No Data
1179738059,2007-05-21T09:00:59Z,27.039682,93.917873,87.655,30.1657,0,0,No Data,No Data
1179738461,2007-05-21T09:07:41Z,27.046165,93.926453,89.0,31.28141,0,0,No Data,No Data
1179738818,2007-05-21T09:13:38Z,27.052630,93.933313,92.475,32.27178,0,0,No Data,No Data
1179739221,2007-05-21T09:20:21Z,27.059134,93.941922,88.106,33.39115,0,0,No Data,No Data
1179739587,2007-05-21T09:26:27Z,27.064054,93.950561,88.97,34.40783,0,0,No Data,No Data
1179740035,2007-05-21T09:33:55Z,27.072175,93.959187,89.068,35.65236,0,0,No Data,No Data
1179740529,2007-05-21T09:42:09Z,27.080346,93.969575,87.037,37.02638,0,0,No Data,No Data
1179741070,2007-05-21T09:51:10Z,27.090138,93.979978,89.886,38.52704,0,0,No Data,No Data
1179741705,2007-05-21T10:01:45Z,27.100012,93.993905,84.0,40.29161,0,0,No Data,No Data
1179742067,2007-05-21T10:07:47Z,27.106570,94.000878,84.048,41.29697,0,0,No Data,No Data
1179742339,2007-05-21T10:12:19Z,27.111495,94.006117,85.388,42.05219,0,0,No Data,No Data
1179742764,2007-05-21T10:19:24Z,27.116512,94.016617,85.941,43.23318,0,0,No Data,No Data
1179743388,2007-05-21T10:29:48Z,27.123238,94.032394,86.114,44.96662,0,0,No Data,No Data
1179743814,2007-05-21T10:36:54Z,27.128268,94.042930,86.04,46.15137,0,0,No Data,No Data
1179744242,2007-05-21T10:44:02Z,27.133308,94.053483,85.035,47.33804,0,0,No Data,No Data
1179744625,2007-05-21T10:50:25Z,27.135103,94.064031,88.589,48.40206,0,0,No Data,No Data
1179744938,2007-05-21T10:55:38Z,27.135245,94.072815,93.482,49.27256,0,0,No Data,No Data
1179745260,2007-05-21T11:01:00Z,27.137011,94.081615,87.099,50.16637,0,0,No Data,No Data
1179745699,2007-05-21T11:08:19Z,27.137209,94.093919,86.193,51.38565,0,0,No Data,No Data
1179746075,2007-05-21T11:14:35Z,27.137377,94.104467,86.433,52.43093,0,0,No Data,No Data
1179746639,2007-05-21T11:23:59Z,27.137625,94.120291,85.053,53.99899,0,0,No Data,No Data
1179747078,2007-05-21T11:31:18Z,27.137817,94.132601,84.59,55.21881,0,0,No Data,No Data
1179747643,2007-05-21T11:40:43Z,27.138068,94.148434,85.886,56.7877,0,0,No Data,No Data
1179748208,2007-05-21T11:50:08Z,27.138318,94.164270,85.002,58.3569,0,0,No Data,No Data
1179748900,2007-05-21T12:01:40Z,27.136993,94.183594,85.54,60.27709,0,0,No Data,No Data
1179749317,2007-05-21T12:08:37Z,27.132280,94.194038,85.85,61.43728,0,0,No Data,No Data
1179749711,2007-05-21T12:15:11Z,27.129192,94.204510,85.575,62.5303,0,0,No Data,No Data
1179750556,2007-05-21T12:29:16Z,27.123053,94.227191,87.54,64.8793,0,0,No Data,No Data
1179751087,2007-05-21T12:38:07Z,27.118409,94.241110,88.12,66.35227,0,0,No Data,No Data
