UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,26.820542,93.609313,75.651,0,0,0,No Data,No Data
1179727997,2007-05-21T06:13:17Z,26.840162,93.613038,74.931,2.215427,0,0,No Data,No Data
1179729345,2007-05-21T06:35:45Z,26.873641,93.616340,79.775,5.957034,0,0,No Data,No Data
1179731025,2007-05-21T07:03:45Z,26.915313,93.621620,84.61,10.62599,0,0,No Data,No Data
1179732653,2007-05-21T07:30:53Z,26.955350,93.629220,101.985,15.14675,0,0,No Data,No Data
1179734104,2007-05-21T07:55:04Z,26.991545,93.630353,258.596,19.17795,0,0,No Data,No Data
1179734746,2007-05-21T08:05:46Z,27.005671,93.638845,476.83,20.96202,0,0,No Data,No Data
1179735517,2007-05-21T08:18:37Z,27.024105,93.644973,233.493,23.10246,0,0,No Data,No Data
1179735953,2007-05-21T08:25:53Z,27.034324,93.649142,246.706,24.31302,0,0,No Data,No Data
1179737007,2007-05-21T08:43:27Z,27.058937,93.659630,250.54,27.24399,0,0,No Data,No Data
1179738212,2007-05-21T09:03:32Z,27.085882,93.674589,158.658,30.59036,0,0,No Data,No Data
1179739394,2007-05-21T09:23:14Z,27.110998,93.691926,143.504,33.8723,0,0,No Data,No Data
1179739761,2007-05-21T09:29:21Z,27.119308,93.696233,190.8,34.89123,0,0,No Data,No Data
1179740334,2007-05-21T09:38:54Z,27.129724,93.707255,139.679,36.4842,0,0,No Data,No Data
1179740566,2007-05-21T09:42:46Z,27.133959,93.711667,143.26,37.12723,0,0,No Data,No Data
1179741220,2007-05-21T09:53:40Z,27.142572,93.727264,137.146,38.94588,0,0,No Data,No Data
1179741583,2007-05-21T09:59:43Z,27.146905,93.736202,136.33,39.95432,0,0,No Data,No Data
1179742172,2007-05-21T10:09:32Z,27.151373,93.751918,134.612,41.58883,0,0,No Data,No Data
1179743120,2007-05-21T10:25:20Z,27.160142,93.776622,217.582,44.2236,0,0,No Data,No Data
1179743923,2007-05-21T10:38:43Z,27.168890,93.796859,291.628,46.45216,0,0,No Data,No Data
1179744828,2007-05-21T10:53:48Z,27.173536,93.821704,350.95,48.96677,0,0,No Data,No Data
1179745889,2007-05-21T11:11:29Z,27.184484,93.848801,258.761,51.91426,0,0,No Data,No Data
1179746818,2007-05-21T11:26:58Z,27.191252,93.873722,142.225,54.49472,0,0,No Data,No Data
1179748424,2007-05-21T11:53:44Z,27.202667,93.916898,117.703,58.95503,0,0,No Data,No Data
1179749278,2007-05-21T12:07:58Z,27.209379,93.939655,112.048,61.32897,0,0,No Data,No Data
1179750015,2007-05-21T12:20:15Z,27.211836,93.960147,111.793,63.37628,0,0,No Data,No Data
1179750914,2007-05-21T12:35:14Z,27.214372,93.985211,103.938,65.87384,0,0,No Data,No Data
1179752310,2007-05-21T12:58:30Z,27.219244,94.023994,97.39,69.75164,0,0,No Data,No Data
1179753611,2007-05-21T13:20:11Z,27.219833,94.060475,92.972,73.36398,0,0,No Data,No Data
1179754505,2007-05-21T13:35:05Z,27.220240,94.085569,91.605,75.84878,0,0,No Data,No Data
1179755330,2007-05-21T13:48:50Z,27.216373,94.108297,96.312,78.13976,0,0,No Data,No Data
1179755981,2007-05-21T13:59:41Z,27.216664,94.126550,89.0,79.94717,0,0,No Data,No Data
1179756491,2007-05-21T14:08:11Z,27.212650,94.140136,86.732,81.36455,0,0,No Data,No Data
1179757157,2007-05-21T14:19:17Z,27.208710,94.158274,87.024,83.2132,0,0,No Data,No Data
1179757890,2007-05-21T14:31:30Z,27.206918,94.178742,86.0,85.24964,0,0,No Data,No Data
1179758134,2007-05-21T14:35:34Z,27.207024,94.185585,87.127,85.92737,0,0,No Data,No Data
1179758466,2007-05-21T14:41:06Z,27.205052,94.194645,87.511,86.8509,0,0,No Data,No Data
1179759154,2007-05-21T14:52:34Z,27.198998,94.212684,86.177,88.76002,0,0,No Data,No Data
1179760136,2007-05-21T15:08:56Z,27.195202,94.239902,85.429,91.48818,0,0,No Data,No Data
1179760707,2007-05-21T15:18:27Z,27.193339,94.255788,88.993,93.07489,0,0,No Data,No Data
1179761358,2007-05-21T15:29:18Z,27.191509,94.273950,89.664,94.88487,0,0,No Data,No Data
1179761943,2007-05-21T15:39:03Z,27.187536,94.289740,89.211,96.50986,0,0,No Data,No Data
1179762197,2007-05-21T15:43:17Z,27.185533,94.296491,86.946,97.21464,0,0,No Data,No Data
1179762782,2007-05-21T15:53:02Z,27.181563,94.312267,89.821,98.83833,0,0,No Data,No Data
1179763182,2007-05-21T15:59:42Z,27.175393,94.321104,86.674,99.95092,0,0,No Data,No Data
1179763648,2007-05-21T16:07:28Z,27.169262,94.332207,85.663,101.2452,0,0,No Data,No Data
1179764048,2007-05-21T16:14:08Z,27.163103,94.341019,89.214,102.3552,0,0,No Data,No Data
1179764388,2007-05-21T16:19:48Z,27.156917,94.347547,89.317,103.2999,0,0,No Data,No Data
1179765073,2007-05-21T16:31:13Z,27.146693,94.362958,92.841,105.2042,0,0,No Data,No Data
