UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,22.046840,74.672714,192.714,0,0,0,No Data,No Data
1179727340,2007-05-21T06:02:20Z,22.047869,74.676322,191.236,0.3895391,0,0,No Data,No Data
1179727426,2007-05-21T06:03:46Z,22.048857,74.678373,165.051,0.6281704,0,0,No Data,No Data
1179727581,2007-05-21T06:06:21Z,22.050839,74.681963,133.858,1.059378,0,0,No Data,No Data
1179727720,2007-05-21T06:08:40Z,22.052821,74.685034,133.408,1.445588,0,0,No Data,No Data
1179727876,2007-05-21T06:11:16Z,22.054813,74.688625,140.767,1.877459,0,0,No Data,No Data
1179728031,2007-05-21T06:13:51Z,22.056811,74.692212,141.689,2.309359,0,0,No Data,No Data
1179728197,2007-05-21T06:16:37Z,22.059288,74.695788,141.98,2.770085,0,0,No Data,No Data
1179728224,2007-05-21T06:17:04Z,22.059779,74.696296,147.771,2.84589,0,0,No Data,No Data
1179728364,2007-05-21T06:19:24Z,22.061758,74.699371,156.205,3.232238,0,0,No Data,No Data
1179728460,2007-05-21T06:21:00Z,22.063713,74.700882,160.154,3.50006,0,0,No Data,No Data
1179728503,2007-05-21T06:21:43Z,22.064214,74.701909,157.655,3.619898,0,0,No Data,No Data
1179728642,2007-05-21T06:24:02Z,22.066196,74.704982,147.851,4.006197,0,0,No Data,No Data
1179728738,2007-05-21T06:25:38Z,22.067677,74.707026,146.222,4.273991,0,0,No Data,No Data
1179728825,2007-05-21T06:27:05Z,22.068678,74.709081,141.727,4.513625,0,0,No Data,No Data
1179728942,2007-05-21T06:29:02Z,22.069219,74.712182,140.796,4.839194,0,0,No Data,No Data
1179729040,2007-05-21T06:30:40Z,22.069749,74.714763,138.29,5.112015,0,0,No Data,No Data
1179729144,2007-05-21T06:32:24Z,22.070759,74.717338,133.017,5.400552,0,0,No Data,No Data
1179729309,2007-05-21T06:35:09Z,22.072280,74.721460,138.976,5.858316,0,0,No Data,No Data
1179729370,2007-05-21T06:36:10Z,22.072790,74.723007,141.528,6.027765,0,0,No Data,No Data
1179729468,2007-05-21T06:37:48Z,22.073320,74.725595,135.819,6.301298,0,0,No Data,No Data
1179729555,2007-05-21T06:39:15Z,22.074320,74.727655,138.605,6.541288,0,0,No Data,No Data
1179729634,2007-05-21T06:40:34Z,22.074840,74.729724,139.721,6.762531,0,0,No Data,No Data
1179729790,2007-05-21T06:43:10Z,22.076833,74.733312,142.444,7.194188,0,0,No Data,No Data
1179729967,2007-05-21T06:46:07Z,22.077882,74.737961,143.0,7.687902,0,0,No Data,No Data
1179730029,2007-05-21T06:47:09Z,22.078392,74.739507,144.525,7.857258,0,0,No Data,No Data
1179730222,2007-05-21T06:50:22Z,22.078970,74.744686,140.193,8.39551,0,0,No Data,No Data
1179730438,2007-05-21T06:53:58Z,22.081472,74.749824,146.0,8.994335,0,0,No Data,No Data
1179730578,2007-05-21T06:56:18Z,22.082502,74.753436,154.749,9.384268,0,0,No Data,No Data
1179730694,2007-05-21T06:58:14Z,22.082560,74.756552,147.068,9.705812,0,0,No Data,No Data
1179730810,2007-05-21T07:00:10Z,22.082618,74.759667,153.572,10.02727,0,0,No Data,No Data
1179730925,2007-05-21T07:02:05Z,22.082676,74.762782,166.076,10.34876,0,0,No Data,No Data
1179731041,2007-05-21T07:04:01Z,22.082734,74.765897,155.523,10.67028,0,0,No Data,No Data
1179731177,2007-05-21T07:06:17Z,22.083282,74.769519,155.733,11.04896,0,0,No Data,No Data
1179731313,2007-05-21T07:08:33Z,22.083350,74.773159,141.427,11.42464,0,0,No Data,No Data
1179731467,2007-05-21T07:11:07Z,22.083427,74.777317,128.968,11.8537,0,0,No Data,No Data
1179731602,2007-05-21T07:13:22Z,22.083495,74.780956,134.717,12.22923,0,0,No Data,No Data
1179731776,2007-05-21T07:16:16Z,22.083581,74.785635,128.367,12.71211,0,0,No Data,No Data
1179731911,2007-05-21T07:18:31Z,22.083649,74.789275,126.401,13.08779,0,0,No Data,No Data
1179732008,2007-05-21T07:20:08Z,22.083697,74.791876,128.423,13.35618,0,0,No Data,No Data
1179732066,2007-05-21T07:21:06Z,22.083726,74.793436,129.107,13.51718,0,0,No Data,No Data
1179732213,2007-05-21T07:23:33Z,22.082350,74.797106,131.33,13.92563,0,0,No Data,No Data
1179732354,2007-05-21T07:25:54Z,22.081454,74.800768,124.393,14.31634,0,0,No Data,No Data
1179732440,2007-05-21T07:27:20Z,22.080530,74.802871,126.166,14.55649,0,0,No Data,No Data
1179732544,2007-05-21T07:29:04Z,22.079615,74.805495,128.759,14.84571,0,0,No Data,No Data
1179732681,2007-05-21T07:31:21Z,22.079201,74.809140,130.941,15.2246,0,0,No Data,No Data
1179732784,2007-05-21T07:33:04Z,22.078285,74.811747,126.41,15.51223,0,0,No Data,No Data
1179732827,2007-05-21T07:33:47Z,22.077823,74.812791,129.087,15.63163,0,0,No Data,No Data
1179732964,2007-05-21T07:36:04Z,22.077408,74.816437,129.894,16.01059,0,0,No Data,No Data
1179733068,2007-05-21T07:37:48Z,22.076493,74.819060,137.007,16.29981,0,0,No Data,No Data
1179733185,2007-05-21T07:39:45Z,22.076069,74.822195,140.082,16.62669,0,0,No Data,No Data
1179733224,2007-05-21T07:40:24Z,22.076088,74.823231,140.84,16.73362,0,0,No Data,No Data
1179733341,2007-05-21T07:42:21Z,22.075663,74.826351,138.815,17.05898,0,0,No Data,No Data
