UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,22.463778,87.142414,49.055,0,0,0,No Data,No Data
1179727356,2007-05-21T06:02:36Z,22.460308,87.144313,47.435,0.4328999,0,0,No Data,No Data
1179727533,2007-05-21T06:05:33Z,22.455964,87.145275,46.773,0.9265239,0,0,No Data,No Data
1179727745,2007-05-21T06:09:05Z,22.450749,87.146242,45.441,1.515515,0,0,No Data,No Data
1179727844,2007-05-21T06:10:44Z,22.449017,87.148133,44.043,1.789406,0,0,No Data,No Data
1179728018,2007-05-21T06:13:38Z,22.446423,87.151910,45.623,2.273603,0,0,No Data,No Data
1179728290,2007-05-21T06:18:10Z,22.442098,87.157578,45.433,3.029972,0,0,No Data,No Data
1179728591,2007-05-21T06:23:11Z,22.437775,87.164187,39.635,3.863104,0,0,No Data,No Data
1179728738,2007-05-21T06:25:38Z,22.435178,87.167023,42.674,4.273919,0,0,No Data,No Data
1179728985,2007-05-21T06:29:45Z,22.430849,87.171748,38.919,4.958524,0,0,No Data,No Data
1179729124,2007-05-21T06:32:04Z,22.430864,87.175511,38.977,5.345866,0,0,No Data,No Data
1179729229,2007-05-21T06:33:49Z,22.430876,87.178334,38.002,5.63645,0,0,No Data,No Data
1179729403,2007-05-21T06:36:43Z,22.430895,87.183039,38.379,6.120665,0,0,No Data,No Data
1179729543,2007-05-21T06:39:03Z,22.430910,87.186803,37.985,6.508012,0,0,No Data,No Data
1179729787,2007-05-21T06:43:07Z,22.430935,87.193389,36.0,7.185828,0,0,No Data,No Data
1179729891,2007-05-21T06:44:51Z,22.430946,87.196212,36.26,7.476385,0,0,No Data,No Data
1179730138,2007-05-21T06:48:58Z,22.431841,87.202795,43.971,8.161118,0,0,No Data,No Data
1179730326,2007-05-21T06:52:06Z,22.433598,87.207491,45.293,8.682558,0,0,No Data,No Data
1179730451,2007-05-21T06:54:11Z,22.435348,87.210306,53.89,9.031759,0,0,No Data,No Data
1179730625,2007-05-21T06:57:05Z,22.435366,87.215011,49.861,9.515953,0,0,No Data,No Data
1179730869,2007-05-21T07:01:09Z,22.435392,87.221597,54.698,10.19376,0,0,No Data,No Data
1179731114,2007-05-21T07:05:14Z,22.435417,87.228184,52.038,10.87163,0,0,No Data,No Data
1179731411,2007-05-21T07:10:11Z,22.432836,87.235723,53.263,11.69895,0,0,No Data,No Data
1179731567,2007-05-21T07:12:47Z,22.431111,87.239495,49.88,12.13199,0,0,No Data,No Data
1179731848,2007-05-21T07:17:28Z,22.427657,87.246097,46.053,12.91263,0,0,No Data,No Data
1179732023,2007-05-21T07:20:23Z,22.425062,87.249872,48.48,13.39676,0,0,No Data,No Data
1179732101,2007-05-21T07:21:41Z,22.424199,87.251758,44.71,13.61331,0,0,No Data,No Data
1179732366,2007-05-21T07:26:06Z,22.421614,87.258356,33.002,14.35081,0,0,No Data,No Data
1179732575,2007-05-21T07:29:35Z,22.421634,87.264002,32.22,14.9319,0,0,No Data,No Data
1179732680,2007-05-21T07:31:20Z,22.421644,87.266825,32.159,15.22245,0,0,No Data,No Data
1179732994,2007-05-21T07:36:34Z,22.421674,87.275294,31.003,16.09408,0,0,No Data,No Data
1179733098,2007-05-21T07:38:18Z,22.421684,87.278117,46.178,16.3847,0,0,No Data,No Data
1179733238,2007-05-21T07:40:38Z,22.421697,87.281882,53.176,16.77222,0,0,No Data,No Data
1179733412,2007-05-21T07:43:32Z,22.421713,87.286587,37.235,17.25652,0,0,No Data,No Data
1179733693,2007-05-21T07:48:13Z,22.420868,87.294118,43.715,18.03726,0,0,No Data,No Data
1179733947,2007-05-21T07:52:27Z,22.419150,87.300710,55.106,18.74219,0,0,No Data,No Data
1179734121,2007-05-21T07:55:21Z,22.419166,87.305415,51.996,19.22642,0,0,No Data,No Data
1179734368,2007-05-21T07:59:28Z,22.418317,87.312004,50.187,19.91109,0,0,No Data,No Data
1179734649,2007-05-21T08:04:09Z,22.417471,87.319533,40.633,20.69173,0,0,No Data,No Data
1179734837,2007-05-21T08:07:17Z,22.415747,87.324247,39.89,21.21351,0,0,No Data,No Data
1179735186,2007-05-21T08:13:06Z,22.415777,87.333662,31.738,22.18255,0,0,No Data,No Data
1179735363,2007-05-21T08:16:03Z,22.414922,87.338373,31.956,22.6767,0,0,No Data,No Data
1179735538,2007-05-21T08:18:58Z,22.414937,87.343081,31.935,23.16132,0,0,No Data,No Data
1179735750,2007-05-21T08:22:30Z,22.414085,87.348734,31.144,23.75087,0,0,No Data,No Data
1179735962,2007-05-21T08:26:02Z,22.413233,87.354388,30.646,24.34047,0,0,No Data,No Data
1179736244,2007-05-21T08:30:44Z,22.412386,87.361925,30.502,25.12193,0,0,No Data,No Data
1179736388,2007-05-21T08:33:08Z,22.411527,87.365695,29.139,25.52154,0,0,No Data,No Data
1179736532,2007-05-21T08:35:32Z,22.410668,87.369464,27.944,25.92111,0,0,No Data,No Data
1179736744,2007-05-21T08:39:04Z,22.409815,87.375117,28.0,26.51069,0,0,No Data,No Data
1179736964,2007-05-21T08:42:44Z,22.408091,87.380773,26.051,27.12371,0,0,No Data,No Data
1179737104,2007-05-21T08:45:04Z,22.408102,87.384540,29.79,27.51152,0,0,No Data,No Data
1179737209,2007-05-21T08:46:49Z,22.408110,87.387366,26.556,27.8024,0,0,No Data,No Data
1179737383,2007-05-21T08:49:43Z,22.408123,87.392075,26.891,28.28709,0,0,No Data,No Data
1179737587,2007-05-21T08:53:07Z,22.410747,87.396775,26.352,28.85229,0,0,No Data,No Data
1179737761,2007-05-21T08:56:01Z,22.414235,87.399590,29.567,29.33684,0,0,No Data,No Data
1179737985,2007-05-21T08:59:45Z,22.418596,87.403343,27.364,29.95736,0,0,No Data,No Data
1179738110,2007-05-21T09:01:50Z,22.420344,87.406164,27.061,30.30699,0,0,No Data,No Data
1179738258,2007-05-21T09:04:18Z,22.422963,87.408983,24.975,30.71835,0,0,No Data,No Data
1179738602,2007-05-21T09:10:02Z,22.426467,87.417454,26.706,31.67344,0,0,No Data,No Data
1179738823,2007-05-21T09:13:43Z,22.428223,87.423103,24.845,32.28685,0,0,No Data,No Data
1179739001,2007-05-21T09:16:41Z,22.429106,87.427811,23.42,32.7813,0,0,No Data,No Data
1179739071,2007-05-21T09:17:51Z,22.429111,87.429696,23.702,32.97529,0,0,No Data,No Data
1179739353,2007-05-21T09:22:33Z,22.430001,87.437231,23.001,33.75701,0,0,No Data,No Data
1179739599,2007-05-21T09:26:39Z,22.430888,87.443824,21.934,34.44267,0,0,No Data,No Data
1179739774,2007-05-21T09:29:34Z,22.430900,87.448535,23.636,34.92752,0,0,No Data,No Data
1179739977,2007-05-21T09:32:57Z,22.428300,87.453253,23.131,35.49275,0,0,No Data,No Data
1179740133,2007-05-21T09:35:33Z,22.426569,87.457027,22.95,35.92632,0,0,No Data,No Data
1179740238,2007-05-21T09:37:18Z,22.426576,87.459855,22.197,36.21736,0,0,No Data,No Data
1179740511,2007-05-21T09:41:51Z,22.431810,87.464556,20.532,36.97482,0,0,No Data,No Data
1179740637,2007-05-21T09:43:57Z,22.434426,87.466436,20.004,37.32456,0,0,No Data,No Data
1179740811,2007-05-21T09:46:51Z,22.438779,87.466427,19.846,37.80919,0,0,No Data,No Data
