UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,14.482327,79.845227,22.875,0,0,0,No Data,No Data
1179727268,2007-05-21T06:01:08Z,14.482204,79.846983,26.254,0.1897822,0,0,No Data,No Data
1179727502,2007-05-21T06:05:02Z,14.481782,79.853002,24.222,0.8403082,0,0,No Data,No Data
1179727688,2007-05-21T06:08:08Z,14.481446,79.857768,26.188,1.355416,0,0,No Data,No Data
1179727875,2007-05-21T06:11:15Z,14.48184,79.862588,22.127,1.876896,0,0,No Data,No Data
1179727973,2007-05-21T06:12:53Z,14.481663,79.865097,23.118,2.14813,0,0,No Data,No Data
1179728127,2007-05-21T06:15:27Z,14.482612,79.868951,24.013,2.576878,0,0,No Data,No Data
1179728329,2007-05-21T06:18:49Z,14.483472,79.874062,29.788,3.136104,0,0,No Data,No Data
1179728467,2007-05-21T06:21:07Z,14.483711,79.877612,24.258,3.519691,0,0,No Data,No Data
1179728597,2007-05-21T06:23:17Z,14.484207,79.880932,14.538,3.881904,0,0,No Data,No Data
1179728718,2007-05-21T06:25:18Z,14.484725,79.883997,23.213,4.217325,0,0,No Data,No Data
1179728851,2007-05-21T06:27:31Z,14.48547,79.887326,26.633,4.585683,0,0,No Data,No Data
1179728913,2007-05-21T06:28:33Z,14.485849,79.888869,31.49,4.757325,0,0,No Data,No Data
1179728990,2007-05-21T06:29:50Z,14.485964,79.890863,35.823,4.972678,0,0,No Data,No Data
1179729121,2007-05-21T06:32:01Z,14.48645,79.894211,24,5.337702,0,0,No Data,No Data
1179729212,2007-05-21T06:33:32Z,14.486776,79.896508,24.107,5.588006,0,0,No Data,No Data
1179729335,2007-05-21T06:35:35Z,14.487535,79.899596,24.992,5.931425,0,0,No Data,No Data
1179729459,2007-05-21T06:37:39Z,14.488293,79.902684,28.61,6.274826,0,0,No Data,No Data
1179729547,2007-05-21T06:39:07Z,14.488376,79.904963,23.085,6.52073,0,0,No Data,No Data
1179729685,2007-05-21T06:41:25Z,14.488614,79.908515,23.556,6.904538,0,0,No Data,No Data
1179729784,2007-05-21T06:43:04Z,14.48868,79.911044,23.688,7.177252,0,0,No Data,No Data
1179729872,2007-05-21T06:44:32Z,14.488765,79.913319,23.992,7.422762,0,0,No Data,No Data
1179729940,2007-05-21T06:45:40Z,14.488642,79.915074,24.09,7.6125,0,0,No Data,No Data
1179730012,2007-05-21T06:46:52Z,14.489003,79.916871,24.658,7.810406,0,0,No Data,No Data
1179730069,2007-05-21T06:47:49Z,14.489642,79.918185,24,7.969002,0,0,No Data,No Data
1179730100,2007-05-21T06:48:20Z,14.489832,79.918958,23.25,8.055039,0,0,No Data,No Data
1179730152,2007-05-21T06:49:12Z,14.490229,79.920253,23.887,8.201506,0,0,No Data,No Data
1179730193,2007-05-21T06:49:53Z,14.4904,79.921277,22.21,8.313618,0,0,No Data,No Data
1179730251,2007-05-21T06:50:51Z,14.490294,79.922785,20.625,8.476649,0,0,No Data,No Data
1179730300,2007-05-21T06:51:40Z,14.490205,79.924043,22.135,8.612658,0,0,No Data,No Data
1179730389,2007-05-21T06:53:09Z,14.490045,79.926304,18.321,8.857098,0,0,No Data,No Data
1179730418,2007-05-21T06:53:38Z,14.489992,79.927061,18.535,8.938919,0,0,No Data,No Data
1179730486,2007-05-21T06:54:46Z,14.489869,79.928815,18.24,9.128528,0,0,No Data,No Data
1179730536,2007-05-21T06:55:36Z,14.489537,79.930052,14.653,9.266871,0,0,No Data,No Data
1179730598,2007-05-21T06:56:38Z,14.488946,79.93152,15.373,9.438274,0,0,No Data,No Data
1179730619,2007-05-21T06:56:59Z,14.488667,79.932003,15.185,9.49888,0,0,No Data,No Data
1179730669,2007-05-21T06:57:49Z,14.487866,79.932958,14.53,9.635026,0,0,No Data,No Data
1179730726,2007-05-21T06:58:46Z,14.486595,79.933633,15.664,9.794051,0,0,No Data,No Data
1179730809,2007-05-21T07:00:09Z,14.484601,79.934227,17.956,10.02501,0,0,No Data,No Data
1179730878,2007-05-21T07:01:18Z,14.482886,79.934337,17.802,10.21621,0,0,No Data,No Data
1179730946,2007-05-21T07:02:26Z,14.481188,79.934199,21.511,10.40572,0,0,No Data,No Data
1179730995,2007-05-21T07:03:15Z,14.479975,79.934103,20.846,10.54107,0,0,No Data,No Data
1179731054,2007-05-21T07:04:14Z,14.478537,79.933738,22.174,10.70589,0,0,No Data,No Data
1179731137,2007-05-21T07:05:37Z,14.477187,79.932117,22.625,10.93627,0,0,No Data,No Data
1179731192,2007-05-21T07:06:32Z,14.476288,79.931036,23.39,11.0898,0,0,No Data,No Data
1179731268,2007-05-21T07:07:48Z,14.475181,79.929434,20.967,11.30185,0,0,No Data,No Data
1179731356,2007-05-21T07:09:16Z,14.474353,79.927348,23.872,11.54477,0,0,No Data,No Data
1179731413,2007-05-21T07:10:13Z,14.473715,79.926035,24.291,11.70305,0,0,No Data,No Data
1179731514,2007-05-21T07:11:54Z,14.47266,79.923685,20.192,11.98219,0,0,No Data,No Data
1179731570,2007-05-21T07:12:50Z,14.472021,79.922372,20.219,12.14052,0,0,No Data,No Data
1179731627,2007-05-21T07:13:47Z,14.471383,79.921059,20.271,12.29883,0,0,No Data,No Data
1179731677,2007-05-21T07:14:37Z,14.47123,79.919784,21.905,12.43726,0,0,No Data,No Data
1179731739,2007-05-21T07:15:39Z,14.470851,79.918239,22.112,12.60895,0,0,No Data,No Data
