UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,14.5348,79.807261,26.234,0,0,0,No Data,No Data
1179727244,2007-05-21T06:00:44Z,14.535216,79.808302,26.464,0.1214593,0,0,No Data,No Data
1179727315,2007-05-21T06:01:55Z,14.535579,79.810097,30.823,0.319158,0,0,No Data,No Data
1179727384,2007-05-21T06:03:04Z,14.535698,79.811874,33.138,0.5111897,0,0,No Data,No Data
1179727455,2007-05-21T06:04:15Z,14.536061,79.813669,32.453,0.7088821,0,0,No Data,No Data
1179727534,2007-05-21T06:05:34Z,14.536163,79.815697,32.632,0.9277497,0,0,No Data,No Data
1179727602,2007-05-21T06:06:42Z,14.536041,79.817455,33.818,1.117696,0,0,No Data,No Data
1179727661,2007-05-21T06:07:41Z,14.535935,79.818961,34.862,1.280518,0,0,No Data,No Data
1179727749,2007-05-21T06:09:09Z,14.535777,79.821222,34.4,1.52484,0,0,No Data,No Data
1179727817,2007-05-21T06:10:17Z,14.535655,79.82298,34.58,1.714823,0,0,No Data,No Data
1179727885,2007-05-21T06:11:25Z,14.535532,79.824738,33.504,1.904821,0,0,No Data,No Data
1179727947,2007-05-21T06:12:27Z,14.53494,79.826209,32.307,2.076512,0,0,No Data,No Data
1179728035,2007-05-21T06:13:55Z,14.533827,79.828145,31.134,2.319193,0,0,No Data,No Data
1179728119,2007-05-21T06:15:19Z,14.532489,79.829813,31.99,2.55262,0,0,No Data,No Data
1179728273,2007-05-21T06:17:53Z,14.530071,79.832914,30,2.981733,0,0,No Data,No Data
1179728412,2007-05-21T06:20:12Z,14.527689,79.835513,30.471,3.367411,0,0,No Data,No Data
1179728496,2007-05-21T06:21:36Z,14.52635,79.83718,28.705,3.600804,0,0,No Data,No Data
1179728559,2007-05-21T06:22:39Z,14.525064,79.838093,30,3.774483,0,0,No Data,No Data
1179728643,2007-05-21T06:24:03Z,14.523274,79.839221,28.136,4.007855,0,0,No Data,No Data
1179728733,2007-05-21T06:25:33Z,14.521467,79.8406,29.519,4.257937,0,0,No Data,No Data
1179728790,2007-05-21T06:26:30Z,14.520199,79.841262,28.355,4.416089,0,0,No Data,No Data
