UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,28.947707,78.738999,201.298,0,0,0,No Data,No Data
1179727255,2007-05-21T06:00:55Z,28.946657,78.740009,199.989,0.152804,0,0,No Data,No Data
1179727314,2007-05-21T06:01:54Z,28.945463,78.741019,199.112,0.3181637,0,0,No Data,No Data
1179727352,2007-05-21T06:02:32Z,28.944867,78.741858,198.037,0.4234523,0,0,No Data,No Data
1179727366,2007-05-21T06:02:46Z,28.944569,78.742026,198.223,0.4604144,0,0,No Data,No Data
1179727391,2007-05-21T06:03:11Z,28.944123,78.742530,198.794,0.5302363,0,0,No Data,No Data
1179727445,2007-05-21T06:04:05Z,28.943231,78.743704,198.323,0.6817638,0,0,No Data,No Data
1179727462,2007-05-21T06:04:22Z,28.942932,78.744040,198.367,0.7284373,0,0,No Data,No Data
1179727487,2007-05-21T06:04:47Z,28.942484,78.744543,198.858,0.798374,0,0,No Data,No Data
1179727512,2007-05-21T06:05:12Z,28.942035,78.745046,198.303,0.868375,0,0,No Data,No Data
1179727551,2007-05-21T06:05:51Z,28.941288,78.745716,197.391,0.9741455,0,0,No Data,No Data
1179727580,2007-05-21T06:06:20Z,28.940690,78.746219,197.657,1.056787,0,0,No Data,No Data
1179727634,2007-05-21T06:07:14Z,28.939494,78.746888,196.874,1.205064,0,0,No Data,No Data
1179727653,2007-05-21T06:07:33Z,28.939050,78.747056,197.608,1.25714,0,0,No Data,No Data
1179727698,2007-05-21T06:08:18Z,28.938006,78.747557,199.338,1.38318,0,0,No Data,No Data
1179727727,2007-05-21T06:08:47Z,28.937410,78.748059,198.481,1.465535,0,0,No Data,No Data
1179727754,2007-05-21T06:09:14Z,28.936816,78.748393,197.167,1.539196,0,0,No Data,No Data
1179727779,2007-05-21T06:09:39Z,28.936222,78.748559,198.454,1.607233,0,0,No Data,No Data
1179727813,2007-05-21T06:10:13Z,28.935480,78.749060,199.074,1.703167,0,0,No Data,No Data
1179727843,2007-05-21T06:10:43Z,28.934738,78.749226,198.977,1.787298,0,0,No Data,No Data
1179727875,2007-05-21T06:11:15Z,28.933994,78.749559,198.419,1.876219,0,0,No Data,No Data
1179727906,2007-05-21T06:11:46Z,28.933251,78.749725,197.868,1.960452,0,0,No Data,No Data
1179727948,2007-05-21T06:12:28Z,28.932228,78.750059,196.397,2.078871,0,0,No Data,No Data
1179727978,2007-05-21T06:12:58Z,28.931486,78.750225,197.428,2.162986,0,0,No Data,No Data
1179728015,2007-05-21T06:13:35Z,28.930597,78.750390,197.434,2.263221,0,0,No Data,No Data
1179728050,2007-05-21T06:14:10Z,28.929710,78.750389,196.509,2.361863,0,0,No Data,No Data
1179728075,2007-05-21T06:14:35Z,28.929270,78.749889,196.908,2.430877,0,0,No Data,No Data
1179728128,2007-05-21T06:15:28Z,28.928089,78.749221,197.339,2.577558,0,0,No Data,No Data
1179728161,2007-05-21T06:16:01Z,28.927498,78.748554,197.998,2.669954,0,0,No Data,No Data
1179728190,2007-05-21T06:16:30Z,28.926906,78.748054,196.858,2.751785,0,0,No Data,No Data
1179728217,2007-05-21T06:16:57Z,28.926610,78.747388,196.249,2.824467,0,0,No Data,No Data
1179728254,2007-05-21T06:17:34Z,28.926020,78.746556,196.449,2.928733,0,0,No Data,No Data
1179728266,2007-05-21T06:17:46Z,28.925725,78.746556,196.034,2.961499,0,0,No Data,No Data
1179728309,2007-05-21T06:18:29Z,28.924695,78.746224,196.868,3.080589,0,0,No Data,No Data
1179728362,2007-05-21T06:19:22Z,28.923372,78.746224,196.53,3.227784,0,0,No Data,No Data
1179728433,2007-05-21T06:20:33Z,28.921608,78.746225,196.493,3.424062,0,0,No Data,No Data
1179728474,2007-05-21T06:21:14Z,28.920581,78.746225,196.16,3.538344,0,0,No Data,No Data
1179728515,2007-05-21T06:21:55Z,28.919555,78.746225,197.063,3.652549,0,0,No Data,No Data
1179728539,2007-05-21T06:22:19Z,28.918968,78.746060,198.378,3.719832,0,0,No Data,No Data
1179728571,2007-05-21T06:22:51Z,28.918234,78.745728,200.283,3.807629,0,0,No Data,No Data
1179728587,2007-05-21T06:23:07Z,28.917941,78.745397,198.265,3.853448,0,0,No Data,No Data
1179728613,2007-05-21T06:23:33Z,28.917648,78.744734,196.243,3.925798,0,0,No Data,No Data
1179728647,2007-05-21T06:24:07Z,28.917209,78.743905,195.822,4.020133,0,0,No Data,No Data
1179728686,2007-05-21T06:24:46Z,28.916771,78.742911,195.692,4.128552,0,0,No Data,No Data
1179728712,2007-05-21T06:25:12Z,28.916477,78.742248,195.699,4.200875,0,0,No Data,No Data
1179728762,2007-05-21T06:26:02Z,28.916038,78.740923,196.782,4.338827,0,0,No Data,No Data
1179728804,2007-05-21T06:26:44Z,28.915746,78.739764,196.386,4.456272,0,0,No Data,No Data
1179728827,2007-05-21T06:27:07Z,28.915746,78.739101,197.104,4.520805,0,0,No Data,No Data
1179728863,2007-05-21T06:27:43Z,28.915893,78.738106,196.476,4.619094,0,0,No Data,No Data
1179728898,2007-05-21T06:28:18Z,28.916039,78.737111,195.248,4.717388,0,0,No Data,No Data
1179728927,2007-05-21T06:28:47Z,28.916039,78.736282,195.36,4.79808,0,0,No Data,No Data
1179728981,2007-05-21T06:29:41Z,28.916332,78.734789,193.352,4.947145,0,0,No Data,No Data
1179729039,2007-05-21T06:30:39Z,28.916332,78.733131,194.691,5.108661,0,0,No Data,No Data
1179729055,2007-05-21T06:30:55Z,28.916039,78.732801,195.068,5.154381,0,0,No Data,No Data
1179729095,2007-05-21T06:31:35Z,28.915162,78.732309,194.379,5.263029,0,0,No Data,No Data
1179729124,2007-05-21T06:32:04Z,28.914434,78.732313,194.072,5.34406,0,0,No Data,No Data
1179729150,2007-05-21T06:32:30Z,28.913849,78.732648,195.049,5.416849,0,0,No Data,No Data
1179729180,2007-05-21T06:33:00Z,28.913704,78.733476,196.287,5.499227,0,0,No Data,No Data
1179729196,2007-05-21T06:33:16Z,28.913412,78.733809,195.816,5.545173,0,0,No Data,No Data
1179729226,2007-05-21T06:33:46Z,28.913266,78.734638,193.902,5.627633,0,0,No Data,No Data
1179729250,2007-05-21T06:34:10Z,28.913121,78.735301,193.361,5.694245,0,0,No Data,No Data
1179729310,2007-05-21T06:35:10Z,28.912391,78.736794,196.287,5.860912,0,0,No Data,No Data
1179729341,2007-05-21T06:35:41Z,28.912101,78.737622,197.458,5.947885,0,0,No Data,No Data
1179729371,2007-05-21T06:36:11Z,28.911954,78.738451,196.563,6.030326,0,0,No Data,No Data
1179729392,2007-05-21T06:36:32Z,28.911663,78.738948,197.208,6.08866,0,0,No Data,No Data
1179729426,2007-05-21T06:37:06Z,28.911226,78.739777,196.598,6.182968,0,0,No Data,No Data
1179729460,2007-05-21T06:37:40Z,28.910789,78.740605,195.297,6.277178,0,0,No Data,No Data
1179729481,2007-05-21T06:38:01Z,28.910499,78.741102,195.595,6.335427,0,0,No Data,No Data
1179729512,2007-05-21T06:38:32Z,28.910208,78.741929,195.921,6.42234,0,0,No Data,No Data
1179729541,2007-05-21T06:39:01Z,28.909626,78.742426,196.448,6.503235,0,0,No Data,No Data
1179729588,2007-05-21T06:39:48Z,28.908609,78.743089,195.78,6.633625,0,0,No Data,No Data
1179729630,2007-05-21T06:40:30Z,28.907592,78.743421,195.995,6.751346,0,0,No Data,No Data
1179729665,2007-05-21T06:41:05Z,28.906721,78.743422,195.174,6.848231,0,0,No Data,No Data
1179729689,2007-05-21T06:41:29Z,28.906141,78.743258,194.426,6.914674,0,0,No Data,No Data
1179729718,2007-05-21T06:41:58Z,28.905561,78.742764,195.009,6.995163,0,0,No Data,No Data
1179729755,2007-05-21T06:42:35Z,28.904835,78.742106,196.208,7.09828,0,0,No Data,No Data
1179729781,2007-05-21T06:43:01Z,28.904256,78.741777,196.236,7.170191,0,0,No Data,No Data
1179729807,2007-05-21T06:43:27Z,28.903678,78.741448,196.803,7.242042,0,0,No Data,No Data
1179729833,2007-05-21T06:43:53Z,28.903100,78.741778,196.575,7.313999,0,0,No Data,No Data
1179729891,2007-05-21T06:44:51Z,28.901943,78.742770,196.885,7.475054,0,0,No Data,No Data
1179729957,2007-05-21T06:45:57Z,28.900642,78.743925,197.229,7.658461,0,0,No Data,No Data
1179730007,2007-05-21T06:46:47Z,28.899632,78.744750,197.118,7.796671,0,0,No Data,No Data
1179730020,2007-05-21T06:47:00Z,28.899343,78.744915,196.425,7.832557,0,0,No Data,No Data
1179730044,2007-05-21T06:47:24Z,28.898911,78.745409,195.503,7.900612,0,0,No Data,No Data
1179730073,2007-05-21T06:47:53Z,28.898334,78.745903,196.083,7.980857,0,0,No Data,No Data
1179730118,2007-05-21T06:48:38Z,28.897470,78.746726,196.033,8.106105,0,0,No Data,No Data
1179730157,2007-05-21T06:49:17Z,28.896606,78.747219,195.024,8.213627,0,0,No Data,No Data
1179730191,2007-05-21T06:49:51Z,28.895886,78.747712,194.761,8.307063,0,0,No Data,No Data
1179730221,2007-05-21T06:50:21Z,28.895167,78.748041,196.187,8.393227,0,0,No Data,No Data
1179730270,2007-05-21T06:51:10Z,28.894018,78.748533,196.712,8.529822,0,0,No Data,No Data
1179730322,2007-05-21T06:52:02Z,28.892869,78.749189,198.346,8.672795,0,0,No Data,No Data
1179730363,2007-05-21T06:52:43Z,28.891865,78.749352,196.381,8.785651,0,0,No Data,No Data
1179730386,2007-05-21T06:53:06Z,28.891292,78.749516,196.271,8.851407,0,0,No Data,No Data
1179730415,2007-05-21T06:53:35Z,28.890575,78.749515,195.178,8.931174,0,0,No Data,No Data
1179730455,2007-05-21T06:54:15Z,28.889572,78.749679,194.172,9.04387,0,0,No Data,No Data
1179730503,2007-05-21T06:55:03Z,28.888428,78.750005,194.767,9.175121,0,0,No Data,No Data
1179730538,2007-05-21T06:55:38Z,28.887570,78.750168,193.522,9.27194,0,0,No Data,No Data
1179730572,2007-05-21T06:56:12Z,28.886712,78.750167,195.672,9.367379,0,0,No Data,No Data
1179730607,2007-05-21T06:56:47Z,28.885856,78.750330,193.483,9.463992,0,0,No Data,No Data
1179730623,2007-05-21T06:57:03Z,28.885570,78.750657,193.855,9.509009,0,0,No Data,No Data
