UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,28.956239,78.731114,199.173,0,0,0,No Data,No Data
1179727258,2007-05-21T06:00:58Z,28.956239,78.732760,201.224,0.160384,0,0,No Data,No Data
1179727292,2007-05-21T06:01:32Z,28.956030,78.733702,200.952,0.2550367,0,0,No Data,No Data
1179727360,2007-05-21T06:02:40Z,28.955612,78.735584,199.079,0.4442573,0,0,No Data,No Data
1179727428,2007-05-21T06:03:48Z,28.955193,78.737467,198.991,0.6335227,0,0,No Data,No Data
1179727517,2007-05-21T06:05:17Z,28.954356,78.739820,199.939,0.8809732,0,0,No Data,No Data
1179727559,2007-05-21T06:05:59Z,28.954146,78.740996,199.776,0.9979009,0,0,No Data,No Data
1179727601,2007-05-21T06:06:41Z,28.953938,78.742171,198.784,1.114733,0,0,No Data,No Data
1179727661,2007-05-21T06:07:41Z,28.953102,78.743582,199.494,1.280771,0,0,No Data,No Data
1179727698,2007-05-21T06:08:18Z,28.952684,78.744523,199.334,1.38357,0,0,No Data,No Data
1179727764,2007-05-21T06:09:24Z,28.951848,78.746168,199.437,1.568875,0,0,No Data,No Data
1179727776,2007-05-21T06:09:36Z,28.951639,78.746403,199.032,1.601473,0,0,No Data,No Data
1179727823,2007-05-21T06:10:23Z,28.950804,78.747343,200.784,1.731938,0,0,No Data,No Data
1179727870,2007-05-21T06:11:10Z,28.949969,78.748282,200.071,1.862363,0,0,No Data,No Data
1179727929,2007-05-21T06:12:09Z,28.948926,78.749456,199.141,2.025341,0,0,No Data,No Data
1179727966,2007-05-21T06:12:46Z,28.948092,78.749925,200.409,2.128833,0,0,No Data,No Data
1179728015,2007-05-21T06:13:35Z,28.947050,78.750628,198.868,2.263588,0,0,No Data,No Data
1179728068,2007-05-21T06:14:28Z,28.945800,78.751097,198.96,2.410048,0,0,No Data,No Data
1179728110,2007-05-21T06:15:10Z,28.944758,78.751331,198.463,2.528202,0,0,No Data,No Data
1179728155,2007-05-21T06:15:55Z,28.943718,78.751799,199.303,2.652632,0,0,No Data,No Data
1179728196,2007-05-21T06:16:36Z,28.942678,78.751798,198.305,2.768343,0,0,No Data,No Data
1179728280,2007-05-21T06:18:00Z,28.940601,78.751796,198.765,2.999523,0,0,No Data,No Data
1179728313,2007-05-21T06:18:33Z,28.939771,78.751796,198.156,3.091924,0,0,No Data,No Data
1179728338,2007-05-21T06:18:58Z,28.939148,78.751795,198.202,3.161232,0,0,No Data,No Data
1179728375,2007-05-21T06:19:35Z,28.938318,78.752263,201.396,3.264206,0,0,No Data,No Data
1179728401,2007-05-21T06:20:01Z,28.937696,78.752496,200.463,3.33706,0,0,No Data,No Data
1179728436,2007-05-21T06:20:36Z,28.936866,78.752729,198.204,3.432178,0,0,No Data,No Data
1179728478,2007-05-21T06:21:18Z,28.935829,78.752962,198.004,3.549774,0,0,No Data,No Data
1179728512,2007-05-21T06:21:52Z,28.935001,78.753195,198.331,3.64468,0,0,No Data,No Data
1179728546,2007-05-21T06:22:26Z,28.934176,78.753427,197.999,3.739213,0,0,No Data,No Data
1179728606,2007-05-21T06:23:26Z,28.932729,78.753893,199.888,3.906566,0,0,No Data,No Data
1179728665,2007-05-21T06:24:25Z,28.931282,78.754124,197.977,4.069144,0,0,No Data,No Data
1179728699,2007-05-21T06:24:59Z,28.930456,78.754357,198.452,4.163769,0,0,No Data,No Data
1179728765,2007-05-21T06:26:05Z,28.928805,78.754354,197.335,4.347464,0,0,No Data,No Data
1179728798,2007-05-21T06:26:38Z,28.927981,78.754353,197.776,4.439188,0,0,No Data,No Data
1179728864,2007-05-21T06:27:44Z,28.926332,78.754351,198.312,4.622717,0,0,No Data,No Data
1179728906,2007-05-21T06:28:26Z,28.925301,78.754116,198.978,4.739663,0,0,No Data,No Data
1179728948,2007-05-21T06:29:08Z,28.924273,78.753882,199.298,4.856352,0,0,No Data,No Data
1179729034,2007-05-21T06:30:34Z,28.922217,78.753180,198.758,5.095197,0,0,No Data,No Data
1179729134,2007-05-21T06:32:14Z,28.919956,78.752014,197.365,5.371319,0,0,No Data,No Data
1179729196,2007-05-21T06:33:16Z,28.918520,78.751315,195.905,5.54502,0,0,No Data,No Data
1179729248,2007-05-21T06:34:08Z,28.917495,78.750385,195.467,5.69067,0,0,No Data,No Data
1179729271,2007-05-21T06:34:31Z,28.917086,78.749920,195.497,5.754901,0,0,No Data,No Data
1179729301,2007-05-21T06:35:01Z,28.916675,78.749222,195.989,5.836782,0,0,No Data,No Data
1179729360,2007-05-21T06:36:00Z,28.915855,78.747828,197.016,6.000397,0,0,No Data,No Data
1179729384,2007-05-21T06:36:24Z,28.915855,78.747130,196.14,6.068339,0,0,No Data,No Data
1179729448,2007-05-21T06:37:28Z,28.914831,78.745737,195.404,6.245517,0,0,No Data,No Data
1179729478,2007-05-21T06:37:58Z,28.914422,78.745040,196.386,6.32719,0,0,No Data,No Data
1179729514,2007-05-21T06:38:34Z,28.914013,78.744112,196.75,6.428416,0,0,No Data,No Data
1179729546,2007-05-21T06:39:06Z,28.914012,78.743183,195.702,6.518937,0,0,No Data,No Data
1179729588,2007-05-21T06:39:48Z,28.914012,78.742021,195.653,6.632114,0,0,No Data,No Data
1179729628,2007-05-21T06:40:28Z,28.914012,78.740860,196.0,6.745244,0,0,No Data,No Data
1179729654,2007-05-21T06:40:54Z,28.913399,78.740629,196.245,6.817054,0,0,No Data,No Data
1179729689,2007-05-21T06:41:29Z,28.912786,78.741327,196.267,6.913417,0,0,No Data,No Data
1179729729,2007-05-21T06:42:09Z,28.912173,78.742257,195.405,7.026885,0,0,No Data,No Data
1179729766,2007-05-21T06:42:46Z,28.911765,78.743186,195.922,7.128232,0,0,No Data,No Data
1179729807,2007-05-21T06:43:27Z,28.911153,78.744116,196.616,7.241606,0,0,No Data,No Data
1179729854,2007-05-21T06:44:14Z,28.910133,78.744813,196.5,7.373947,0,0,No Data,No Data
1179729884,2007-05-21T06:44:44Z,28.909521,78.745278,196.856,7.455802,0,0,No Data,No Data
1179729918,2007-05-21T06:45:18Z,28.908705,78.745511,195.731,7.549438,0,0,No Data,No Data
1179729950,2007-05-21T06:45:50Z,28.907889,78.745512,194.853,7.640218,0,0,No Data,No Data
1179729994,2007-05-21T06:46:34Z,28.906870,78.745977,194.13,7.762354,0,0,No Data,No Data
1179730027,2007-05-21T06:47:07Z,28.906055,78.745978,194.907,7.853061,0,0,No Data,No Data
1179730076,2007-05-21T06:47:56Z,28.904833,78.746211,196.691,7.990947,0,0,No Data,No Data
1179730124,2007-05-21T06:48:44Z,28.903816,78.746906,196.167,8.122917,0,0,No Data,No Data
1179730165,2007-05-21T06:49:25Z,28.903002,78.747602,196.196,8.236059,0,0,No Data,No Data
1179730217,2007-05-21T06:50:17Z,28.901986,78.748528,196.474,8.380754,0,0,No Data,No Data
1179730269,2007-05-21T06:51:09Z,28.900970,78.749454,196.835,8.52541,0,0,No Data,No Data
1179730350,2007-05-21T06:52:30Z,28.899347,78.750842,196.563,8.751114,0,0,No Data,No Data
1179730398,2007-05-21T06:53:18Z,28.898333,78.751535,197.842,8.882634,0,0,No Data,No Data
1179730463,2007-05-21T06:54:23Z,28.896915,78.752459,196.626,9.064343,0,0,No Data,No Data
1179730503,2007-05-21T06:55:03Z,28.896105,78.753151,196.271,9.176959,0,0,No Data,No Data
1179730533,2007-05-21T06:55:33Z,28.895498,78.753613,195.794,9.258173,0,0,No Data,No Data
1179730556,2007-05-21T06:55:56Z,28.895093,78.754074,195.025,9.321861,0,0,No Data,No Data
1179730613,2007-05-21T06:56:53Z,28.894081,78.755228,197.91,9.48102,0,0,No Data,No Data
1179730653,2007-05-21T06:57:33Z,28.893272,78.755919,196.663,9.593461,0,0,No Data,No Data
1179730677,2007-05-21T06:57:57Z,28.892867,78.756379,195.304,9.657027,0,0,No Data,No Data
1179730746,2007-05-21T06:59:06Z,28.891858,78.757993,195.949,9.850396,0,0,No Data,No Data
1179730764,2007-05-21T06:59:24Z,28.891656,78.758455,195.866,9.900723,0,0,No Data,No Data
1179730816,2007-05-21T07:00:16Z,28.890848,78.759606,195.463,10.04453,0,0,No Data,No Data
1179730870,2007-05-21T07:01:10Z,28.890243,78.760989,195.451,10.19523,0,0,No Data,No Data
1179730917,2007-05-21T07:01:57Z,28.889637,78.762140,193.866,10.32614,0,0,No Data,No Data
1179730965,2007-05-21T07:02:45Z,28.889032,78.763291,195.594,10.457,0,0,No Data,No Data
1179731019,2007-05-21T07:03:39Z,28.888427,78.764672,194.437,10.60755,0,0,No Data,No Data
1179731066,2007-05-21T07:04:26Z,28.887822,78.765822,196.825,10.73835,0,0,No Data,No Data
1179731156,2007-05-21T07:05:56Z,28.886815,78.768121,193.897,10.98899,0,0,No Data,No Data
1179731225,2007-05-21T07:07:05Z,28.886211,78.769961,194.609,11.18058,0,0,No Data,No Data
1179731265,2007-05-21T07:07:45Z,28.885607,78.770879,194.995,11.29256,0,0,No Data,No Data
1179731330,2007-05-21T07:08:50Z,28.884802,78.772487,193.505,11.47316,0,0,No Data,No Data
1179731363,2007-05-21T07:09:23Z,28.884600,78.773407,193.483,11.56564,0,0,No Data,No Data
1179731411,2007-05-21T07:10:11Z,28.883997,78.774554,193.574,11.69611,0,0,No Data,No Data
1179731475,2007-05-21T07:11:15Z,28.883192,78.776160,194.663,11.87653,0,0,No Data,No Data
1179731551,2007-05-21T07:12:31Z,28.882187,78.777994,195.378,12.08743,0,0,No Data,No Data
1179731598,2007-05-21T07:13:18Z,28.881585,78.779140,195.934,12.21771,0,0,No Data,No Data
1179731656,2007-05-21T07:14:16Z,28.880781,78.780513,195.811,12.37873,0,0,No Data,No Data
1179731713,2007-05-21T07:15:13Z,28.879778,78.781653,196.452,12.53632,0,0,No Data,No Data
1179731747,2007-05-21T07:15:47Z,28.879176,78.782337,193.422,12.63089,0,0,No Data,No Data
1179731809,2007-05-21T07:16:49Z,28.877973,78.783475,193.961,12.8048,0,0,No Data,No Data
1179731855,2007-05-21T07:17:35Z,28.877171,78.784386,193.761,12.93073,0,0,No Data,No Data
1179731902,2007-05-21T07:18:22Z,28.876169,78.785065,193.0,13.06037,0,0,No Data,No Data
