UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,10.128173,76.389484,7.408,0,0,0,No Data,No Data
1179727241,2007-05-21T06:00:41Z,10.128412,76.390501,8.436,0.114694,0,0,No Data,No Data
1179727302,2007-05-21T06:01:42Z,10.128645,76.392027,6.071,0.2840146,0,0,No Data,No Data
1179727363,2007-05-21T06:02:43Z,10.128878,76.393553,8.657,0.453343,0,0,No Data,No Data
1179727443,2007-05-21T06:04:03Z,10.128856,76.395584,13.185,0.6760076,0,0,No Data,No Data
1179727523,2007-05-21T06:05:23Z,10.128833,76.397615,6.877,0.89866,0,0,No Data,No Data
1179727604,2007-05-21T06:06:44Z,10.128809,76.399645,13.957,1.121231,0,0,No Data,No Data
1179727694,2007-05-21T06:08:14Z,10.128780,76.401927,23.841,1.371423,0,0,No Data,No Data
1179727794,2007-05-21T06:09:54Z,10.128756,76.404468,19.326,1.650009,0,0,No Data,No Data
1179727839,2007-05-21T06:10:39Z,10.128246,76.405477,10.678,1.774341,0,0,No Data,No Data
1179727902,2007-05-21T06:11:42Z,10.127729,76.406991,10.13,1.950049,0,0,No Data,No Data
1179727969,2007-05-21T06:12:49Z,10.126962,76.408501,19.064,2.13629,0,0,No Data,No Data
1179727991,2007-05-21T06:13:11Z,10.126707,76.409004,20.619,2.198347,0,0,No Data,No Data
1179728067,2007-05-21T06:14:27Z,10.125938,76.410767,18.65,2.409658,0,0,No Data,No Data
1179728134,2007-05-21T06:15:34Z,10.125173,76.412275,17.197,2.595569,0,0,No Data,No Data
1179728154,2007-05-21T06:15:54Z,10.125167,76.412782,16.795,2.651151,0,0,No Data,No Data
1179728212,2007-05-21T06:16:52Z,10.124405,76.414035,6.421,2.812602,0,0,No Data,No Data
1179728288,2007-05-21T06:18:08Z,10.123637,76.415795,5.742,3.023589,0,0,No Data,No Data
1179728320,2007-05-21T06:18:40Z,10.123380,76.416550,13.475,3.111201,0,0,No Data,No Data
1179728380,2007-05-21T06:19:40Z,10.123114,76.418065,15.548,3.279955,0,0,No Data,No Data
1179728441,2007-05-21T06:20:41Z,10.123097,76.419585,13.789,3.446661,0,0,No Data,No Data
1179728461,2007-05-21T06:21:01Z,10.123091,76.420092,13.211,3.502307,0,0,No Data,No Data
1179728511,2007-05-21T06:21:51Z,10.123077,76.421359,13.793,3.641198,0,0,No Data,No Data
1179728551,2007-05-21T06:22:31Z,10.123065,76.422372,15.042,3.752242,0,0,No Data,No Data
1179728610,2007-05-21T06:23:30Z,10.123048,76.423891,10.536,3.918776,0,0,No Data,No Data
1179728661,2007-05-21T06:24:21Z,10.123033,76.425157,15.247,4.057581,0,0,No Data,No Data
1179728700,2007-05-21T06:25:00Z,10.123022,76.426170,16.476,4.16863,0,0,No Data,No Data
1179728764,2007-05-21T06:26:04Z,10.123503,76.427701,16.117,4.34479,0,0,No Data,No Data
1179728825,2007-05-21T06:27:05Z,10.123735,76.429227,15.154,4.514019,0,0,No Data,No Data
1179728879,2007-05-21T06:27:59Z,10.124219,76.430505,13.8,4.66418,0,0,No Data,No Data
1179728942,2007-05-21T06:29:02Z,10.124700,76.432038,15.0,4.840578,0,0,No Data,No Data
1179729013,2007-05-21T06:30:13Z,10.124929,76.433818,17.164,5.037378,0,0,No Data,No Data
1179729074,2007-05-21T06:31:14Z,10.125161,76.435345,16.669,5.206763,0,0,No Data,No Data
1179729155,2007-05-21T06:32:35Z,10.125388,76.437379,18.322,5.43114,0,0,No Data,No Data
1179729195,2007-05-21T06:33:15Z,10.125376,76.438392,17.118,5.542269,0,0,No Data,No Data
1179729255,2007-05-21T06:34:15Z,10.125358,76.439911,22.035,5.708798,0,0,No Data,No Data
1179729326,2007-05-21T06:35:26Z,10.125587,76.441689,21.428,5.905349,0,0,No Data,No Data
1179729376,2007-05-21T06:36:16Z,10.125573,76.442961,12.037,6.044821,0,0,No Data,No Data
1179729419,2007-05-21T06:36:59Z,10.126314,76.443746,15.76,6.164058,0,0,No Data,No Data
1179729482,2007-05-21T06:38:02Z,10.127807,76.444297,18.795,6.340936,0,0,No Data,No Data
1179729563,2007-05-21T06:39:23Z,10.129804,76.444610,28.273,6.565915,0,0,No Data,No Data
1179729605,2007-05-21T06:40:05Z,10.130801,76.444891,30.775,6.681183,0,0,No Data,No Data
1179729679,2007-05-21T06:41:19Z,10.132549,76.445453,28.218,6.885368,0,0,No Data,No Data
1179729747,2007-05-21T06:42:27Z,10.134053,76.446283,20.797,7.076016,0,0,No Data,No Data
1179729798,2007-05-21T06:43:18Z,10.135310,76.446323,13.002,7.21603,0,0,No Data,No Data
1179729859,2007-05-21T06:44:19Z,10.136816,76.446625,8.816,7.386965,0,0,No Data,No Data
1179729910,2007-05-21T06:45:10Z,10.138074,76.446664,14.078,7.527135,0,0,No Data,No Data
1179729940,2007-05-21T06:45:40Z,10.138829,76.446687,15.512,7.611334,0,0,No Data,No Data
1179730007,2007-05-21T06:46:47Z,10.140350,76.445968,18.581,7.798134,0,0,No Data,No Data
1179730079,2007-05-21T06:47:59Z,10.141874,76.444992,18.727,7.998765,0,0,No Data,No Data
1179730116,2007-05-21T06:48:36Z,10.142637,76.444503,17.636,8.099211,0,0,No Data,No Data
1179730202,2007-05-21T06:50:02Z,10.143923,76.442758,19.073,8.338099,0,0,No Data,No Data
1179730255,2007-05-21T06:50:55Z,10.144444,76.441498,17.666,8.487839,0,0,No Data,No Data
1179730296,2007-05-21T06:51:36Z,10.144455,76.440476,16.881,8.599747,0,0,No Data,No Data
1179730360,2007-05-21T06:52:40Z,10.143965,76.438927,15.748,8.777978,0,0,No Data,No Data
1179730383,2007-05-21T06:53:03Z,10.143717,76.438408,16.736,8.841117,0,0,No Data,No Data
1179730443,2007-05-21T06:54:03Z,10.143732,76.436873,18.203,9.009318,0,0,No Data,No Data
1179730503,2007-05-21T06:55:03Z,10.142986,76.435573,22.352,9.174142,0,0,No Data,No Data
1179730614,2007-05-21T06:56:54Z,10.142761,76.432753,19.822,9.484086,0,0,No Data,No Data
1179730674,2007-05-21T06:57:54Z,10.142779,76.431225,21.167,9.65151,0,0,No Data,No Data
1179730719,2007-05-21T06:58:39Z,10.143296,76.430218,20.087,9.776001,0,0,No Data,No Data
1179730773,2007-05-21T06:59:33Z,10.143817,76.428955,19.363,9.926034,0,0,No Data,No Data
1179730858,2007-05-21T07:00:58Z,10.145353,76.427462,24.0,10.16266,0,0,No Data,No Data
1179730959,2007-05-21T07:02:39Z,10.146896,76.425457,23.35,10.44161,0,0,No Data,No Data
1179731031,2007-05-21T07:03:51Z,10.147924,76.423944,18.494,10.64309,0,0,No Data,No Data
1179731074,2007-05-21T07:04:34Z,10.148695,76.423195,16.324,10.76179,0,0,No Data,No Data
1179731147,2007-05-21T07:05:47Z,10.150223,76.422202,11.123,10.96376,0,0,No Data,No Data
1179731209,2007-05-21T07:06:49Z,10.151755,76.421984,10.832,11.13606,0,0,No Data,No Data
1179731250,2007-05-21T07:07:30Z,10.152773,76.422007,12.785,11.24948,0,0,No Data,No Data
1179731301,2007-05-21T07:08:21Z,10.153783,76.422799,12.169,11.39158,0,0,No Data,No Data
1179731347,2007-05-21T07:09:07Z,10.154800,76.423337,17.831,11.51929,0,0,No Data,No Data
1179731406,2007-05-21T07:10:06Z,10.156060,76.424131,18.354,11.68445,0,0,No Data,No Data
1179731472,2007-05-21T07:11:12Z,10.157324,76.425185,15.64,11.86655,0,0,No Data,No Data
1179731517,2007-05-21T07:11:57Z,10.158338,76.425722,13.501,11.99395,0,0,No Data,No Data
1179731614,2007-05-21T07:13:34Z,10.160368,76.427052,12.156,12.26291,0,0,No Data,No Data
1179731680,2007-05-21T07:14:40Z,10.161376,76.428360,15.628,12.445,0,0,No Data,No Data
