UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,23.122289,85.558213,291.784,0,0,0,No Data,No Data
1179727223,2007-05-21T06:00:23Z,23.122244,85.558834,291.276,0.0638695,0,0,No Data,No Data
1179727276,2007-05-21T06:01:16Z,23.122140,85.560285,290.792,0.2129723,0,0,No Data,No Data
1179727361,2007-05-21T06:02:41Z,23.121974,85.562566,288.05,0.4472438,0,0,No Data,No Data
1179727506,2007-05-21T06:05:06Z,23.121703,85.566507,289.992,0.8519715,0,0,No Data,No Data
1179727652,2007-05-21T06:07:32Z,23.121416,85.570448,282.386,1.256759,0,0,No Data,No Data
1179727813,2007-05-21T06:10:13Z,23.121095,85.574802,275.377,1.704022,0,0,No Data,No Data
1179727998,2007-05-21T06:13:18Z,23.121129,85.579825,270.794,2.21833,0,0,No Data,No Data
1179728065,2007-05-21T06:14:25Z,23.121601,85.581552,271.806,2.402833,0,0,No Data,No Data
1179728100,2007-05-21T06:15:00Z,23.121935,85.582428,272.913,2.499966,0,0,No Data,No Data
1179728132,2007-05-21T06:15:32Z,23.122073,85.583282,272.526,2.588777,0,0,No Data,No Data
1179728171,2007-05-21T06:16:11Z,23.122601,85.584179,275.659,2.697949,0,0,No Data,No Data
1179728234,2007-05-21T06:17:14Z,23.123281,85.585725,281.005,2.873462,0,0,No Data,No Data
1179728291,2007-05-21T06:18:11Z,23.123569,85.587227,277.587,3.030633,0,0,No Data,No Data
1179728330,2007-05-21T06:18:50Z,23.123689,85.588291,276.612,3.140415,0,0,No Data,No Data
1179728378,2007-05-21T06:19:38Z,23.123792,85.589562,276.943,3.271151,0,0,No Data,No Data
1179728464,2007-05-21T06:21:04Z,23.124016,85.591900,275.72,3.511832,0,0,No Data,No Data
1179728541,2007-05-21T06:22:21Z,23.123862,85.593982,278.26,3.725765,0,0,No Data,No Data
1179728610,2007-05-21T06:23:30Z,23.123729,85.595861,278.511,3.918772,0,0,No Data,No Data
1179728672,2007-05-21T06:24:32Z,23.123609,85.597530,277.644,4.090243,0,0,No Data,No Data
1179728734,2007-05-21T06:25:34Z,23.123489,85.599200,276.935,4.261748,0,0,No Data,No Data
1179728780,2007-05-21T06:26:20Z,23.123399,85.600452,275.116,4.390336,0,0,No Data,No Data
1179728834,2007-05-21T06:27:14Z,23.123294,85.601913,272.954,4.540382,0,0,No Data,No Data
1179728888,2007-05-21T06:28:08Z,23.123187,85.603371,274.022,4.690217,0,0,No Data,No Data
1179728942,2007-05-21T06:29:02Z,23.123078,85.604829,274.699,4.840016,0,0,No Data,No Data
1179728996,2007-05-21T06:29:56Z,23.122973,85.606290,272.594,4.990141,0,0,No Data,No Data
1179729058,2007-05-21T06:30:58Z,23.122856,85.607963,271.949,5.161993,0,0,No Data,No Data
1179729089,2007-05-21T06:31:29Z,23.122795,85.608797,271.771,5.247698,0,0,No Data,No Data
1179729120,2007-05-21T06:32:00Z,23.122733,85.609631,272.028,5.333383,0,0,No Data,No Data
1179729212,2007-05-21T06:33:32Z,23.122549,85.612132,271.231,5.590321,0,0,No Data,No Data
1179729266,2007-05-21T06:34:26Z,23.122442,85.613591,272.988,5.740247,0,0,No Data,No Data
1179729343,2007-05-21T06:35:43Z,23.122287,85.615675,274.603,5.954354,0,0,No Data,No Data
1179729401,2007-05-21T06:36:41Z,23.122577,85.617197,274.008,6.113525,0,0,No Data,No Data
1179729436,2007-05-21T06:37:16Z,23.122913,85.618092,273.857,6.212577,0,0,No Data,No Data
1179729501,2007-05-21T06:38:21Z,23.123598,85.619675,273.805,6.391812,0,0,No Data,No Data
1179729570,2007-05-21T06:39:30Z,23.124483,85.621292,271.659,6.584553,0,0,No Data,No Data
1179729645,2007-05-21T06:40:45Z,23.125569,85.622943,273.639,6.79248,0,0,No Data,No Data
1179729738,2007-05-21T06:42:18Z,23.126828,85.625052,271.806,7.049961,0,0,No Data,No Data
1179729779,2007-05-21T06:42:59Z,23.127367,85.625988,271.472,7.163113,0,0,No Data,No Data
1179729872,2007-05-21T06:44:32Z,23.128850,85.627931,271.621,7.421677,0,0,No Data,No Data
1179729949,2007-05-21T06:45:49Z,23.129736,85.629784,270.741,7.635523,0,0,No Data,No Data
1179730001,2007-05-21T06:46:41Z,23.130467,85.630973,269.366,7.781977,0,0,No Data,No Data
1179730066,2007-05-21T06:47:46Z,23.131386,85.632409,269.0,7.961187,0,0,No Data,No Data
1179730113,2007-05-21T06:48:33Z,23.131917,85.633570,266.801,8.093988,0,0,No Data,No Data
1179730187,2007-05-21T06:49:47Z,23.132607,85.635402,268.679,8.296725,0,0,No Data,No Data
1179730230,2007-05-21T06:50:30Z,23.132937,85.636531,266.527,8.418134,0,0,No Data,No Data
1179730278,2007-05-21T06:51:18Z,23.133689,85.637520,264.137,8.549607,0,0,No Data,No Data
1179730314,2007-05-21T06:51:54Z,23.134036,85.638440,264.924,8.651447,0,0,No Data,No Data
1179730380,2007-05-21T06:53:00Z,23.134964,85.639893,268.915,8.832643,0,0,No Data,No Data
1179730470,2007-05-21T06:54:30Z,23.136054,85.642025,267.038,9.082476,0,0,No Data,No Data
1179730535,2007-05-21T06:55:35Z,23.136984,85.643483,265.957,9.264213,0,0,No Data,No Data
1179730589,2007-05-21T06:56:29Z,23.137729,85.644698,265.625,9.413767,0,0,No Data,No Data
1179730644,2007-05-21T06:57:24Z,23.138253,85.646088,265.849,9.567582,0,0,No Data,No Data
1179730698,2007-05-21T06:58:18Z,23.138997,85.647302,264.325,9.717028,0,0,No Data,No Data
1179730761,2007-05-21T06:59:21Z,23.139507,85.648911,263.875,9.891286,0,0,No Data,No Data
1179730815,2007-05-21T07:00:15Z,23.140255,85.650132,265.614,10.0416,0,0,No Data,No Data
1179730882,2007-05-21T07:01:22Z,23.140977,85.651789,266.827,10.22937,0,0,No Data,No Data
1179730901,2007-05-21T07:01:41Z,23.141154,85.652257,266.017,10.28128,0,0,No Data,No Data
1179730939,2007-05-21T07:02:19Z,23.141513,85.653200,265.339,10.38585,0,0,No Data,No Data
1179731007,2007-05-21T07:03:27Z,23.142239,85.654865,265.818,10.5745,0,0,No Data,No Data
1179731081,2007-05-21T07:04:41Z,23.142942,85.656735,261.044,10.7814,0,0,No Data,No Data
1179731130,2007-05-21T07:05:30Z,23.143486,85.657926,262.0,10.91763,0,0,No Data,No Data
1179731179,2007-05-21T07:06:19Z,23.144032,85.659120,262.0,11.05419,0,0,No Data,No Data
1179731229,2007-05-21T07:07:09Z,23.144580,85.660318,263.578,11.19123,0,0,No Data,No Data
1179731285,2007-05-21T07:08:05Z,23.145114,85.661732,264.047,11.34781,0,0,No Data,No Data
1179731325,2007-05-21T07:08:45Z,23.145036,85.662810,262.612,11.4585,0,0,No Data,No Data
1179731357,2007-05-21T07:09:17Z,23.144974,85.663671,264.442,11.54698,0,0,No Data,No Data
1179731389,2007-05-21T07:09:49Z,23.144913,85.664533,268.463,11.63554,0,0,No Data,No Data
1179731475,2007-05-21T07:11:15Z,23.143715,85.666477,266.227,11.87512,0,0,No Data,No Data
1179731530,2007-05-21T07:12:10Z,23.142789,85.667599,262.728,12.02941,0,0,No Data,No Data
1179731580,2007-05-21T07:13:00Z,23.141689,85.668247,254.347,12.16863,0,0,No Data,No Data
1179731598,2007-05-21T07:13:18Z,23.141259,85.668376,253.538,12.21828,0,0,No Data,No Data
1179731649,2007-05-21T07:14:09Z,23.140000,85.668333,253.998,12.3585,0,0,No Data,No Data
1179731708,2007-05-21T07:15:08Z,23.138553,85.668034,253.433,12.52243,0,0,No Data,No Data
1179731801,2007-05-21T07:16:41Z,23.136278,85.667547,253.952,12.78047,0,0,No Data,No Data
1179731860,2007-05-21T07:17:40Z,23.134834,85.667232,256.808,12.94443,0,0,No Data,No Data
1179731925,2007-05-21T07:18:45Z,23.133446,85.666290,255.851,13.12653,0,0,No Data,No Data
1179731980,2007-05-21T07:19:40Z,23.132490,85.665231,258.473,13.27841,0,0,No Data,No Data
1179732082,2007-05-21T07:21:22Z,23.130787,85.663163,261.341,13.56253,0,0,No Data,No Data
1179732166,2007-05-21T07:22:46Z,23.129474,85.661387,263.546,13.79572,0,0,No Data,No Data
1179732250,2007-05-21T07:24:10Z,23.128383,85.659447,269.542,14.02845,0,0,No Data,No Data
1179732347,2007-05-21T07:25:47Z,23.127327,85.657092,268.021,14.29666,0,0,No Data,No Data
1179732402,2007-05-21T07:26:42Z,23.126817,85.655709,262.767,14.44915,0,0,No Data,No Data
1179732475,2007-05-21T07:27:55Z,23.126138,85.653869,267.282,14.65209,0,0,No Data,No Data
1179732546,2007-05-21T07:29:06Z,23.125245,85.652204,263.627,14.84934,0,0,No Data,No Data
1179732648,2007-05-21T07:30:48Z,23.124217,85.649667,268.153,15.13316,0,0,No Data,No Data
1179732762,2007-05-21T07:32:42Z,23.123001,85.646878,265.908,15.44914,0,0,No Data,No Data
1179732861,2007-05-21T07:34:21Z,23.121550,85.644698,269.223,15.72464,0,0,No Data,No Data
1179732976,2007-05-21T07:36:16Z,23.120563,85.641768,274.567,16.04403,0,0,No Data,No Data
