UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,23.119934,85.544512,288.81,0,0,0,No Data,No Data
1179727223,2007-05-21T06:00:23Z,23.120521,85.544553,291.288,0.0655313,0,0,No Data,No Data
1179727329,2007-05-21T06:02:09Z,23.122558,85.546359,295.447,0.3581779,0,0,No Data,No Data
1179727372,2007-05-21T06:02:52Z,23.123284,85.547244,295.133,0.4796897,0,0,No Data,No Data
1179727507,2007-05-21T06:05:07Z,23.125904,85.549522,291.121,0.8531752,0,0,No Data,No Data
1179727568,2007-05-21T06:06:08Z,23.126804,85.550845,291.493,1.021678,0,0,No Data,No Data
1179727617,2007-05-21T06:06:57Z,23.127520,85.551947,293.37,1.159892,0,0,No Data,No Data
1179727662,2007-05-21T06:07:42Z,23.128253,85.552843,294.823,1.282716,0,0,No Data,No Data
1179727712,2007-05-21T06:08:32Z,23.128972,85.553949,295.433,1.421415,0,0,No Data,No Data
1179727779,2007-05-21T06:09:39Z,23.129861,85.555490,295.244,1.607747,0,0,No Data,No Data
1179727848,2007-05-21T06:10:48Z,23.130536,85.557228,294.303,1.800996,0,0,No Data,No Data
1179727918,2007-05-21T06:11:58Z,23.131225,85.558970,293.109,1.995159,0,0,No Data,No Data
1179727964,2007-05-21T06:12:44Z,23.131750,85.560068,295.929,2.12195,0,0,No Data,No Data
1179728020,2007-05-21T06:13:40Z,23.132056,85.561571,288.518,2.279596,0,0,No Data,No Data
1179728112,2007-05-21T06:15:12Z,23.132694,85.563950,290.073,2.533322,0,0,No Data,No Data
1179728228,2007-05-21T06:17:08Z,23.133493,85.566983,285.199,2.85638,0,0,No Data,No Data
1179728396,2007-05-21T06:19:56Z,23.134153,85.571488,287.988,3.323436,0,0,No Data,No Data
1179728509,2007-05-21T06:21:49Z,23.134570,85.574501,285.694,3.635379,0,0,No Data,No Data
1179728588,2007-05-21T06:23:08Z,23.134811,85.576644,288.567,3.856486,0,0,No Data,No Data
1179728658,2007-05-21T06:24:18Z,23.134669,85.578538,289.124,4.051103,0,0,No Data,No Data
1179728731,2007-05-21T06:25:31Z,23.134937,85.580478,289.447,4.252002,0,0,No Data,No Data
1179728809,2007-05-21T06:26:49Z,23.134990,85.582609,289.25,4.470293,0,0,No Data,No Data
1179728903,2007-05-21T06:28:23Z,23.135000,85.585157,292.378,4.731189,0,0,No Data,No Data
1179729004,2007-05-21T06:30:04Z,23.134806,85.587900,291.287,5.012923,0,0,No Data,No Data
1179729091,2007-05-21T06:31:31Z,23.134841,85.590244,290.866,5.252998,0,0,No Data,No Data
1179729206,2007-05-21T06:33:26Z,23.135443,85.593299,288.449,5.572922,0,0,No Data,No Data
1179729303,2007-05-21T06:35:03Z,23.136293,85.595750,286.399,5.841192,0,0,No Data,No Data
1179729358,2007-05-21T06:35:58Z,23.136389,85.597256,283.389,5.995837,0,0,No Data,No Data
1179729401,2007-05-21T06:36:41Z,23.136720,85.598366,282.137,6.115395,0,0,No Data,No Data
1179729499,2007-05-21T06:38:19Z,23.137149,85.600986,286.791,6.387867,0,0,No Data,No Data
1179729550,2007-05-21T06:39:10Z,23.137464,85.602310,283.664,6.527902,0,0,No Data,No Data
1179729598,2007-05-21T06:39:58Z,23.137572,85.603606,284.174,6.66116,0,0,No Data,No Data
1179729681,2007-05-21T06:41:21Z,23.138447,85.605645,289.761,6.891564,0,0,No Data,No Data
1179729757,2007-05-21T06:42:37Z,23.138926,85.607641,283.021,7.10279,0,0,No Data,No Data
1179729847,2007-05-21T06:44:07Z,23.139797,85.609907,283.407,7.354302,0,0,No Data,No Data
1179729927,2007-05-21T06:45:27Z,23.140487,85.611943,279.611,7.57656,0,0,No Data,No Data
1179730015,2007-05-21T06:46:55Z,23.141162,85.614195,279.734,7.819111,0,0,No Data,No Data
1179730106,2007-05-21T06:48:26Z,23.142045,85.616482,278.334,8.073115,0,0,No Data,No Data
1179730194,2007-05-21T06:49:54Z,23.142722,85.618744,277.837,8.316685,0,0,No Data,No Data
1179730260,2007-05-21T06:51:00Z,23.143015,85.620517,272.052,8.501141,0,0,No Data,No Data
1179730371,2007-05-21T06:52:51Z,23.143646,85.623426,272.888,8.807169,0,0,No Data,No Data
1179730566,2007-05-21T06:56:06Z,23.144753,85.628588,276.92,9.349843,0,0,No Data,No Data
1179730717,2007-05-21T06:58:37Z,23.145952,85.632474,272.164,9.769546,0,0,No Data,No Data
1179730846,2007-05-21T07:00:46Z,23.146767,85.635874,273.781,10.12928,0,0,No Data,No Data
1179730921,2007-05-21T07:02:01Z,23.147045,85.637880,268.482,10.33696,0,0,No Data,No Data
1179731017,2007-05-21T07:03:37Z,23.147713,85.640392,265.556,10.6047,0,0,No Data,No Data
1179731104,2007-05-21T07:05:04Z,23.148622,85.642513,271.103,10.84436,0,0,No Data,No Data
1179731205,2007-05-21T07:06:45Z,23.149504,85.645074,276.571,11.12436,0,0,No Data,No Data
1179731280,2007-05-21T07:08:00Z,23.149785,85.647092,272.832,11.33339,0,0,No Data,No Data
1179731340,2007-05-21T07:09:00Z,23.150098,85.648681,266.891,11.49982,0,0,No Data,No Data
1179731396,2007-05-21T07:09:56Z,23.150640,85.650096,265.0,11.65676,0,0,No Data,No Data
1179731449,2007-05-21T07:10:49Z,23.150968,85.651471,264.397,11.80226,0,0,No Data,No Data
1179731512,2007-05-21T07:11:52Z,23.151493,85.653103,264.272,11.9793,0,0,No Data,No Data
1179731544,2007-05-21T07:12:24Z,23.151430,85.653969,264.15,12.06825,0,0,No Data,No Data
1179731602,2007-05-21T07:13:22Z,23.151532,85.655524,262.677,12.22787,0,0,No Data,No Data
1179731673,2007-05-21T07:14:33Z,23.152041,85.657377,261.531,12.4259,0,0,No Data,No Data
1179731731,2007-05-21T07:15:31Z,23.152143,85.658934,261.587,12.58578,0,0,No Data,No Data
1179731776,2007-05-21T07:16:16Z,23.152490,85.660102,261.758,12.71149,0,0,No Data,No Data
1179731858,2007-05-21T07:17:38Z,23.152550,85.662319,260.71,12.93863,0,0,No Data,No Data
1179731924,2007-05-21T07:18:44Z,23.152641,85.664103,260.761,13.12159,0,0,No Data,No Data
1179731988,2007-05-21T07:19:48Z,23.152520,85.665845,259.959,13.30049,0,0,No Data,No Data
1179732052,2007-05-21T07:20:52Z,23.152397,85.667586,255.505,13.47927,0,0,No Data,No Data
1179732117,2007-05-21T07:21:57Z,23.152270,85.669321,257.508,13.65746,0,0,No Data,No Data
1179732181,2007-05-21T07:23:01Z,23.152142,85.671056,256.629,13.83565,0,0,No Data,No Data
1179732237,2007-05-21T07:23:57Z,23.152035,85.672580,257.872,13.99212,0,0,No Data,No Data
1179732285,2007-05-21T07:24:45Z,23.151944,85.673887,255.891,14.12638,0,0,No Data,No Data
1179732350,2007-05-21T07:25:50Z,23.151823,85.675631,253.393,14.3055,0,0,No Data,No Data
1179732390,2007-05-21T07:26:30Z,23.151533,85.676675,253.494,14.41715,0,0,No Data,No Data
1179732434,2007-05-21T07:27:14Z,23.150620,85.677360,250.635,14.54058,0,0,No Data,No Data
1179732479,2007-05-21T07:27:59Z,23.149709,85.678043,250.574,14.66377,0,0,No Data,No Data
1179732512,2007-05-21T07:28:32Z,23.149026,85.678555,250.188,14.75607,0,0,No Data,No Data
1179732548,2007-05-21T07:29:08Z,23.148148,85.678802,251.836,14.85695,0,0,No Data,No Data
1179732585,2007-05-21T07:29:45Z,23.147276,85.679054,254.195,14.9574,0,0,No Data,No Data
1179732636,2007-05-21T07:30:36Z,23.145989,85.679221,251.004,15.1017,0,0,No Data,No Data
1179732662,2007-05-21T07:31:02Z,23.145355,85.679078,250.953,15.17369,0,0,No Data,No Data
1179732714,2007-05-21T07:31:54Z,23.144068,85.678993,255.757,15.3172,0,0,No Data,No Data
1179732757,2007-05-21T07:32:37Z,23.143016,85.678753,258.005,15.43676,0,0,No Data,No Data
1179732783,2007-05-21T07:33:03Z,23.142390,85.678615,258.129,15.5078,0,0,No Data,No Data
1179732846,2007-05-21T07:34:06Z,23.140960,85.677858,262.629,15.68477,0,0,No Data,No Data
1179732886,2007-05-21T07:34:46Z,23.140157,85.677241,264.311,15.79414,0,0,No Data,No Data
1179732925,2007-05-21T07:35:25Z,23.139356,85.676625,266.282,15.9033,0,0,No Data,No Data
1179733000,2007-05-21T07:36:40Z,23.137744,85.675613,267.07,16.11044,0,0,No Data,No Data
1179733038,2007-05-21T07:37:18Z,23.136949,85.675003,267.007,16.21867,0,0,No Data,No Data
1179733112,2007-05-21T07:38:32Z,23.135356,85.674014,266.999,16.42283,0,0,No Data,No Data
1179733170,2007-05-21T07:39:30Z,23.134175,85.673112,266.278,16.58337,0,0,No Data,No Data
1179733224,2007-05-21T07:40:24Z,23.132984,85.672429,266.383,16.73321,0,0,No Data,No Data
1179733260,2007-05-21T07:41:00Z,23.132418,85.671659,265.903,16.83407,0,0,No Data,No Data
1179733322,2007-05-21T07:42:02Z,23.131027,85.670932,266.648,17.00583,0,0,No Data,No Data
1179733368,2007-05-21T07:42:48Z,23.130043,85.670290,269.649,17.13354,0,0,No Data,No Data
1179733456,2007-05-21T07:44:16Z,23.128299,85.668843,270.801,17.37769,0,0,No Data,No Data
1179733505,2007-05-21T07:45:05Z,23.127337,85.667995,273.354,17.5155,0,0,No Data,No Data
1179733555,2007-05-21T07:45:55Z,23.126377,85.667148,273.807,17.65299,0,0,No Data,No Data
1179733620,2007-05-21T07:47:00Z,23.125015,85.666210,270.905,17.8324,0,0,No Data,No Data
1179733674,2007-05-21T07:47:54Z,23.124073,85.665153,270.867,17.98306,0,0,No Data,No Data
1179733722,2007-05-21T07:48:42Z,23.123128,85.664329,268.419,18.11778,0,0,No Data,No Data
1179733783,2007-05-21T07:49:43Z,23.121998,85.663246,267.832,18.28541,0,0,No Data,No Data
1179733848,2007-05-21T07:50:48Z,23.120882,85.661950,273.921,18.46715,0,0,No Data,No Data
1179733932,2007-05-21T07:52:12Z,23.119386,85.660361,276.302,18.69987,0,0,No Data,No Data
1179734003,2007-05-21T07:53:23Z,23.118090,85.659051,275.61,18.89681,0,0,No Data,No Data
1179734063,2007-05-21T07:54:23Z,23.116969,85.657974,274.815,19.06324,0,0,No Data,No Data
1179734122,2007-05-21T07:55:22Z,23.115852,85.656901,274.421,19.22915,0,0,No Data,No Data
1179734199,2007-05-21T07:56:39Z,23.114570,85.655369,278.516,19.44118,0,0,No Data,No Data
1179734240,2007-05-21T07:57:20Z,23.113832,85.654582,279.202,19.55619,0,0,No Data,No Data
1179734305,2007-05-21T07:58:25Z,23.112735,85.653302,283.112,19.73531,0,0,No Data,No Data
1179734374,2007-05-21T07:59:34Z,23.111655,85.651817,286.675,19.92909,0,0,No Data,No Data
1179734427,2007-05-21T08:00:27Z,23.110950,85.650617,289.062,20.07483,0,0,No Data,No Data
1179734507,2007-05-21T08:01:47Z,23.109917,85.648751,290.294,20.29776,0,0,No Data,No Data
1179734602,2007-05-21T08:03:22Z,23.108900,85.646439,302.995,20.56013,0,0,No Data,No Data
1179734691,2007-05-21T08:04:51Z,23.108085,85.644187,313.566,20.80784,0,0,No Data,No Data
1179734810,2007-05-21T08:06:50Z,23.106767,85.641277,294.879,21.13994,0,0,No Data,No Data
1179734911,2007-05-21T08:08:31Z,23.106008,85.638678,288.037,21.41915,0,0,No Data,No Data
1179735084,2007-05-21T08:11:24Z,23.105391,85.634013,277.249,21.90167,0,0,No Data,No Data
1179735211,2007-05-21T08:13:31Z,23.104874,85.630612,280.345,22.25457,0,0,No Data,No Data
1179735344,2007-05-21T08:15:44Z,23.104561,85.627043,277.532,22.62166,0,0,No Data,No Data
1179735498,2007-05-21T08:18:18Z,23.104289,85.622856,279.683,23.05139,0,0,No Data,No Data
1179735674,2007-05-21T08:21:14Z,23.104252,85.618093,280.733,23.53912,0,0,No Data,No Data
1179735913,2007-05-21T08:25:13Z,23.103769,85.611622,279.688,24.20391,0,0,No Data,No Data
1179736125,2007-05-21T08:28:45Z,23.103813,85.605861,279.551,24.79382,0,0,No Data,No Data
1179736287,2007-05-21T08:31:27Z,23.103551,85.601490,283.266,25.24226,0,0,No Data,No Data
1179736402,2007-05-21T08:33:22Z,23.103393,85.598381,283.122,25.5611,0,0,No Data,No Data
1179736489,2007-05-21T08:34:49Z,23.102986,85.596061,286.492,25.80293,0,0,No Data,No Data
1179736557,2007-05-21T08:35:57Z,23.102936,85.594212,286.898,25.99234,0,0,No Data,No Data
1179736602,2007-05-21T08:36:42Z,23.102444,85.593121,288.473,26.11667,0,0,No Data,No Data
1179736670,2007-05-21T08:37:50Z,23.102392,85.591272,293.375,26.30608,0,0,No Data,No Data
1179736747,2007-05-21T08:39:07Z,23.102166,85.589196,298.089,26.52013,0,0,No Data,No Data
1179736812,2007-05-21T08:40:12Z,23.101720,85.587502,295.023,26.70047,0,0,No Data,No Data
1179736908,2007-05-21T08:41:48Z,23.101146,85.584977,288.053,26.96671,0,0,No Data,No Data
1179736992,2007-05-21T08:43:12Z,23.100933,85.582703,293.511,27.20072,0,0,No Data,No Data
1179737078,2007-05-21T08:44:38Z,23.100531,85.580408,296.037,27.43986,0,0,No Data,No Data
1179737217,2007-05-21T08:46:57Z,23.100045,85.576679,297.862,27.82546,0,0,No Data,No Data
1179737357,2007-05-21T08:49:17Z,23.099375,85.572940,297.264,28.21551,0,0,No Data,No Data
1179737512,2007-05-21T08:51:52Z,23.098738,85.568807,297.581,28.64457,0,0,No Data,No Data
1179737657,2007-05-21T08:54:17Z,23.098276,85.564903,296.276,29.0476,0,0,No Data,No Data
1179737786,2007-05-21T08:56:26Z,23.097972,85.561426,295.992,29.40526,0,0,No Data,No Data
1179737894,2007-05-21T08:58:14Z,23.097435,85.558540,294.136,29.70676,0,0,No Data,No Data
1179737947,2007-05-21T08:59:07Z,23.097351,85.557114,295.377,29.85299,0,0,No Data,No Data
1179738017,2007-05-21T09:00:17Z,23.096925,85.555257,298.81,30.04896,0,0,No Data,No Data
1179738086,2007-05-21T09:01:26Z,23.096685,85.553417,303.758,30.23924,0,0,No Data,No Data
1179738123,2007-05-21T09:02:03Z,23.096187,85.552568,302.303,30.34227,0,0,No Data,No Data
1179738153,2007-05-21T09:02:33Z,23.096245,85.551765,303.773,30.42472,0,0,No Data,No Data
1179738209,2007-05-21T09:03:29Z,23.095794,85.550316,302.248,30.58133,0,0,No Data,No Data
1179738246,2007-05-21T09:04:06Z,23.095867,85.549312,301.682,30.6844,0,0,No Data,No Data
1179738291,2007-05-21T09:04:51Z,23.095954,85.548108,302.372,30.80801,0,0,No Data,No Data
1179738335,2007-05-21T09:05:35Z,23.096042,85.546904,302.642,30.9316,0,0,No Data,No Data
1179738373,2007-05-21T09:06:13Z,23.096300,85.545914,303.793,31.0369,0,0,No Data,No Data
1179738433,2007-05-21T09:07:13Z,23.097145,85.544561,303.145,31.20433,0,0,No Data,No Data
1179738510,2007-05-21T09:08:30Z,23.098204,85.542818,304.514,31.41827,0,0,No Data,No Data
1179738558,2007-05-21T09:09:18Z,23.099352,85.542490,302.788,31.55044,0,0,No Data,No Data
1179738616,2007-05-21T09:10:16Z,23.100706,85.541973,302.944,31.71027,0,0,No Data,No Data
1179738671,2007-05-21T09:11:11Z,23.102050,85.541655,301.475,31.86342,0,0,No Data,No Data
1179738711,2007-05-21T09:11:51Z,23.103019,85.541313,300.235,31.97684,0,0,No Data,No Data
1179738749,2007-05-21T09:12:29Z,23.103960,85.541376,298.105,32.08188,0,0,No Data,No Data
1179738780,2007-05-21T09:13:00Z,23.104715,85.541426,298.704,32.16614,0,0,No Data,No Data
1179738810,2007-05-21T09:13:30Z,23.105471,85.541476,300.101,32.25051,0,0,No Data,No Data
1179738886,2007-05-21T09:14:46Z,23.107365,85.541602,298.555,32.46185,0,0,No Data,No Data
1179738947,2007-05-21T09:15:47Z,23.108890,85.541702,294.009,32.63198,0,0,No Data,No Data
1179738993,2007-05-21T09:16:33Z,23.110036,85.541778,292.641,32.75984,0,0,No Data,No Data
1179739039,2007-05-21T09:17:19Z,23.111182,85.541855,293.186,32.88776,0,0,No Data,No Data
1179739078,2007-05-21T09:17:58Z,23.112143,85.541918,291.855,32.99504,0,0,No Data,No Data
1179739125,2007-05-21T09:18:45Z,23.113299,85.541994,291.0,33.124,0,0,No Data,No Data
1179739179,2007-05-21T09:19:39Z,23.114633,85.542290,291.943,33.27564,0,0,No Data,No Data
1179739226,2007-05-21T09:20:26Z,23.115797,85.542366,288.449,33.40553,0,0,No Data,No Data
1179739273,2007-05-21T09:21:13Z,23.116954,85.542647,285.177,33.53763,0,0,No Data,No Data
1179739333,2007-05-21T09:22:13Z,23.118279,85.543355,281.91,33.70206,0,0,No Data,No Data
1179739367,2007-05-21T09:22:47Z,23.119017,85.543823,282.861,33.79726,0,0,No Data,No Data
1179739408,2007-05-21T09:23:28Z,23.119949,85.544306,287.648,33.91231,0,0,No Data,No Data
