UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,19.484073,84.902544,27.668,0,0,0,No Data,No Data
1179727276,2007-05-21T06:01:16Z,19.484076,84.900541,32.134,0.2101451,0,0,No Data,No Data
1179727343,2007-05-21T06:02:23Z,19.484833,84.898936,35.849,0.3984986,0,0,No Data,No Data
1179727453,2007-05-21T06:04:13Z,19.486346,84.896526,43.418,0.7023533,0,0,No Data,No Data
1179727549,2007-05-21T06:05:49Z,19.487856,84.894531,41.973,0.9708474,0,0,No Data,No Data
1179727635,2007-05-21T06:07:15Z,19.489364,84.892937,29.611,1.207832,0,0,No Data,No Data
1179727753,2007-05-21T06:09:13Z,19.491626,84.890945,21.203,1.535096,0,0,No Data,No Data
1179727840,2007-05-21T06:10:40Z,19.493511,84.889751,16.85,1.77949,0,0,No Data,No Data
1179727962,2007-05-21T06:12:42Z,19.496149,84.888159,17.338,2.11742,0,0,No Data,No Data
1179728029,2007-05-21T06:13:49Z,19.497656,84.887365,17.899,2.304814,0,0,No Data,No Data
1179728117,2007-05-21T06:15:17Z,19.499540,84.886177,19.023,2.548852,0,0,No Data,No Data
1179728256,2007-05-21T06:17:36Z,19.502179,84.883794,85.886,2.934685,0,0,No Data,No Data
1179728332,2007-05-21T06:18:52Z,19.502182,84.881793,136.88,3.144577,0,0,No Data,No Data
1179728413,2007-05-21T06:20:13Z,19.501431,84.879788,77.868,3.370902,0,0,No Data,No Data
1179728474,2007-05-21T06:21:14Z,19.501433,84.878190,59.109,3.538584,0,0,No Data,No Data
1179728555,2007-05-21T06:22:35Z,19.500681,84.876193,34.934,3.764157,0,0,No Data,No Data
1179728684,2007-05-21T06:24:44Z,19.499554,84.872999,26.883,4.122014,0,0,No Data,No Data
1179728790,2007-05-21T06:26:30Z,19.499180,84.870204,27.197,4.418188,0,0,No Data,No Data
1179728892,2007-05-21T06:28:12Z,19.498051,84.867808,25.112,4.69921,0,0,No Data,No Data
1179728982,2007-05-21T06:29:42Z,19.498054,84.865413,20.322,4.950514,0,0,No Data,No Data
1179729057,2007-05-21T06:30:57Z,19.498055,84.863417,20.6,5.159942,0,0,No Data,No Data
1179729087,2007-05-21T06:31:27Z,19.498056,84.862618,19.523,5.24369,0,0,No Data,No Data
1179729194,2007-05-21T06:33:14Z,19.497682,84.859820,20.047,5.540156,0,0,No Data,No Data
1179729257,2007-05-21T06:34:17Z,19.497307,84.858220,19.6,5.713118,0,0,No Data,No Data
1179729348,2007-05-21T06:35:48Z,19.496933,84.855820,19.011,5.968375,0,0,No Data,No Data
1179729440,2007-05-21T06:37:20Z,19.496559,84.853420,20.0,6.223653,0,0,No Data,No Data
1179729546,2007-05-21T06:39:06Z,19.496562,84.850620,19.093,6.517438,0,0,No Data,No Data
1179729637,2007-05-21T06:40:37Z,19.496564,84.848221,21.641,6.769191,0,0,No Data,No Data
1179729727,2007-05-21T06:42:07Z,19.496567,84.845821,21.895,7.020994,0,0,No Data,No Data
1179729863,2007-05-21T06:44:23Z,19.496571,84.842222,23.295,7.398675,0,0,No Data,No Data
1179729931,2007-05-21T06:45:31Z,19.497326,84.840622,22.2,7.586438,0,0,No Data,No Data
1179730022,2007-05-21T06:47:02Z,19.497329,84.838222,23.618,7.838283,0,0,No Data,No Data
1179730076,2007-05-21T06:47:56Z,19.498084,84.837022,24.171,7.989652,0,0,No Data,No Data
1179730182,2007-05-21T06:49:42Z,19.495447,84.837020,22.576,8.283222,0,0,No Data,No Data
1179730333,2007-05-21T06:52:13Z,19.491679,84.837016,23.574,8.702688,0,0,No Data,No Data
1179730454,2007-05-21T06:54:14Z,19.488664,84.837013,21.232,9.038243,0,0,No Data,No Data
1179730501,2007-05-21T06:55:01Z,19.487534,84.836613,21.061,9.170761,0,0,No Data,No Data
1179730563,2007-05-21T06:56:03Z,19.486027,84.836212,20.603,9.343632,0,0,No Data,No Data
1179730670,2007-05-21T06:57:50Z,19.484145,84.834211,20.079,9.640167,0,0,No Data,No Data
1179730767,2007-05-21T06:59:27Z,19.482640,84.832211,22.721,9.908675,0,0,No Data,No Data
1179730909,2007-05-21T07:01:49Z,19.480760,84.829010,22.159,10.3044,0,0,No Data,No Data
1179731006,2007-05-21T07:03:26Z,19.479255,84.827010,22.587,10.57292,0,0,No Data,No Data
1179731141,2007-05-21T07:05:41Z,19.477751,84.823810,22.427,10.94811,0,0,No Data,No Data
1179731209,2007-05-21T07:06:49Z,19.476999,84.822210,22.653,11.13565,0,0,No Data,No Data
1179731294,2007-05-21T07:08:14Z,19.475494,84.820610,22.566,11.37284,0,0,No Data,No Data
1179731380,2007-05-21T07:09:40Z,19.473988,84.819010,22.04,11.61009,0,0,No Data,No Data
1179731476,2007-05-21T07:11:16Z,19.472106,84.817409,22.949,11.87862,0,0,No Data,No Data
1179731506,2007-05-21T07:11:46Z,19.472107,84.816610,22.628,11.96248,0,0,No Data,No Data
1179731554,2007-05-21T07:12:34Z,19.472485,84.815410,23.493,12.09523,0,0,No Data,No Data
1179731631,2007-05-21T07:13:51Z,19.472864,84.813411,22.51,12.3092,0,0,No Data,No Data
1179731741,2007-05-21T07:15:41Z,19.473621,84.810613,23.573,12.61472,0,0,No Data,No Data
1179731818,2007-05-21T07:16:58Z,19.473999,84.808614,23.47,12.82871,0,0,No Data,No Data
1179731976,2007-05-21T07:19:36Z,19.475134,84.804616,23.92,13.26689,0,0,No Data,No Data
1179732043,2007-05-21T07:20:43Z,19.475889,84.803018,25.89,13.45454,0,0,No Data,No Data
1179732125,2007-05-21T07:22:05Z,19.476645,84.801019,25.537,13.68057,0,0,No Data,No Data
1179732234,2007-05-21T07:23:54Z,19.478154,84.798622,24.728,13.98311,0,0,No Data,No Data
1179732309,2007-05-21T07:25:09Z,19.479286,84.797024,25.489,14.19291,0,0,No Data,No Data
1179732418,2007-05-21T07:26:58Z,19.480795,84.794626,24.166,14.49546,0,0,No Data,No Data
1179732525,2007-05-21T07:28:45Z,19.482680,84.792629,24.122,14.79208,0,0,No Data,No Data
1179732592,2007-05-21T07:29:52Z,19.483435,84.791031,24.216,14.97968,0,0,No Data,No Data
1179732653,2007-05-21T07:30:53Z,19.483436,84.789432,25.28,15.14742,0,0,No Data,No Data
1179732743,2007-05-21T07:32:23Z,19.483438,84.787035,24.639,15.39899,0,0,No Data,No Data
1179732864,2007-05-21T07:34:24Z,19.483440,84.783837,25.344,15.73455,0,0,No Data,No Data
1179733000,2007-05-21T07:36:40Z,19.483443,84.780241,24.962,16.11196,0,0,No Data,No Data
1179733076,2007-05-21T07:37:56Z,19.483445,84.778242,26.678,16.32166,0,0,No Data,No Data
1179733226,2007-05-21T07:40:26Z,19.483447,84.774247,27.629,16.74093,0,0,No Data,No Data
1179733362,2007-05-21T07:42:42Z,19.483449,84.770651,27.297,17.11835,0,0,No Data,No Data
1179733483,2007-05-21T07:44:43Z,19.483452,84.767453,25.19,17.45389,0,0,No Data,No Data
1179733559,2007-05-21T07:45:59Z,19.484959,84.766255,26.024,17.66357,0,0,No Data,No Data
1179733640,2007-05-21T07:47:20Z,19.486843,84.765457,26.117,17.88949,0,0,No Data,No Data
1179733716,2007-05-21T07:48:36Z,19.488727,84.765458,26.503,18.09927,0,0,No Data,No Data
1179733778,2007-05-21T07:49:38Z,19.490234,84.765059,27.353,18.27222,0,0,No Data,No Data
1179733870,2007-05-21T07:51:10Z,19.492494,84.764660,28.588,18.52736,0,0,No Data,No Data
1179733965,2007-05-21T07:52:45Z,19.494755,84.763862,28.52,18.79267,0,0,No Data,No Data
1179733980,2007-05-21T07:53:00Z,19.495132,84.763862,28.741,18.83466,0,0,No Data,No Data
1179734062,2007-05-21T07:54:22Z,19.497016,84.763064,28.69,19.06049,0,0,No Data,No Data
1179734163,2007-05-21T07:56:03Z,19.499276,84.761866,30.527,19.34181,0,0,No Data,No Data
1179734206,2007-05-21T07:56:46Z,19.500030,84.761067,29.01,19.46046,0,0,No Data,No Data
1179734324,2007-05-21T07:58:44Z,19.502291,84.759070,27.558,19.78801,0,0,No Data,No Data
1179734445,2007-05-21T08:00:45Z,19.503799,84.756274,28.944,20.12607,0,0,No Data,No Data
1179734580,2007-05-21T08:03:00Z,19.505307,84.753078,28.37,20.50114,0,0,No Data,No Data
1179734709,2007-05-21T08:05:09Z,19.506439,84.749882,29.766,20.85942,0,0,No Data,No Data
1179734752,2007-05-21T08:05:52Z,19.507193,84.749083,31.074,20.97804,0,0,No Data,No Data
1179734849,2007-05-21T08:07:29Z,19.509076,84.747486,28.859,21.24651,0,0,No Data,No Data
1179734940,2007-05-21T08:09:00Z,19.511336,84.747087,29.004,21.50167,0,0,No Data,No Data
1179735032,2007-05-21T08:10:32Z,19.513596,84.746688,28.316,21.75681,0,0,No Data,No Data
1179735139,2007-05-21T08:12:19Z,19.516233,84.746290,27.281,22.05337,0,0,No Data,No Data
1179735246,2007-05-21T08:14:06Z,19.518869,84.745892,29.904,22.34988,0,0,No Data,No Data
1179735279,2007-05-21T08:14:39Z,19.519246,84.745093,30.888,22.44365,0,0,No Data,No Data
1179735347,2007-05-21T08:15:47Z,19.520000,84.743495,28.999,22.63118,0,0,No Data,No Data
1179735448,2007-05-21T08:17:28Z,19.521131,84.741098,29.194,22.91246,0,0,No Data,No Data
1179735617,2007-05-21T08:20:17Z,19.521886,84.736703,29.988,23.38123,0,0,No Data,No Data
1179735766,2007-05-21T08:22:46Z,19.523394,84.733107,29.198,23.79419,0,0,No Data,No Data
1179735890,2007-05-21T08:24:50Z,19.524148,84.729910,28.145,24.13991,0,0,No Data,No Data
1179736000,2007-05-21T08:26:40Z,19.524902,84.727113,29.591,24.4451,0,0,No Data,No Data
1179736118,2007-05-21T08:28:38Z,19.526786,84.724716,31.516,24.77256,0,0,No Data,No Data
1179736161,2007-05-21T08:29:21Z,19.527539,84.723917,30.332,24.89112,0,0,No Data,No Data
1179736290,2007-05-21T08:31:30Z,19.529423,84.721121,31.0,25.25173,0,0,No Data,No Data
1179736387,2007-05-21T08:33:07Z,19.531306,84.719523,30.571,25.52014,0,0,No Data,No Data
1179736462,2007-05-21T08:34:22Z,19.532812,84.718325,31.372,25.72969,0,0,No Data,No Data
1179736548,2007-05-21T08:35:48Z,19.534318,84.716728,30.014,25.96678,0,0,No Data,No Data
1179736666,2007-05-21T08:37:46Z,19.536578,84.714731,31.391,26.29416,0,0,No Data,No Data
1179736708,2007-05-21T08:38:28Z,19.537331,84.713932,31.483,26.41265,0,0,No Data,No Data
1179736826,2007-05-21T08:40:26Z,19.539213,84.711536,31.9,26.73991,0,0,No Data,No Data
1179736944,2007-05-21T08:42:24Z,19.541096,84.709140,34.01,27.06727,0,0,No Data,No Data
1179736998,2007-05-21T08:43:18Z,19.541849,84.707941,34.547,27.21842,0,0,No Data,No Data
1179737086,2007-05-21T08:44:46Z,19.542979,84.705944,36.134,27.46278,0,0,No Data,No Data
1179737187,2007-05-21T08:46:27Z,19.544109,84.703547,39.485,27.7439,0,0,No Data,No Data
1179737309,2007-05-21T08:48:29Z,19.545615,84.700751,44.389,28.08176,0,0,No Data,No Data
1179737384,2007-05-21T08:49:44Z,19.546742,84.699156,45.818,28.29095,0,0,No Data,No Data
1179737446,2007-05-21T08:50:46Z,19.547105,84.697572,48.644,28.46193,0,0,No Data,No Data
1179737554,2007-05-21T08:52:34Z,19.548591,84.695197,75.202,28.76099,0,0,No Data,No Data
1179737634,2007-05-21T08:53:54Z,19.549324,84.693223,82.245,28.98355,0,0,No Data,No Data
1179737734,2007-05-21T08:55:34Z,19.550428,84.690857,129.825,29.26053,0,0,No Data,No Data
1179737808,2007-05-21T08:56:48Z,19.551541,84.689279,191.765,29.46734,0,0,No Data,No Data
1179737883,2007-05-21T08:58:03Z,19.552667,84.687687,182.459,29.67619,0,0,No Data,No Data
1179738005,2007-05-21T09:00:05Z,19.554174,84.684893,180.617,30.01389,0,0,No Data,No Data
1179738081,2007-05-21T09:01:21Z,19.555307,84.683291,179.483,30.22405,0,0,No Data,No Data
1179738158,2007-05-21T09:02:38Z,19.556845,84.682053,137.459,30.439,0,0,No Data,No Data
1179738193,2007-05-21T09:03:13Z,19.557620,84.681628,108.727,30.53619,0,0,No Data,No Data
1179738261,2007-05-21T09:04:21Z,19.559137,84.680816,72.635,30.72537,0,0,No Data,No Data
1179738388,2007-05-21T09:06:28Z,19.561384,84.678432,65.62,31.07912,0,0,No Data,No Data
1179738431,2007-05-21T09:07:11Z,19.562139,84.677630,65.852,31.19805,0,0,No Data,No Data
