UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,23.325543,85.355807,620.02,0,0,0,No Data,No Data
1179727210,2007-05-21T06:00:10Z,23.325498,85.355539,620.211,0.0277704,0,0,No Data,No Data
1179727220,2007-05-21T06:00:20Z,23.325454,85.355271,620.367,0.0555369,0,0,No Data,No Data
1179727238,2007-05-21T06:00:38Z,23.325487,85.354770,620.356,0.106889,0,0,No Data,No Data
1179727264,2007-05-21T06:01:04Z,23.325533,85.354080,620.089,0.1775735,0,0,No Data,No Data
1179727291,2007-05-21T06:01:31Z,23.325584,85.353330,621.801,0.2544078,0,0,No Data,No Data
1179727326,2007-05-21T06:02:06Z,23.325643,85.352386,620.847,0.351085,0,0,No Data,No Data
1179727361,2007-05-21T06:02:41Z,23.325704,85.351445,621.088,0.4474977,0,0,No Data,No Data
1179727390,2007-05-21T06:03:10Z,23.325883,85.350664,620.37,0.529736,0,0,No Data,No Data
1179727420,2007-05-21T06:03:40Z,23.326058,85.349877,621.5,0.6124588,0,0,No Data,No Data
1179727432,2007-05-21T06:03:52Z,23.326080,85.349566,621.439,0.6443439,0,0,No Data,No Data
1179727446,2007-05-21T06:04:06Z,23.326166,85.349204,621.418,0.6825265,0,0,No Data,No Data
1179727455,2007-05-21T06:04:15Z,23.326306,85.348983,621.319,0.7099558,0,0,No Data,No Data
1179727474,2007-05-21T06:04:34Z,23.326340,85.348482,620.609,0.7612666,0,0,No Data,No Data
1179727483,2007-05-21T06:04:43Z,23.326357,85.348232,620.645,0.7868942,0,0,No Data,No Data
1179727497,2007-05-21T06:04:57Z,23.326444,85.347869,621.639,0.8251883,0,0,No Data,No Data
1179727509,2007-05-21T06:05:09Z,23.326587,85.347583,622.623,0.8584675,0,0,No Data,No Data
1179727525,2007-05-21T06:05:25Z,23.326860,85.347263,623.318,0.9030957,0,0,No Data,No Data
1179727539,2007-05-21T06:05:39Z,23.327010,85.346915,623.246,0.9423764,0,0,No Data,No Data
1179727554,2007-05-21T06:05:54Z,23.327222,85.346580,622.702,0.9839571,0,0,No Data,No Data
1179727571,2007-05-21T06:06:11Z,23.327437,85.346179,622.194,1.031369,0,0,No Data,No Data
1179727601,2007-05-21T06:06:41Z,23.327863,85.345505,623.138,1.114991,0,0,No Data,No Data
1179727621,2007-05-21T06:07:01Z,23.328153,85.345059,623.624,1.170866,0,0,No Data,No Data
1179727644,2007-05-21T06:07:24Z,23.328450,85.344550,624.811,1.232556,0,0,No Data,No Data
1179727663,2007-05-21T06:07:43Z,23.328673,85.344081,625.45,1.286502,0,0,No Data,No Data
1179727680,2007-05-21T06:08:00Z,23.328828,85.343662,625.954,1.332646,0,0,No Data,No Data
1179727696,2007-05-21T06:08:16Z,23.329108,85.343333,626.86,1.378481,0,0,No Data,No Data
1179727716,2007-05-21T06:08:36Z,23.329334,85.342864,626.839,1.432633,0,0,No Data,No Data
1179727730,2007-05-21T06:08:50Z,23.329424,85.342495,626.608,1.471648,0,0,No Data,No Data
1179727749,2007-05-21T06:09:09Z,23.329650,85.342023,626.351,1.526021,0,0,No Data,No Data
1179727771,2007-05-21T06:09:31Z,23.329817,85.341474,626.342,1.585072,0,0,No Data,No Data
1179727802,2007-05-21T06:10:02Z,23.330130,85.340694,627.731,1.672089,0,0,No Data,No Data
1179727811,2007-05-21T06:10:11Z,23.330212,85.340450,628.04,1.698576,0,0,No Data,No Data
1179727834,2007-05-21T06:10:34Z,23.330510,85.339924,628.581,1.761788,0,0,No Data,No Data
1179727844,2007-05-21T06:10:44Z,23.330657,85.339691,628.122,1.790656,0,0,No Data,No Data
1179727859,2007-05-21T06:10:59Z,23.330813,85.339330,626.773,1.831377,0,0,No Data,No Data
1179727872,2007-05-21T06:11:12Z,23.331089,85.339119,626.485,1.868887,0,0,No Data,No Data
1179727892,2007-05-21T06:11:32Z,23.331384,85.338719,625.894,1.921371,0,0,No Data,No Data
1179727914,2007-05-21T06:11:54Z,23.331821,85.338345,625.963,1.983247,0,0,No Data,No Data
