UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,30.090493,78.308795,504.244,0,0,0,No Data,No Data
1179727256,2007-05-21T06:00:56Z,30.089302,78.307936,484.252,0.1562166,0,0,No Data,No Data
1179727666,2007-05-21T06:07:46Z,30.079288,78.305530,459.868,1.294849,0,0,No Data,No Data
1179727880,2007-05-21T06:11:20Z,30.074056,78.304311,452.55,1.888945,0,0,No Data,No Data
1179728348,2007-05-21T06:19:08Z,30.062379,78.304601,479.94,3.189165,0,0,No Data,No Data
1179728380,2007-05-21T06:19:40Z,30.061581,78.304629,477.128,3.277944,0,0,No Data,No Data
1179728508,2007-05-21T06:21:48Z,30.058394,78.304744,477.264,3.63292,0,0,No Data,No Data
1179728622,2007-05-21T06:23:42Z,30.055572,78.304359,442.12,3.949238,0,0,No Data,No Data
1179728716,2007-05-21T06:25:16Z,30.053530,78.303025,429.977,4.210341,0,0,No Data,No Data
1179728802,2007-05-21T06:26:42Z,30.051500,78.302153,462.903,4.451452,0,0,No Data,No Data
1179728910,2007-05-21T06:28:30Z,30.049067,78.300842,485.125,4.750253,0,0,No Data,No Data
1179729066,2007-05-21T06:31:06Z,30.046231,78.297747,366.938,5.184463,0,0,No Data,No Data
1179729155,2007-05-21T06:32:35Z,30.044614,78.295984,354.497,5.431903,0,0,No Data,No Data
1179729313,2007-05-21T06:35:13Z,30.042175,78.292425,343.485,5.869294,0,0,No Data,No Data
1179729383,2007-05-21T06:36:23Z,30.041355,78.290631,330.725,6.064716,0,0,No Data,No Data
1179729475,2007-05-21T06:37:55Z,30.040129,78.288395,329.583,6.319742,0,0,No Data,No Data
1179729554,2007-05-21T06:39:14Z,30.038900,78.286602,324.22,6.540042,0,0,No Data,No Data
1179729612,2007-05-21T06:40:12Z,30.037676,78.285714,329.668,6.700906,0,0,No Data,No Data
1179729738,2007-05-21T06:42:18Z,30.035211,78.283469,352.584,7.050316,0,0,No Data,No Data
1179729841,2007-05-21T06:44:01Z,30.033550,78.281202,356.253,7.336491,0,0,No Data,No Data
1179729921,2007-05-21T06:45:21Z,30.031914,78.279864,357.671,7.559591,0,0,No Data,No Data
1179730015,2007-05-21T06:46:55Z,30.029874,78.278535,346.585,7.820255,0,0,No Data,No Data
1179730061,2007-05-21T06:47:41Z,30.029050,78.277634,339.0,7.946544,0,0,No Data,No Data
1179730164,2007-05-21T06:49:24Z,30.026999,78.275843,347.836,8.232705,0,0,No Data,No Data
1179730236,2007-05-21T06:50:36Z,30.026154,78.274016,340.617,8.432262,0,0,No Data,No Data
1179730316,2007-05-21T06:51:56Z,30.024907,78.272202,356.097,8.655468,0,0,No Data,No Data
1179730409,2007-05-21T06:53:29Z,30.023650,78.269924,348.973,8.915768,0,0,No Data,No Data
1179730512,2007-05-21T06:55:12Z,30.022777,78.267163,347.215,9.199072,0,0,No Data,No Data
1179730592,2007-05-21T06:56:32Z,30.021525,78.265342,347.682,9.423136,0,0,No Data,No Data
1179730686,2007-05-21T06:58:06Z,30.020261,78.263056,356.0,9.684532,0,0,No Data,No Data
1179730794,2007-05-21T06:59:54Z,30.018991,78.260314,316.229,9.98423,0,0,No Data,No Data
1179730874,2007-05-21T07:01:14Z,30.017748,78.258506,311.105,10.20672,0,0,No Data,No Data
1179730919,2007-05-21T07:01:59Z,30.016935,78.257619,308.48,10.33117,0,0,No Data,No Data
1179731020,2007-05-21T07:03:40Z,30.014522,78.256790,315.417,10.61135,0,0,No Data,No Data
1179731121,2007-05-21T07:05:21Z,30.012097,78.255948,326.54,10.89314,0,0,No Data,No Data
1179731251,2007-05-21T07:07:31Z,30.008872,78.255582,359.096,11.25386,0,0,No Data,No Data
1179731353,2007-05-21T07:09:13Z,30.006439,78.254728,356.183,11.53687,0,0,No Data,No Data
1179731425,2007-05-21T07:10:25Z,30.004810,78.253849,336.039,11.73693,0,0,No Data,No Data
1179731533,2007-05-21T07:12:13Z,30.002367,78.252532,317.958,12.03699,0,0,No Data,No Data
1179731615,2007-05-21T07:13:35Z,30.000348,78.252130,350.772,12.26502,0,0,No Data,No Data
1179731709,2007-05-21T07:15:09Z,29.998307,78.250801,368.158,12.52582,0,0,No Data,No Data
1179731825,2007-05-21T07:17:05Z,29.995854,78.249021,381.546,12.84833,0,0,No Data,No Data
1179731919,2007-05-21T07:18:39Z,29.993813,78.247692,376.888,13.10911,0,0,No Data,No Data
1179732056,2007-05-21T07:20:56Z,29.991335,78.244981,343.791,13.48911,0,0,No Data,No Data
1179732195,2007-05-21T07:23:15Z,29.988469,78.242747,329.534,13.87401,0,0,No Data,No Data
1179732343,2007-05-21T07:25:43Z,29.985594,78.240056,340.751,14.28602,0,0,No Data,No Data
1179732423,2007-05-21T07:27:03Z,29.983955,78.238715,353.516,14.50953,0,0,No Data,No Data
1179732552,2007-05-21T07:29:12Z,29.982275,78.235531,338.077,14.86899,0,0,No Data,No Data
1179732655,2007-05-21T07:30:55Z,29.980616,78.233268,329.898,15.15483,0,0,No Data,No Data
1179732804,2007-05-21T07:33:24Z,29.978132,78.230105,349.506,15.56653,0,0,No Data,No Data
1179732849,2007-05-21T07:34:09Z,29.977307,78.229204,349.02,15.69287,0,0,No Data,No Data
1179732987,2007-05-21T07:36:27Z,29.975225,78.226037,319.161,16.0762,0,0,No Data,No Data
1179733074,2007-05-21T07:37:54Z,29.974368,78.223751,322.865,16.31637,0,0,No Data,No Data
1179733156,2007-05-21T07:39:16Z,29.973911,78.221449,314.656,16.54404,0,0,No Data,No Data
1179733288,2007-05-21T07:41:28Z,29.973019,78.217768,308.244,16.91256,0,0,No Data,No Data
1179733370,2007-05-21T07:42:50Z,29.972562,78.215465,318.682,17.14038,0,0,No Data,No Data
1179733472,2007-05-21T07:44:32Z,29.971692,78.212712,321.96,17.42293,0,0,No Data,No Data
1179733574,2007-05-21T07:46:14Z,29.970822,78.209959,319.012,17.70547,0,0,No Data,No Data
1179733646,2007-05-21T07:47:26Z,29.969975,78.208133,317.255,17.9052,0,0,No Data,No Data
