UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,30.121959,78.322805,362.995,0,0,0,No Data,No Data
1179727294,2007-05-21T06:01:34Z,30.119599,78.322732,417.721,0.2628239,0,0,No Data,No Data
1179727409,2007-05-21T06:03:29Z,30.116746,78.322752,513.863,0.5803608,0,0,No Data,No Data
1179727616,2007-05-21T06:06:56Z,30.111568,78.322726,614.597,1.15672,0,0,No Data,No Data
1179727754,2007-05-21T06:09:14Z,30.108130,78.322718,627.289,1.539433,0,0,No Data,No Data
1179727911,2007-05-21T06:11:51Z,30.104266,78.323518,607.94,1.976419,0,0,No Data,No Data
1179728012,2007-05-21T06:13:32Z,30.102020,78.324822,601.472,2.256175,0,0,No Data,No Data
1179728133,2007-05-21T06:15:33Z,30.099015,78.324608,727.502,2.591339,0,0,No Data,No Data
1179728299,2007-05-21T06:18:19Z,30.094869,78.324999,926.999,3.054426,0,0,No Data,No Data
1179728496,2007-05-21T06:21:36Z,30.089975,78.325314,867.755,3.600024,0,0,No Data,No Data
1179728738,2007-05-21T06:25:38Z,30.083929,78.325615,748.023,4.273735,0,0,No Data,No Data
1179728881,2007-05-21T06:28:01Z,30.080669,78.323988,701.331,4.669037,0,0,No Data,No Data
1179729048,2007-05-21T06:30:48Z,30.076772,78.322256,658.585,5.133848,0,0,No Data,No Data
1179729176,2007-05-21T06:32:56Z,30.073983,78.320483,627.817,5.48815,0,0,No Data,No Data
1179729284,2007-05-21T06:34:44Z,30.071750,78.318691,556.317,5.790717,0,0,No Data,No Data
1179729403,2007-05-21T06:36:43Z,30.068958,78.317537,571.4,6.120775,0,0,No Data,No Data
1179729540,2007-05-21T06:39:00Z,30.065588,78.316984,597.382,6.499628,0,0,No Data,No Data
1179729674,2007-05-21T06:41:14Z,30.062233,78.317074,577.153,6.873226,0,0,No Data,No Data
1179729786,2007-05-21T06:43:06Z,30.059440,78.317156,617.33,7.184161,0,0,No Data,No Data
1179729920,2007-05-21T06:45:20Z,30.056107,78.317290,591.157,7.555348,0,0,No Data,No Data
1179730143,2007-05-21T06:49:03Z,30.050549,78.316900,548.266,8.17516,0,0,No Data,No Data
1179730262,2007-05-21T06:51:02Z,30.047748,78.315742,533.741,8.506252,0,0,No Data,No Data
1179730354,2007-05-21T06:52:34Z,30.045510,78.315190,531.767,8.76099,0,0,No Data,No Data
1179730538,2007-05-21T06:55:38Z,30.041025,78.314072,520.165,9.271687,0,0,No Data,No Data
1179730649,2007-05-21T06:57:29Z,30.038751,78.312220,481.482,9.581374,0,0,No Data,No Data
1179730810,2007-05-21T07:00:10Z,30.035343,78.309753,542.783,10.02907,0,0,No Data,No Data
1179730921,2007-05-21T07:02:01Z,30.033075,78.307921,477.008,10.33712,0,0,No Data,No Data
1179731094,2007-05-21T07:04:54Z,30.029663,78.304846,485.398,10.81884,0,0,No Data,No Data
1179731268,2007-05-21T07:07:48Z,30.026798,78.301117,482.098,11.29928,0,0,No Data,No Data
1179731427,2007-05-21T07:10:27Z,30.024485,78.297355,414.692,11.74393,0,0,No Data,No Data
1179731607,2007-05-21T07:13:27Z,30.022149,78.292926,402.285,12.24376,0,0,No Data,No Data
1179731757,2007-05-21T07:15:57Z,30.020386,78.289122,381.645,12.65961,0,0,No Data,No Data
1179731789,2007-05-21T07:16:29Z,30.019812,78.288495,376.719,12.74748,0,0,No Data,No Data
1179731969,2007-05-21T07:19:29Z,30.015842,78.286058,363.228,13.248,0,0,No Data,No Data
1179732100,2007-05-21T07:21:40Z,30.012996,78.284204,369.908,13.61165,0,0,No Data,No Data
1179732264,2007-05-21T07:24:24Z,30.009036,78.282991,402.824,14.06771,0,0,No Data,No Data
1179732416,2007-05-21T07:26:56Z,30.005621,78.281108,413.998,14.48893,0,0,No Data,No Data
1179732628,2007-05-21T07:30:28Z,30.000541,78.279326,435.948,15.07997,0,0,No Data,No Data
1179732791,2007-05-21T07:33:11Z,29.996605,78.278213,429.53,15.53107,0,0,No Data,No Data
1179732905,2007-05-21T07:35:05Z,29.993796,78.277678,384.793,15.84799,0,0,No Data,No Data
1179733068,2007-05-21T07:37:48Z,29.989850,78.276529,365.042,16.30098,0,0,No Data,No Data
1179733149,2007-05-21T07:39:09Z,29.988141,78.275298,360.653,16.52518,0,0,No Data,No Data
1179733271,2007-05-21T07:41:11Z,29.985307,78.274039,419.303,16.8632,0,0,No Data,No Data
1179733466,2007-05-21T07:44:26Z,29.981308,78.270835,450.146,17.40506,0,0,No Data,No Data
1179733623,2007-05-21T07:47:03Z,29.978437,78.267715,454.486,17.84396,0,0,No Data,No Data
1179733755,2007-05-21T07:49:15Z,29.976682,78.264510,472.256,18.20955,0,0,No Data,No Data
1179733826,2007-05-21T07:50:26Z,29.976077,78.262590,462.635,18.40655,0,0,No Data,No Data
1179733956,2007-05-21T07:52:36Z,29.974324,78.259456,444.614,18.76623,0,0,No Data,No Data
1179734126,2007-05-21T07:55:26Z,29.972538,78.254989,392.6,19.24063,0,0,No Data,No Data
1179734207,2007-05-21T07:56:47Z,29.971373,78.253099,434.2,19.4642,0,0,No Data,No Data
1179734396,2007-05-21T07:59:56Z,29.969569,78.248071,347.718,19.98904,0,0,No Data,No Data
1179734508,2007-05-21T08:01:48Z,29.967825,78.245563,366.485,20.29908,0,0,No Data,No Data
1179734620,2007-05-21T08:03:40Z,29.966083,78.243039,338.379,20.61023,0,0,No Data,No Data
1179734735,2007-05-21T08:05:35Z,29.965450,78.239790,380.752,20.93134,0,0,No Data,No Data
1179734866,2007-05-21T08:07:46Z,29.963696,78.236597,440.519,21.29589,0,0,No Data,No Data
1179734987,2007-05-21T08:09:47Z,29.962497,78.233420,429.566,21.63009,0,0,No Data,No Data
1179735117,2007-05-21T08:11:57Z,29.960738,78.230255,401.922,21.99269,0,0,No Data,No Data
1179735212,2007-05-21T08:13:32Z,29.959012,78.228372,378.858,22.25698,0,0,No Data,No Data
1179735339,2007-05-21T08:15:39Z,29.956710,78.225863,397.479,22.6094,0,0,No Data,No Data
