UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,25.995672,86.474494,45.248,0,0,0,No Data,No Data
1179727277,2007-05-21T06:01:17Z,25.995678,86.476645,46.403,0.2152757,0,0,No Data,No Data
1179727521,2007-05-21T06:05:21Z,25.992469,86.482394,46.598,0.8924787,0,0,No Data,No Data
1179727888,2007-05-21T06:11:28Z,25.986686,86.490304,44.667,1.91284,0,0,No Data,No Data
1179728513,2007-05-21T06:21:53Z,25.977070,86.503957,43.251,3.648605,0,0,No Data,No Data
1179728861,2007-05-21T06:27:41Z,25.971292,86.511145,45.102,4.613664,0,0,No Data,No Data
1179729321,2007-05-21T06:35:21Z,25.962292,86.519062,45.874,5.891074,0,0,No Data,No Data
1179729609,2007-05-21T06:40:09Z,25.955857,86.522668,47.982,6.693201,0,0,No Data,No Data
1179729755,2007-05-21T06:42:35Z,25.953288,86.525543,44.019,7.098967,0,0,No Data,No Data
1179729921,2007-05-21T06:45:21Z,25.950074,86.528421,45.307,7.558338,0,0,No Data,No Data
1179730050,2007-05-21T06:47:30Z,25.947503,86.530579,44.997,7.916953,0,0,No Data,No Data
1179730293,2007-05-21T06:51:33Z,25.942359,86.534179,49.124,8.593612,0,0,No Data,No Data
1179730552,2007-05-21T06:55:52Z,25.937217,86.538496,44.468,9.31086,0,0,No Data,No Data
1179730826,2007-05-21T07:00:26Z,25.932077,86.543528,44.0,10.07322,0,0,No Data,No Data
1179731048,2007-05-21T07:04:08Z,25.927577,86.547124,46.404,10.69013,0,0,No Data,No Data
1179731472,2007-05-21T07:11:12Z,25.919221,86.554315,45.768,11.86646,0,0,No Data,No Data
1179731622,2007-05-21T07:13:42Z,25.916005,86.556474,46.817,12.28464,0,0,No Data,No Data
1179731880,2007-05-21T07:18:00Z,25.910863,86.560788,46.874,13.00173,0,0,No Data,No Data
1179732139,2007-05-21T07:22:19Z,25.905716,86.565099,44.12,13.71911,0,0,No Data,No Data
1179732393,2007-05-21T07:26:33Z,25.899928,86.567982,45.497,14.42521,0,0,No Data,No Data
1179732543,2007-05-21T07:29:03Z,25.896713,86.570141,44.311,14.84332,0,0,No Data,No Data
1179732752,2007-05-21T07:32:32Z,25.892213,86.573020,48.33,15.42134,0,0,No Data,No Data
1179732995,2007-05-21T07:36:35Z,25.887070,86.576617,45.634,16.09774,0,0,No Data,No Data
1179733249,2007-05-21T07:40:49Z,25.881281,86.579499,45.677,16.80387,0,0,No Data,No Data
1179733538,2007-05-21T07:45:38Z,25.874200,86.580954,47.889,17.60546,0,0,No Data,No Data
1179733928,2007-05-21T07:52:08Z,25.864541,86.582414,46.542,18.69064,0,0,No Data,No Data
1179734135,2007-05-21T07:55:35Z,25.859389,86.582432,42.82,19.26411,0,0,No Data,No Data
1179734393,2007-05-21T07:59:53Z,25.852948,86.582452,42.518,19.98109,0,0,No Data,No Data
1179734950,2007-05-21T08:09:10Z,25.839413,86.578915,41.492,21.52898,0,0,No Data,No Data
1179735358,2007-05-21T08:15:58Z,25.829742,86.575368,43.694,22.66268,0,0,No Data,No Data
1179735678,2007-05-21T08:21:18Z,25.822008,86.573246,43.881,23.54952,0,0,No Data,No Data
1179735989,2007-05-21T08:26:29Z,25.814913,86.569692,43.228,24.41588,0,0,No Data,No Data
1179736398,2007-05-21T08:33:18Z,25.805242,86.566147,43.206,25.54956,0,0,No Data,No Data
1179736642,2007-05-21T08:37:22Z,25.799439,86.564020,46.216,26.22976,0,0,No Data,No Data
1179736966,2007-05-21T08:42:46Z,25.792342,86.559751,44.314,27.12817,0,0,No Data,No Data
1179737244,2007-05-21T08:47:24Z,25.785893,86.556912,40.093,27.90045,0,0,No Data,No Data
1179737581,2007-05-21T08:53:01Z,25.778793,86.551929,46.008,28.83547,0,0,No Data,No Data
1179738125,2007-05-21T09:02:05Z,25.767175,86.544101,39.843,30.34827,0,0,No Data,No Data
1179738599,2007-05-21T09:09:59Z,25.756851,86.537700,40.947,31.66466,0,0,No Data,No Data
1179738837,2007-05-21T09:13:57Z,25.752329,86.533425,40.89,32.32581,0,0,No Data,No Data
1179739138,2007-05-21T09:18:58Z,25.745874,86.529157,40.156,33.16221,0,0,No Data,No Data
1179739231,2007-05-21T09:20:31Z,25.743937,86.527733,40.599,33.42078,0,0,No Data,No Data
1179739360,2007-05-21T09:22:40Z,25.741353,86.525597,41.0,33.7793,0,0,No Data,No Data
1179739526,2007-05-21T09:25:26Z,25.738124,86.522749,41.899,34.23838,0,0,No Data,No Data
1179739676,2007-05-21T09:27:56Z,25.734896,86.520615,44.17,34.65655,0,0,No Data,No Data
1179739827,2007-05-21T09:30:27Z,25.731669,86.518482,40.999,35.07467,0,0,No Data,No Data
1179739977,2007-05-21T09:32:57Z,25.728441,86.516348,41.969,35.49287,0,0,No Data,No Data
1179740150,2007-05-21T09:35:50Z,25.724569,86.514217,43.517,35.97396,0,0,No Data,No Data
1179740280,2007-05-21T09:38:00Z,25.721985,86.512082,42.691,36.33252,0,0,No Data,No Data
1179740331,2007-05-21T09:38:51Z,25.720696,86.512086,39.343,36.47592,0,0,No Data,No Data
