UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,9.986069,77.981623,157.753,0,0,0,No Data,No Data
1179727224,2007-05-21T06:00:24Z,9.986686,77.981632,157.072,0.0687609,0,0,No Data,No Data
1179727266,2007-05-21T06:01:06Z,9.987509,77.981011,160.009,0.1828761,0,0,No Data,No Data
1179727308,2007-05-21T06:01:48Z,9.988538,77.980814,160.485,0.2995062,0,0,No Data,No Data
1179727344,2007-05-21T06:02:24Z,9.989362,77.980403,158.492,0.4016944,0,0,No Data,No Data
1179727381,2007-05-21T06:03:01Z,9.990186,77.979993,158.772,0.5038717,0,0,No Data,No Data
1179727433,2007-05-21T06:03:53Z,9.991422,77.979587,158.852,0.648573,0,0,No Data,No Data
1179727507,2007-05-21T06:05:07Z,9.993072,77.978764,158.693,0.8532507,0,0,No Data,No Data
1179727559,2007-05-21T06:05:59Z,9.994311,77.978357,159.693,0.998204,0,0,No Data,No Data
1179727606,2007-05-21T06:06:46Z,9.995136,77.977523,158.174,1.127841,0,0,No Data,No Data
1179727641,2007-05-21T06:07:21Z,9.995756,77.976897,159.041,1.225174,0,0,No Data,No Data
1179727694,2007-05-21T06:08:14Z,9.996582,77.975852,161.016,1.372072,0,0,No Data,No Data
1179727731,2007-05-21T06:08:51Z,9.996995,77.975015,166.309,1.474678,0,0,No Data,No Data
1179727761,2007-05-21T06:09:21Z,9.997407,77.974388,163.955,1.557313,0,0,No Data,No Data
1179727802,2007-05-21T06:10:02Z,9.998027,77.973553,161.827,1.671978,0,0,No Data,No Data
1179727831,2007-05-21T06:10:31Z,9.998440,77.972925,162.363,1.754738,0,0,No Data,No Data
1179727867,2007-05-21T06:11:07Z,9.999060,77.972300,161.224,1.852046,0,0,No Data,No Data
1179727908,2007-05-21T06:11:48Z,9.999888,77.971675,160.143,1.966944,0,0,No Data,No Data
1179727961,2007-05-21T06:12:41Z,10.000923,77.970840,161.542,2.11412,0,0,No Data,No Data
1179728025,2007-05-21T06:13:45Z,10.001958,77.969582,163.874,2.293886,0,0,No Data,No Data
1179728055,2007-05-21T06:14:15Z,10.002372,77.968951,163.218,2.376981,0,0,No Data,No Data
1179728104,2007-05-21T06:15:04Z,10.002993,77.967905,166.511,2.510861,0,0,No Data,No Data
1179728133,2007-05-21T06:15:33Z,10.003407,77.967279,166.628,2.59349,0,0,No Data,No Data
1179728150,2007-05-21T06:15:50Z,10.003407,77.966856,164.553,2.639761,0,0,No Data,No Data
1179728211,2007-05-21T06:16:51Z,10.003820,77.965381,164.585,2.807851,0,0,No Data,No Data
1179728245,2007-05-21T06:17:25Z,10.004027,77.964538,165.48,2.903112,0,0,No Data,No Data
1179728290,2007-05-21T06:18:10Z,10.004442,77.963485,163.486,3.027446,0,0,No Data,No Data
1179728324,2007-05-21T06:18:44Z,10.004649,77.962641,163.35,3.122741,0,0,No Data,No Data
1179728369,2007-05-21T06:19:29Z,10.005063,77.961588,163.17,3.247019,0,0,No Data,No Data
1179728421,2007-05-21T06:20:21Z,10.005477,77.960324,167.626,3.393029,0,0,No Data,No Data
1179728456,2007-05-21T06:20:56Z,10.006099,77.959696,167.253,3.490672,0,0,No Data,No Data
1179728493,2007-05-21T06:21:33Z,10.006514,77.958855,165.298,3.593779,0,0,No Data,No Data
1179728553,2007-05-21T06:22:33Z,10.007343,77.957594,167.511,3.759997,0,0,No Data,No Data
