UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,10.083375,77.879230,197.636,0,0,0,No Data,No Data
1179727225,2007-05-21T06:00:25Z,10.083378,77.879874,194.458,0.0705982,0,0,No Data,No Data
1179727276,2007-05-21T06:01:16Z,10.083385,77.881161,190.282,0.2117116,0,0,No Data,No Data
1179727311,2007-05-21T06:01:51Z,10.083605,77.882017,189.454,0.3087368,0,0,No Data,No Data
1179727373,2007-05-21T06:02:53Z,10.084021,77.883527,188.594,0.4806358,0,0,No Data,No Data
1179727443,2007-05-21T06:04:03Z,10.084443,77.885249,189.489,0.6751535,0,0,No Data,No Data
1179727470,2007-05-21T06:04:30Z,10.084659,77.885891,192.129,0.7496394,0,0,No Data,No Data
1179727505,2007-05-21T06:05:05Z,10.084879,77.886748,195.437,0.8467916,0,0,No Data,No Data
1179727573,2007-05-21T06:06:13Z,10.085103,77.888464,194.141,1.036584,0,0,No Data,No Data
1179727615,2007-05-21T06:06:55Z,10.085109,77.889538,190.152,1.154336,0,0,No Data,No Data
1179727649,2007-05-21T06:07:29Z,10.085113,77.890397,188.319,1.248542,0,0,No Data,No Data
1179727709,2007-05-21T06:08:29Z,10.085116,77.891903,188.716,1.413633,0,0,No Data,No Data
1179727760,2007-05-21T06:09:20Z,10.085118,77.893193,187.882,1.555131,0,0,No Data,No Data
1179727794,2007-05-21T06:09:54Z,10.085120,77.894054,188.721,1.649551,0,0,No Data,No Data
1179727862,2007-05-21T06:11:02Z,10.084908,77.895776,184.922,1.839861,0,0,No Data,No Data
1179727893,2007-05-21T06:11:33Z,10.084478,77.896425,184.279,1.925614,0,0,No Data,No Data
1179727945,2007-05-21T06:12:25Z,10.084265,77.897717,184.206,2.069226,0,0,No Data,No Data
1179728000,2007-05-21T06:13:20Z,10.083405,77.898798,185.981,2.221545,0,0,No Data,No Data
1179728049,2007-05-21T06:14:09Z,10.082761,77.899877,186.832,2.359878,0,0,No Data,No Data
1179728086,2007-05-21T06:14:46Z,10.082117,77.900526,189.595,2.460932,0,0,No Data,No Data
1179728110,2007-05-21T06:15:10Z,10.081687,77.900959,193.07,2.528341,0,0,No Data,No Data
1179728159,2007-05-21T06:15:59Z,10.080828,77.901824,188.799,2.663008,0,0,No Data,No Data
1179728201,2007-05-21T06:16:41Z,10.080184,77.902687,186.444,2.781727,0,0,No Data,No Data
1179728262,2007-05-21T06:17:42Z,10.079111,77.903768,185.356,2.94994,0,0,No Data,No Data
1179728308,2007-05-21T06:18:28Z,10.078683,77.904844,184.733,3.077211,0,0,No Data,No Data
1179728338,2007-05-21T06:18:58Z,10.078254,77.905491,184.991,3.162745,0,0,No Data,No Data
1179728381,2007-05-21T06:19:41Z,10.078248,77.906567,187.559,3.280746,0,0,No Data,No Data
1179728432,2007-05-21T06:20:32Z,10.078246,77.907857,185.264,3.422192,0,0,No Data,No Data
1179728508,2007-05-21T06:21:48Z,10.078254,77.909789,186.282,3.634035,0,0,No Data,No Data
1179728576,2007-05-21T06:22:56Z,10.078259,77.911508,185.271,3.822461,0,0,No Data,No Data
1179728635,2007-05-21T06:23:55Z,10.078261,77.913011,182.016,3.987313,0,0,No Data,No Data
1179728669,2007-05-21T06:24:29Z,10.078262,77.913871,181.532,4.08162,0,0,No Data,No Data
1179728729,2007-05-21T06:25:29Z,10.078262,77.915375,181.588,4.246547,0,0,No Data,No Data
1179728797,2007-05-21T06:26:37Z,10.078252,77.917095,182.418,4.435138,0,0,No Data,No Data
1179728856,2007-05-21T06:27:36Z,10.078251,77.918599,183.092,4.600042,0,0,No Data,No Data
1179728924,2007-05-21T06:28:44Z,10.078253,77.920318,183.322,4.788471,0,0,No Data,No Data
1179728959,2007-05-21T06:29:19Z,10.078040,77.921177,183.565,4.885612,0,0,No Data,No Data
1179729002,2007-05-21T06:30:02Z,10.077828,77.922251,182.607,5.005771,0,0,No Data,No Data
1179729048,2007-05-21T06:30:48Z,10.077401,77.923326,181.883,5.132823,0,0,No Data,No Data
1179729108,2007-05-21T06:31:48Z,10.077189,77.924829,181.78,5.299345,0,0,No Data,No Data
1179729150,2007-05-21T06:32:30Z,10.076544,77.925689,183.774,5.417823,0,0,No Data,No Data
1179729230,2007-05-21T06:33:50Z,10.075482,77.927407,179.62,5.640183,0,0,No Data,No Data
1179729273,2007-05-21T06:34:33Z,10.074840,77.928265,179.869,5.758361,0,0,No Data,No Data
1179729330,2007-05-21T06:35:30Z,10.074198,77.929553,179.574,5.916648,0,0,No Data,No Data
1179729403,2007-05-21T06:36:43Z,10.073128,77.931055,178.0,6.119818,0,0,No Data,No Data
1179729451,2007-05-21T06:37:31Z,10.072272,77.931912,179.403,6.25364,0,0,No Data,No Data
1179729506,2007-05-21T06:38:26Z,10.071201,77.932768,180.056,6.405339,0,0,No Data,No Data
1179729544,2007-05-21T06:39:04Z,10.070345,77.933196,179.329,6.511467,0,0,No Data,No Data
1179729601,2007-05-21T06:40:01Z,10.069060,77.933836,181.446,6.670765,0,0,No Data,No Data
1179729644,2007-05-21T06:40:44Z,10.068203,77.934477,181.257,6.789244,0,0,No Data,No Data
1179729720,2007-05-21T06:42:00Z,10.066495,77.935331,181.726,7.001123,0,0,No Data,No Data
1179729755,2007-05-21T06:42:35Z,10.065642,77.935543,181.546,7.098876,0,0,No Data,No Data
1179729798,2007-05-21T06:43:18Z,10.064789,77.936184,180.146,7.216953,0,0,No Data,No Data
1179729833,2007-05-21T06:43:53Z,10.063940,77.936397,179.596,7.314302,0,0,No Data,No Data
1179729871,2007-05-21T06:44:31Z,10.063087,77.936823,177.701,7.420077,0,0,No Data,No Data
1179729906,2007-05-21T06:45:06Z,10.062229,77.937033,180.711,7.51827,0,0,No Data,No Data
1179729963,2007-05-21T06:46:03Z,10.060952,77.937672,183.384,7.676685,0,0,No Data,No Data
1179730013,2007-05-21T06:46:53Z,10.059890,77.938311,179.711,7.814114,0,0,No Data,No Data
1179730055,2007-05-21T06:47:35Z,10.059042,77.938951,179.263,7.931747,0,0,No Data,No Data
1179730098,2007-05-21T06:48:18Z,10.058193,77.939591,177.24,8.04946,0,0,No Data,No Data
1179730121,2007-05-21T06:48:41Z,10.057767,77.940017,176.355,8.115988,0,0,No Data,No Data
1179730159,2007-05-21T06:49:19Z,10.057342,77.940870,176.794,8.220849,0,0,No Data,No Data
1179730202,2007-05-21T06:50:02Z,10.056704,77.941723,174.137,8.338268,0,0,No Data,No Data
1179730251,2007-05-21T06:50:51Z,10.056067,77.942789,173.652,8.474994,0,0,No Data,No Data
1179730331,2007-05-21T06:52:11Z,10.055005,77.944494,174.389,8.696163,0,0,No Data,No Data
1179730399,2007-05-21T06:53:19Z,10.054156,77.945985,177.998,8.885016,0,0,No Data,No Data
1179730485,2007-05-21T06:54:45Z,10.053095,77.947902,177.113,9.126082,0,0,No Data,No Data
1179730542,2007-05-21T06:55:42Z,10.052460,77.949180,178.906,9.28304,0,0,No Data,No Data
1179730578,2007-05-21T06:56:18Z,10.051826,77.949818,176.751,9.382425,0,0,No Data,No Data
1179730642,2007-05-21T06:57:22Z,10.051193,77.951311,176.416,9.560594,0,0,No Data,No Data
1179730684,2007-05-21T06:58:04Z,10.050559,77.952162,176.328,9.677538,0,0,No Data,No Data
1179730722,2007-05-21T06:58:42Z,10.049713,77.952584,176.182,9.782443,0,0,No Data,No Data
1179730790,2007-05-21T06:59:50Z,10.048227,77.953425,180.889,9.971786,0,0,No Data,No Data
1179730813,2007-05-21T07:00:13Z,10.047803,77.953848,180.382,10.03797,0,0,No Data,No Data
1179730878,2007-05-21T07:01:18Z,10.046322,77.954478,178.839,10.21666,0,0,No Data,No Data
1179730939,2007-05-21T07:02:19Z,10.044843,77.954895,172.71,10.38752,0,0,No Data,No Data
1179730988,2007-05-21T07:03:08Z,10.043790,77.955529,172.349,10.52385,0,0,No Data,No Data
1179731068,2007-05-21T07:04:28Z,10.042103,77.956585,168.714,10.74446,0,0,No Data,No Data
1179731129,2007-05-21T07:05:29Z,10.040830,77.957420,170.712,10.91317,0,0,No Data,No Data
1179731176,2007-05-21T07:06:16Z,10.039980,77.958258,177.237,11.04502,0,0,No Data,No Data
1179731223,2007-05-21T07:07:03Z,10.039140,77.959106,179.646,11.17684,0,0,No Data,No Data
1179731277,2007-05-21T07:07:57Z,10.038303,77.960169,181.44,11.32607,0,0,No Data,No Data
1179731345,2007-05-21T07:09:05Z,10.037461,77.961652,175.028,11.51375,0,0,No Data,No Data
1179731371,2007-05-21T07:09:31Z,10.037251,77.962289,175.898,11.58739,0,0,No Data,No Data
1179731420,2007-05-21T07:10:20Z,10.036620,77.963347,173.915,11.72302,0,0,No Data,No Data
1179731481,2007-05-21T07:11:21Z,10.036200,77.964832,173.342,11.89248,0,0,No Data,No Data
1179731545,2007-05-21T07:12:25Z,10.035572,77.966319,173.313,12.06991,0,0,No Data,No Data
1179731605,2007-05-21T07:13:25Z,10.034732,77.967589,172.424,12.23765,0,0,No Data,No Data
1179731677,2007-05-21T07:14:37Z,10.033682,77.969068,175.768,12.43753,0,0,No Data,No Data
1179731742,2007-05-21T07:15:42Z,10.032632,77.970333,171.894,12.61893,0,0,No Data,No Data
1179731843,2007-05-21T07:17:23Z,10.030953,77.972229,169.422,12.8985,0,0,No Data,No Data
1179731918,2007-05-21T07:18:38Z,10.030114,77.973920,169.526,13.10608,0,0,No Data,No Data
1179731985,2007-05-21T07:19:45Z,10.029275,77.975397,170.875,13.29303,0,0,No Data,No Data
1179732052,2007-05-21T07:20:52Z,10.028437,77.976874,170.719,13.47994,0,0,No Data,No Data
1179732101,2007-05-21T07:21:41Z,10.027808,77.977928,169.695,13.61508,0,0,No Data,No Data
1179732150,2007-05-21T07:22:30Z,10.027180,77.978982,169.136,13.75017,0,0,No Data,No Data
1179732203,2007-05-21T07:23:23Z,10.026342,77.980033,167.395,13.89842,0,0,No Data,No Data
1179732250,2007-05-21T07:24:10Z,10.025505,77.980871,169.139,14.02931,0,0,No Data,No Data
1179732286,2007-05-21T07:24:46Z,10.024877,77.981499,167.023,14.1275,0,0,No Data,No Data
1179732351,2007-05-21T07:25:51Z,10.023621,77.982542,166.521,14.30816,0,0,No Data,No Data
1179732423,2007-05-21T07:27:03Z,10.022157,77.983582,166.672,14.50709,0,0,No Data,No Data
1179732497,2007-05-21T07:28:17Z,10.020485,77.984411,166.824,14.71417,0,0,No Data,No Data
1179732532,2007-05-21T07:28:52Z,10.019859,77.985037,165.914,14.81203,0,0,No Data,No Data
1179732614,2007-05-21T07:30:14Z,10.017980,77.985861,164.847,15.03989,0,0,No Data,No Data
1179732722,2007-05-21T07:32:02Z,10.015686,77.987313,166.484,15.34081,0,0,No Data,No Data
1179732799,2007-05-21T07:33:19Z,10.014227,77.988561,167.081,15.55316,0,0,No Data,No Data
1179732866,2007-05-21T07:34:26Z,10.012770,77.989388,165.125,15.73897,0,0,No Data,No Data
1179732948,2007-05-21T07:35:48Z,10.011313,77.990846,160.592,15.96672,0,0,No Data,No Data
1179733008,2007-05-21T07:36:48Z,10.010065,77.991676,159.158,16.13275,0,0,No Data,No Data
1179733061,2007-05-21T07:37:41Z,10.009234,77.992722,162.289,16.28008,0,0,No Data,No Data
1179733149,2007-05-21T07:39:09Z,10.007572,77.994175,160.193,16.52422,0,0,No Data,No Data
1179733213,2007-05-21T07:40:13Z,10.006534,77.995425,159.321,16.70352,0,0,No Data,No Data
1179733278,2007-05-21T07:41:18Z,10.005497,77.996675,157.002,16.88277,0,0,No Data,No Data
1179733359,2007-05-21T07:42:39Z,10.004045,77.998128,156.601,17.10972,0,0,No Data,No Data
1179733442,2007-05-21T07:44:02Z,10.002802,77.999795,157.067,17.339,0,0,No Data,No Data
1179733501,2007-05-21T07:45:01Z,10.001973,78.001048,156.195,17.50448,0,0,No Data,No Data
1179733598,2007-05-21T07:46:38Z,10.000731,78.003145,155.348,17.77277,0,0,No Data,No Data
1179733687,2007-05-21T07:48:07Z,9.999903,78.005240,156.033,18.02031,0,0,No Data,No Data
1179733769,2007-05-21T07:49:29Z,9.998455,78.006693,156.973,18.24693,0,0,No Data,No Data
1179733843,2007-05-21T07:50:43Z,9.997628,78.008365,156.955,18.4521,0,0,No Data,No Data
1179733895,2007-05-21T07:51:35Z,9.997215,78.009625,155.589,18.59774,0,0,No Data,No Data
1179733930,2007-05-21T07:52:10Z,9.996595,78.010246,153.417,18.69475,0,0,No Data,No Data
