UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,34.310215,74.559521,1574.961,0,0,0,No Data,No Data
1179727264,2007-05-21T06:01:04Z,34.308892,74.558431,1575.631,0.1781046,0,0,No Data,No Data
1179727316,2007-05-21T06:01:56Z,34.307790,74.557612,1575.088,0.322022,0,0,No Data,No Data
1179727356,2007-05-21T06:02:36Z,34.306909,74.557063,1575.674,0.4323088,0,0,No Data,No Data
1179727403,2007-05-21T06:03:23Z,34.305808,74.556509,1575.817,0.5649824,0,0,No Data,No Data
1179727492,2007-05-21T06:04:52Z,34.304047,74.554882,1574.57,0.8115314,0,0,No Data,No Data
1179727517,2007-05-21T06:05:17Z,34.303606,74.554344,1576.802,0.8811416,0,0,No Data,No Data
1179727561,2007-05-21T06:06:01Z,34.302726,74.553531,1575.575,1.004252,0,0,No Data,No Data
1179727611,2007-05-21T06:06:51Z,34.301846,74.552455,1576.567,1.143404,0,0,No Data,No Data
1179727662,2007-05-21T06:07:42Z,34.300967,74.551379,1576.366,1.28254,0,0,No Data,No Data
1179727755,2007-05-21T06:09:15Z,34.299427,74.549233,1575.712,1.543893,0,0,No Data,No Data
1179727819,2007-05-21T06:10:19Z,34.298547,74.547630,1576.0,1.720822,0,0,No Data,No Data
1179727876,2007-05-21T06:11:16Z,34.297668,74.546292,1574.314,1.877975,0,0,No Data,No Data
1179727938,2007-05-21T06:12:18Z,34.296570,74.544950,1575.846,2.051595,0,0,No Data,No Data
1179728002,2007-05-21T06:13:22Z,34.295692,74.543349,1574.7,2.228298,0,0,No Data,No Data
1179728040,2007-05-21T06:14:00Z,34.295033,74.542544,1575.012,2.332397,0,0,No Data,No Data
1179728091,2007-05-21T06:14:51Z,34.294375,74.541213,1576.25,2.475052,0,0,No Data,No Data
1179728150,2007-05-21T06:15:50Z,34.293715,74.539617,1574.541,2.639104,0,0,No Data,No Data
1179728209,2007-05-21T06:16:49Z,34.293056,74.538023,1575.125,2.803012,0,0,No Data,No Data
1179728304,2007-05-21T06:18:24Z,34.291740,74.535625,1575.706,3.067708,0,0,No Data,No Data
1179728360,2007-05-21T06:19:20Z,34.291300,74.534036,1575.629,3.221831,0,0,No Data,No Data
1179728407,2007-05-21T06:20:07Z,34.290860,74.532710,1576.748,3.353199,0,0,No Data,No Data
1179728478,2007-05-21T06:21:18Z,34.289983,74.530849,1575.961,3.550151,0,0,No Data,No Data
1179728525,2007-05-21T06:22:05Z,34.289543,74.529523,1575.194,3.681502,0,0,No Data,No Data
1179728589,2007-05-21T06:23:09Z,34.289103,74.527669,1575.691,3.85885,0,0,No Data,No Data
1179728656,2007-05-21T06:24:16Z,34.288444,74.525813,1576.873,4.04463,0,0,No Data,No Data
1179728673,2007-05-21T06:24:33Z,34.288443,74.525285,1577.041,4.093129,0,0,No Data,No Data
1179728744,2007-05-21T06:25:44Z,34.288220,74.523172,1576.026,4.288999,0,0,No Data,No Data
1179728830,2007-05-21T06:27:10Z,34.287342,74.520786,1579.51,4.529158,0,0,No Data,No Data
1179728902,2007-05-21T06:28:22Z,34.286901,74.518673,1581.718,4.729592,0,0,No Data,No Data
1179728974,2007-05-21T06:29:34Z,34.286461,74.516561,1581.723,4.929833,0,0,No Data,No Data
1179729089,2007-05-21T06:31:29Z,34.286235,74.513132,1580.69,5.246226,0,0,No Data,No Data
1179729180,2007-05-21T06:33:00Z,34.285576,74.510490,1581.083,5.500064,0,0,No Data,No Data
1179729284,2007-05-21T06:34:44Z,34.285572,74.507342,1579.579,5.78961,0,0,No Data,No Data
1179729363,2007-05-21T06:36:03Z,34.285348,74.504967,1577.255,6.009405,0,0,No Data,No Data
1179729410,2007-05-21T06:36:50Z,34.284909,74.503645,1577.183,6.140373,0,0,No Data,No Data
1179729445,2007-05-21T06:37:25Z,34.284907,74.502594,1579.468,6.237035,0,0,No Data,No Data
1179729489,2007-05-21T06:38:09Z,34.284905,74.501279,1579.0,6.357927,0,0,No Data,No Data
1179729584,2007-05-21T06:39:44Z,34.284900,74.498388,1578.343,6.623833,0,0,No Data,No Data
1179729637,2007-05-21T06:40:37Z,34.284896,74.496809,1578.042,6.769073,0,0,No Data,No Data
1179729689,2007-05-21T06:41:29Z,34.284893,74.495229,1576.311,6.914345,0,0,No Data,No Data
1179729776,2007-05-21T06:42:56Z,34.284887,74.492596,1578.12,7.156504,0,0,No Data,No Data
1179729828,2007-05-21T06:43:48Z,34.284883,74.491016,1578.829,7.3018,0,0,No Data,No Data
1179729855,2007-05-21T06:44:15Z,34.284881,74.490226,1577.609,7.374422,0,0,No Data,No Data
1179729902,2007-05-21T06:45:02Z,34.284442,74.488906,1578.061,7.505237,0,0,No Data,No Data
1179729941,2007-05-21T06:45:41Z,34.284004,74.487850,1580.467,7.61389,0,0,No Data,No Data
1179729980,2007-05-21T06:46:20Z,34.283566,74.486794,1581.126,7.722553,0,0,No Data,No Data
1179730016,2007-05-21T06:46:56Z,34.283346,74.485740,1582.669,7.822548,0,0,No Data,No Data
1179730094,2007-05-21T06:48:14Z,34.282470,74.483629,1582.706,8.039809,0,0,No Data,No Data
1179730172,2007-05-21T06:49:32Z,34.281594,74.481519,1582.142,8.256913,0,0,No Data,No Data
1179730209,2007-05-21T06:50:09Z,34.281373,74.480461,1581.661,8.357263,0,0,No Data,No Data
1179730252,2007-05-21T06:50:52Z,34.280717,74.479404,1577.523,8.478751,0,0,No Data,No Data
1179730322,2007-05-21T06:52:02Z,34.279845,74.477568,1578.105,8.673507,0,0,No Data,No Data
1179730408,2007-05-21T06:53:28Z,34.278971,74.475200,1580.504,8.91202,0,0,No Data,No Data
1179730521,2007-05-21T06:55:21Z,34.277878,74.472043,1579.645,9.226856,0,0,No Data,No Data
1179730611,2007-05-21T06:56:51Z,34.276786,74.469675,1582.435,9.476195,0,0,No Data,No Data
1179730647,2007-05-21T06:57:27Z,34.276567,74.468624,1582.096,9.575827,0,0,No Data,No Data
1179730686,2007-05-21T06:58:06Z,34.275697,74.468097,1578.566,9.684023,0,0,No Data,No Data
1179730718,2007-05-21T06:58:38Z,34.275045,74.467567,1579.837,9.771409,0,0,No Data,No Data
1179730749,2007-05-21T06:59:09Z,34.274392,74.467040,1580.626,9.858692,0,0,No Data,No Data
1179730810,2007-05-21T07:00:10Z,34.273306,74.465727,1581.245,10.02954,0,0,No Data,No Data
1179730854,2007-05-21T07:00:54Z,34.272437,74.464939,1580.864,10.1504,0,0,No Data,No Data
1179730917,2007-05-21T07:01:57Z,34.271566,74.463363,1585.509,10.32476,0,0,No Data,No Data
1179730972,2007-05-21T07:02:52Z,34.270697,74.462050,1582.903,10.47948,0,0,No Data,No Data
1179731011,2007-05-21T07:03:31Z,34.270261,74.461000,1583.473,10.5875,0,0,No Data,No Data
1179731029,2007-05-21T07:03:49Z,34.270260,74.460476,1582.402,10.63568,0,0,No Data,No Data
1179731084,2007-05-21T07:04:44Z,34.271123,74.459166,1581.348,10.78981,0,0,No Data,No Data
1179731152,2007-05-21T07:05:52Z,34.272420,74.457857,1582.735,10.97788,0,0,No Data,No Data
1179731238,2007-05-21T07:07:18Z,34.274151,74.456283,1584.943,11.21894,0,0,No Data,No Data
1179731266,2007-05-21T07:07:46Z,34.274801,74.456020,1585.248,11.29525,0,0,No Data,No Data
1179731302,2007-05-21T07:08:22Z,34.275668,74.455758,1580.258,11.39479,0,0,No Data,No Data
1179731382,2007-05-21T07:09:42Z,34.277620,74.455232,1580.0,11.6175,0,0,No Data,No Data
1179731429,2007-05-21T07:10:29Z,34.278708,74.455757,1580.0,11.74793,0,0,No Data,No Data
1179731466,2007-05-21T07:11:06Z,34.279361,74.456545,1579.966,11.85069,0,0,No Data,No Data
