UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,30.241926,78.829685,544.168,0,0,0,No Data,No Data
1179727254,2007-05-21T06:00:54Z,30.240742,78.828962,588.423,0.1490147,0,0,No Data,No Data
1179727373,2007-05-21T06:02:53Z,30.237770,78.828692,667.825,0.4808093,0,0,No Data,No Data
1179727508,2007-05-21T06:05:08Z,30.234421,78.829185,641.083,0.8566211,0,0,No Data,No Data
1179727545,2007-05-21T06:05:45Z,30.233511,78.829169,642.004,0.9578772,0,0,No Data,No Data
1179727618,2007-05-21T06:06:58Z,30.231684,78.829123,612.522,1.161322,0,0,No Data,No Data
1179727675,2007-05-21T06:07:55Z,30.230277,78.828933,667.392,1.319002,0,0,No Data,No Data
1179727728,2007-05-21T06:08:48Z,30.229005,78.828474,754.409,1.467308,0,0,No Data,No Data
1179727765,2007-05-21T06:09:25Z,30.228207,78.827954,796.238,1.569159,0,0,No Data,No Data
1179727827,2007-05-21T06:10:27Z,30.226883,78.827028,832.661,1.741305,0,0,No Data,No Data
1179727874,2007-05-21T06:11:14Z,30.225975,78.826181,802.417,1.87104,0,0,No Data,No Data
1179727903,2007-05-21T06:11:43Z,30.225442,78.825565,807.522,1.954865,0,0,No Data,No Data
1179727934,2007-05-21T06:12:14Z,30.224908,78.824948,803.41,2.038732,0,0,No Data,No Data
1179727987,2007-05-21T06:13:07Z,30.224060,78.823771,731.709,2.186062,0,0,No Data,No Data
1179728016,2007-05-21T06:13:36Z,30.223543,78.823174,706.969,2.26729,0,0,No Data,No Data
1179728055,2007-05-21T06:14:15Z,30.223048,78.822201,674.175,2.37583,0,0,No Data,No Data
1179728076,2007-05-21T06:14:36Z,30.222892,78.821615,641.637,2.434747,0,0,No Data,No Data
1179728110,2007-05-21T06:15:10Z,30.222759,78.820650,613.599,2.528729,0,0,No Data,No Data
1179728147,2007-05-21T06:15:47Z,30.222426,78.819653,601.032,2.63149,0,0,No Data,No Data
1179728196,2007-05-21T06:16:36Z,30.222262,78.818239,586.499,2.768722,0,0,No Data,No Data
1179728245,2007-05-21T06:17:25Z,30.222280,78.816827,574.266,2.904498,0,0,No Data,No Data
1179728282,2007-05-21T06:18:02Z,30.221731,78.815988,569.327,3.005688,0,0,No Data,No Data
1179728326,2007-05-21T06:18:46Z,30.220799,78.815322,577.304,3.127589,0,0,No Data,No Data
1179728347,2007-05-21T06:19:07Z,30.220426,78.814892,581.334,3.186164,0,0,No Data,No Data
1179728406,2007-05-21T06:20:06Z,30.219294,78.813789,603.386,3.350853,0,0,No Data,No Data
1179728457,2007-05-21T06:20:57Z,30.218312,78.812859,640.073,3.492077,0,0,No Data,No Data
1179728490,2007-05-21T06:21:30Z,30.217730,78.812187,694.834,3.583489,0,0,No Data,No Data
1179728533,2007-05-21T06:22:13Z,30.216958,78.811295,680.365,3.704855,0,0,No Data,No Data
1179728588,2007-05-21T06:23:08Z,30.215997,78.810185,720.161,3.855901,0,0,No Data,No Data
1179728641,2007-05-21T06:24:01Z,30.215241,78.808908,762.414,4.004742,0,0,No Data,No Data
1179728680,2007-05-21T06:24:40Z,30.214883,78.807891,750.964,4.110337,0,0,No Data,No Data
1179728708,2007-05-21T06:25:08Z,30.214879,78.807080,743.968,4.188335,0,0,No Data,No Data
1179728754,2007-05-21T06:25:54Z,30.214478,78.805813,770.445,4.318077,0,0,No Data,No Data
1179728796,2007-05-21T06:26:36Z,30.214472,78.804598,781.507,4.43491,0,0,No Data,No Data
1179728866,2007-05-21T06:27:46Z,30.214463,78.802572,759.914,4.629788,0,0,No Data,No Data
1179728937,2007-05-21T06:28:57Z,30.214445,78.800536,760.607,4.825608,0,0,No Data,No Data
1179728994,2007-05-21T06:29:54Z,30.214432,78.798909,744.233,4.982129,0,0,No Data,No Data
