UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,11.244640,76.173690,19.378,0,0,0,No Data,No Data
1179727231,2007-05-21T06:00:31Z,11.245248,76.174197,24.151,0.0875069,0,0,No Data,No Data
1179727252,2007-05-21T06:00:52Z,11.245612,76.174576,24.91,0.1455475,0,0,No Data,No Data
1179727292,2007-05-21T06:01:32Z,11.246465,76.175087,28.871,0.2557602,0,0,No Data,No Data
1179727314,2007-05-21T06:01:54Z,11.246953,76.175342,31.205,0.3168766,0,0,No Data,No Data
1179727349,2007-05-21T06:02:29Z,11.247685,76.175852,35.932,0.4155987,0,0,No Data,No Data
1179727371,2007-05-21T06:02:51Z,11.248174,76.176108,35.01,0.4768826,0,0,No Data,No Data
1179727394,2007-05-21T06:03:14Z,11.248664,76.176364,33.401,0.5382956,0,0,No Data,No Data
1179727425,2007-05-21T06:03:45Z,11.249402,76.176623,32.645,0.6252226,0,0,No Data,No Data
1179727443,2007-05-21T06:04:03Z,11.249769,76.176879,32.285,0.6747478,0,0,No Data,No Data
1179727468,2007-05-21T06:04:28Z,11.250378,76.177010,33.287,0.7441641,0,0,No Data,No Data
1179727499,2007-05-21T06:04:59Z,11.251118,76.177270,31.86,0.8313634,0,0,No Data,No Data
1179727525,2007-05-21T06:05:25Z,11.251739,76.177404,26.67,0.9021001,0,0,No Data,No Data
1179727556,2007-05-21T06:05:56Z,11.252487,76.177665,20.525,0.9901407,0,0,No Data,No Data
1179727591,2007-05-21T06:06:31Z,11.253352,76.177801,24.943,1.087589,0,0,No Data,No Data
1179727613,2007-05-21T06:06:53Z,11.253720,76.178184,23.704,1.146143,0,0,No Data,No Data
1179727650,2007-05-21T06:07:30Z,11.254583,76.178572,23.861,1.251217,0,0,No Data,No Data
1179727677,2007-05-21T06:07:57Z,11.255199,76.178831,26.449,1.325496,0,0,No Data,No Data
1179727715,2007-05-21T06:08:35Z,11.256065,76.179220,29.632,1.430918,0,0,No Data,No Data
1179727740,2007-05-21T06:09:00Z,11.256557,76.179605,28.723,1.500097,0,0,No Data,No Data
1179727767,2007-05-21T06:09:27Z,11.257175,76.179865,28.484,1.574547,0,0,No Data,No Data
1179727788,2007-05-21T06:09:48Z,11.257545,76.180249,26.886,1.633356,0,0,No Data,No Data
1179727810,2007-05-21T06:10:10Z,11.258040,76.180508,23.577,1.695331,0,0,No Data,No Data
1179727833,2007-05-21T06:10:33Z,11.258532,76.180766,22.34,1.757008,0,0,No Data,No Data
1179727878,2007-05-21T06:11:18Z,11.259393,76.181535,28.843,1.884545,0,0,No Data,No Data
1179727900,2007-05-21T06:11:40Z,11.259769,76.181921,28.89,1.944082,0,0,No Data,No Data
1179727925,2007-05-21T06:12:05Z,11.260272,76.182310,26.447,2.014474,0,0,No Data,No Data
1179727946,2007-05-21T06:12:26Z,11.260645,76.182696,23.977,2.073766,0,0,No Data,No Data
1179727990,2007-05-21T06:13:10Z,11.261271,76.183596,23.019,2.194313,0,0,No Data,No Data
1179728028,2007-05-21T06:13:48Z,11.261875,76.184359,21.289,2.301474,0,0,No Data,No Data
1179728056,2007-05-21T06:14:16Z,11.262368,76.184872,20.555,2.379981,0,0,No Data,No Data
1179728077,2007-05-21T06:14:37Z,11.262487,76.185381,25.015,2.43714,0,0,No Data,No Data
1179728099,2007-05-21T06:14:59Z,11.262858,76.185766,29.039,2.496163,0,0,No Data,No Data
1179728135,2007-05-21T06:15:35Z,11.263351,76.186535,27.227,2.596526,0,0,No Data,No Data
1179728156,2007-05-21T06:15:56Z,11.263722,76.186921,29.782,2.655552,0,0,No Data,No Data
1179728196,2007-05-21T06:16:36Z,11.264217,76.187818,35.837,2.767984,0,0,No Data,No Data
1179728217,2007-05-21T06:16:57Z,11.264337,76.188328,38.392,2.825293,0,0,No Data,No Data
1179728260,2007-05-21T06:17:40Z,11.264958,76.189228,37.718,2.945582,0,0,No Data,No Data
1179728290,2007-05-21T06:18:10Z,11.265330,76.189870,35.633,3.027076,0,0,No Data,No Data
1179728312,2007-05-21T06:18:32Z,11.265574,76.190382,35.103,3.089275,0,0,No Data,No Data
1179728341,2007-05-21T06:19:01Z,11.265945,76.191024,36.483,3.170739,0,0,No Data,No Data
1179728369,2007-05-21T06:19:29Z,11.266199,76.191670,35.671,3.246758,0,0,No Data,No Data
1179728391,2007-05-21T06:19:51Z,11.266445,76.192182,32.32,3.309118,0,0,No Data,No Data
1179728436,2007-05-21T06:20:36Z,11.266937,76.193208,26.458,3.433896,0,0,No Data,No Data
1179728477,2007-05-21T06:21:17Z,11.267427,76.194105,35.036,3.546061,0,0,No Data,No Data
1179728506,2007-05-21T06:21:46Z,11.267794,76.194745,38.3,3.627107,0,0,No Data,No Data
1179728546,2007-05-21T06:22:26Z,11.268283,76.195641,37.908,3.739159,0,0,No Data,No Data
1179728580,2007-05-21T06:23:00Z,11.268650,76.196410,37.69,3.832565,0,0,No Data,No Data
1179728623,2007-05-21T06:23:43Z,11.269264,76.197308,38.715,3.952115,0,0,No Data,No Data
1179728654,2007-05-21T06:24:14Z,11.269497,76.198067,43.352,4.039081,0,0,No Data,No Data
1179728695,2007-05-21T06:24:55Z,11.270006,76.198980,37.833,4.153856,0,0,No Data,No Data
1179728739,2007-05-21T06:25:39Z,11.270399,76.200028,29.375,4.276413,0,0,No Data,No Data
1179728761,2007-05-21T06:26:01Z,11.270530,76.200550,30.156,4.335284,0,0,No Data,No Data
1179728802,2007-05-21T06:26:42Z,11.271040,76.201466,29.681,4.450376,0,0,No Data,No Data
1179728820,2007-05-21T06:27:00Z,11.271290,76.201855,29.049,4.501245,0,0,No Data,No Data
1179728841,2007-05-21T06:27:21Z,11.271406,76.202364,29.515,4.558328,0,0,No Data,No Data
1179728879,2007-05-21T06:27:59Z,11.271771,76.203260,31.563,4.664351,0,0,No Data,No Data
1179728905,2007-05-21T06:28:25Z,11.272157,76.203791,30.225,4.736566,0,0,No Data,No Data
1179728936,2007-05-21T06:28:56Z,11.272280,76.204564,25.69,4.822116,0,0,No Data,No Data
1179728965,2007-05-21T06:29:25Z,11.272658,76.205216,25.089,4.904856,0,0,No Data,No Data
1179729004,2007-05-21T06:30:04Z,11.273032,76.206123,27.501,5.012364,0,0,No Data,No Data
1179729025,2007-05-21T06:30:25Z,11.273154,76.206637,26.496,5.070211,0,0,No Data,No Data
1179729055,2007-05-21T06:30:55Z,11.273527,76.207286,26.906,5.152416,0,0,No Data,No Data
1179729093,2007-05-21T06:31:33Z,11.273891,76.208182,28.719,5.258432,0,0,No Data,No Data
1179729104,2007-05-21T06:31:44Z,11.274014,76.208439,29.197,5.289752,0,0,No Data,No Data
1179729145,2007-05-21T06:32:25Z,11.274507,76.209343,29.019,5.402771,0,0,No Data,No Data
1179729175,2007-05-21T06:32:55Z,11.274882,76.209993,28.123,5.485125,0,0,No Data,No Data
