UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,11.240802,76.166535,22.805,0,0,0,No Data,No Data
1179727221,2007-05-21T06:00:21Z,11.241165,76.166913,25.076,0.0578043,0,0,No Data,No Data
1179727260,2007-05-21T06:01:00Z,11.242014,76.167420,27.511,0.1673793,0,0,No Data,No Data
1179727285,2007-05-21T06:01:25Z,11.242498,76.167796,27.0,0.2352266,0,0,No Data,No Data
1179727317,2007-05-21T06:01:57Z,11.243227,76.168175,27.379,0.3264648,0,0,No Data,No Data
1179727344,2007-05-21T06:02:24Z,11.243836,76.168430,24.192,0.3998217,0,0,No Data,No Data
1179727384,2007-05-21T06:03:04Z,11.244814,76.168682,21.572,0.5121464,0,0,No Data,No Data
1179727442,2007-05-21T06:04:02Z,11.246158,76.169189,23.553,0.6718146,0,0,No Data,No Data
1179727482,2007-05-21T06:04:42Z,11.247138,76.169447,23.599,0.7845907,0,0,No Data,No Data
1179727538,2007-05-21T06:05:38Z,11.248486,76.169833,27.526,0.9405943,0,0,No Data,No Data
1179727592,2007-05-21T06:06:32Z,11.249712,76.170345,30.182,1.088173,0,0,No Data,No Data
1179727637,2007-05-21T06:07:17Z,11.250819,76.170605,36.212,1.214681,0,0,No Data,No Data
1179727684,2007-05-21T06:08:04Z,11.251922,76.170993,37.408,1.344619,0,0,No Data,No Data
1179727737,2007-05-21T06:08:57Z,11.253149,76.171507,40.445,1.492359,0,0,No Data,No Data
1179727778,2007-05-21T06:09:38Z,11.254137,76.171766,42.139,1.605957,0,0,No Data,No Data
1179727832,2007-05-21T06:10:32Z,11.255252,76.172528,37.751,1.755474,0,0,No Data,No Data
1179727868,2007-05-21T06:11:08Z,11.255994,76.173038,37.078,1.855171,0,0,No Data,No Data
1179727901,2007-05-21T06:11:41Z,11.256730,76.173424,39.911,1.947363,0,0,No Data,No Data
1179727926,2007-05-21T06:12:06Z,11.257218,76.173808,41.127,2.016065,0,0,No Data,No Data
1179727955,2007-05-21T06:12:35Z,11.257831,76.174192,41.354,2.09627,0,0,No Data,No Data
1179727987,2007-05-21T06:13:07Z,11.258456,76.174702,38.299,2.185484,0,0,No Data,No Data
1179728015,2007-05-21T06:13:35Z,11.258953,76.175212,35.42,2.264039,0,0,No Data,No Data
1179728064,2007-05-21T06:14:24Z,11.259820,76.176105,34.361,2.401318,0,0,No Data,No Data
1179728104,2007-05-21T06:15:04Z,11.260575,76.176745,26.997,2.510757,0,0,No Data,No Data
1179728129,2007-05-21T06:15:29Z,11.261078,76.177131,22.41,2.580902,0,0,No Data,No Data
1179728154,2007-05-21T06:15:54Z,11.261575,76.177516,21.87,2.6505,0,0,No Data,No Data
1179728186,2007-05-21T06:16:26Z,11.262187,76.178030,27.114,2.738853,0,0,No Data,No Data
1179728221,2007-05-21T06:17:01Z,11.262809,76.178671,28.431,2.83737,0,0,No Data,No Data
1179728243,2007-05-21T06:17:23Z,11.263180,76.179055,26.217,2.896344,0,0,No Data,No Data
1179728268,2007-05-21T06:17:48Z,11.263681,76.179442,24.006,2.966429,0,0,No Data,No Data
1179728293,2007-05-21T06:18:13Z,11.264048,76.179953,22.166,3.035651,0,0,No Data,No Data
1179728314,2007-05-21T06:18:34Z,11.264418,76.180338,24.136,3.094583,0,0,No Data,No Data
1179728356,2007-05-21T06:19:16Z,11.265162,76.181109,29.903,3.21274,0,0,No Data,No Data
1179728378,2007-05-21T06:19:38Z,11.265528,76.181493,34.449,3.271306,0,0,No Data,No Data
1179728403,2007-05-21T06:20:03Z,11.266028,76.181881,35.402,3.341335,0,0,No Data,No Data
1179728417,2007-05-21T06:20:17Z,11.266281,76.182139,33.973,3.381282,0,0,No Data,No Data
1179728447,2007-05-21T06:20:47Z,11.266912,76.182530,31.451,3.463557,0,0,No Data,No Data
1179728479,2007-05-21T06:21:19Z,11.267412,76.183174,21.327,3.55332,0,0,No Data,No Data
1179728504,2007-05-21T06:21:44Z,11.267788,76.183689,23.405,3.623469,0,0,No Data,No Data
1179728537,2007-05-21T06:22:17Z,11.268290,76.184333,25.523,3.713365,0,0,No Data,No Data
1179728576,2007-05-21T06:22:56Z,11.268912,76.185106,27.919,3.822595,0,0,No Data,No Data
1179728623,2007-05-21T06:23:43Z,11.269532,76.186134,36.688,3.954421,0,0,No Data,No Data
1179728656,2007-05-21T06:24:16Z,11.270035,76.186780,41.54,4.044601,0,0,No Data,No Data
1179728690,2007-05-21T06:24:50Z,11.270417,76.187555,33.433,4.139361,0,0,No Data,No Data
1179728725,2007-05-21T06:25:25Z,11.271036,76.188200,35.033,4.237987,0,0,No Data,No Data
1179728779,2007-05-21T06:26:19Z,11.271748,76.189344,48.049,4.385972,0,0,No Data,No Data
1179728829,2007-05-21T06:27:09Z,11.272252,76.190504,49.38,4.52453,0,0,No Data,No Data
1179728910,2007-05-21T06:28:30Z,11.273260,76.192314,48.738,4.751884,0,0,No Data,No Data
1179728959,2007-05-21T06:29:19Z,11.273634,76.193473,43.804,4.885141,0,0,No Data,No Data
1179729008,2007-05-21T06:30:08Z,11.274133,76.194633,41.865,5.023493,0,0,No Data,No Data
1179729061,2007-05-21T06:31:01Z,11.274502,76.195919,33.964,5.169833,0,0,No Data,No Data
1179729099,2007-05-21T06:31:39Z,11.274854,76.196808,35.138,5.274596,0,0,No Data,No Data
1179729123,2007-05-21T06:32:03Z,11.275219,76.197320,43.808,5.343791,0,0,No Data,No Data
1179729156,2007-05-21T06:32:36Z,11.275466,76.198092,52.168,5.432521,0,0,No Data,No Data
1179729189,2007-05-21T06:33:09Z,11.275741,76.198883,42.691,5.524214,0,0,No Data,No Data
1179729223,2007-05-21T06:33:43Z,11.276134,76.199672,32.504,5.620883,0,0,No Data,No Data
1179729269,2007-05-21T06:34:29Z,11.276642,76.200715,26.322,5.748075,0,0,No Data,No Data
1179729276,2007-05-21T06:34:36Z,11.276769,76.200846,26.192,5.768313,0,0,No Data,No Data
1179729306,2007-05-21T06:35:06Z,11.277146,76.201496,27.804,5.850876,0,0,No Data,No Data
1179729327,2007-05-21T06:35:27Z,11.277266,76.202009,30.218,5.908514,0,0,No Data,No Data
1179729356,2007-05-21T06:35:56Z,11.277638,76.202656,31.67,5.990454,0,0,No Data,No Data
1179729382,2007-05-21T06:36:22Z,11.278014,76.203177,30.346,6.061132,0,0,No Data,No Data
1179729424,2007-05-21T06:37:04Z,11.278535,76.204102,22.806,6.177679,0,0,No Data,No Data
1179729450,2007-05-21T06:37:30Z,11.278658,76.204747,22.763,6.249461,0,0,No Data,No Data
1179729471,2007-05-21T06:37:51Z,11.279022,76.205129,23.671,6.307724,0,0,No Data,No Data
1179729498,2007-05-21T06:38:18Z,11.279258,76.205766,27.942,6.3822,0,0,No Data,No Data
1179729532,2007-05-21T06:38:52Z,11.279634,76.206546,29.954,6.477118,0,0,No Data,No Data
1179729558,2007-05-21T06:39:18Z,11.280022,76.207077,28.428,6.549465,0,0,No Data,No Data
1179729595,2007-05-21T06:39:55Z,11.280541,76.207873,25.209,6.653868,0,0,No Data,No Data
1179729607,2007-05-21T06:40:07Z,11.280669,76.208136,24.741,6.685946,0,0,No Data,No Data
1179729651,2007-05-21T06:40:51Z,11.281431,76.208929,25.941,6.807204,0,0,No Data,No Data
1179729686,2007-05-21T06:41:26Z,11.282057,76.209582,38.961,6.906928,0,0,No Data,No Data
1179729723,2007-05-21T06:42:03Z,11.282687,76.210239,45.467,7.007301,0,0,No Data,No Data
1179729764,2007-05-21T06:42:44Z,11.283464,76.210915,29.55,7.12108,0,0,No Data,No Data
1179729793,2007-05-21T06:43:13Z,11.284100,76.211319,34.003,7.204578,0,0,No Data,No Data
1179729815,2007-05-21T06:43:35Z,11.284589,76.211572,41.377,7.265695,0,0,No Data,No Data
1179729846,2007-05-21T06:44:06Z,11.285234,76.211982,40.054,7.350371,0,0,No Data,No Data
1179729877,2007-05-21T06:44:37Z,11.285882,76.212395,37.38,7.435553,0,0,No Data,No Data
1179729912,2007-05-21T06:45:12Z,11.286660,76.212812,40.553,7.533506,0,0,No Data,No Data
1179729941,2007-05-21T06:45:41Z,11.287333,76.213116,38.035,7.6155,0,0,No Data,No Data
1179729968,2007-05-21T06:46:08Z,11.287859,76.213529,30.658,7.68947,0,0,No Data,No Data
1179730005,2007-05-21T06:46:45Z,11.288778,76.213700,30.226,7.793559,0,0,No Data,No Data
1179730047,2007-05-21T06:47:27Z,11.289670,76.214238,37.811,7.908984,0,0,No Data,No Data
1179730086,2007-05-21T06:48:06Z,11.290561,76.214645,40.593,8.01778,0,0,No Data,No Data
1179730131,2007-05-21T06:48:51Z,11.291599,76.215069,36.658,8.142326,0,0,No Data,No Data
1179730174,2007-05-21T06:49:34Z,11.292521,76.215630,30.503,8.26188,0,0,No Data,No Data
1179730209,2007-05-21T06:50:09Z,11.293183,76.216182,30.257,8.35715,0,0,No Data,No Data
1179730229,2007-05-21T06:50:29Z,11.293537,76.216559,29.44,8.414187,0,0,No Data,No Data
1179730259,2007-05-21T06:50:59Z,11.293908,76.217208,33.23,8.496241,0,0,No Data,No Data
1179730288,2007-05-21T06:51:28Z,11.293862,76.217953,39.962,8.577825,0,0,No Data,No Data
1179730313,2007-05-21T06:51:53Z,11.293835,76.218582,43.672,8.646653,0,0,No Data,No Data
1179730353,2007-05-21T06:52:33Z,11.293801,76.219596,45.471,8.757452,0,0,No Data,No Data
1179730358,2007-05-21T06:52:38Z,11.293799,76.219725,44.893,8.77154,0,0,No Data,No Data
1179730386,2007-05-21T06:53:06Z,11.293593,76.220414,40.14,8.850195,0,0,No Data,No Data
1179730403,2007-05-21T06:53:23Z,11.293487,76.220821,37.261,8.896218,0,0,No Data,No Data
1179730459,2007-05-21T06:54:19Z,11.293027,76.222179,49.933,9.053108,0,0,No Data,No Data
1179730473,2007-05-21T06:54:33Z,11.293005,76.222550,54.491,9.093751,0,0,No Data,No Data
1179730509,2007-05-21T06:55:09Z,11.292994,76.223453,55.103,9.192346,0,0,No Data,No Data
1179730539,2007-05-21T06:55:39Z,11.293298,76.224156,42.489,9.276303,0,0,No Data,No Data
1179730587,2007-05-21T06:56:27Z,11.293843,76.225245,35.354,9.409873,0,0,No Data,No Data
1179730617,2007-05-21T06:56:57Z,11.293945,76.226006,37.127,9.49384,0,0,No Data,No Data
1179730651,2007-05-21T06:57:31Z,11.294385,76.226732,48.112,9.587074,0,0,No Data,No Data
1179730677,2007-05-21T06:57:57Z,11.294501,76.227375,59.476,9.658557,0,0,No Data,No Data
1179730713,2007-05-21T06:58:33Z,11.294719,76.228258,71.699,9.758005,0,0,No Data,No Data
1179730729,2007-05-21T06:58:49Z,11.294838,76.228643,73.156,9.802181,0,0,No Data,No Data
1179730769,2007-05-21T06:59:29Z,11.295248,76.229593,66.16,9.915576,0,0,No Data,No Data
1179730809,2007-05-21T07:00:09Z,11.295335,76.230598,39.135,10.02574,0,0,No Data,No Data
1179730849,2007-05-21T07:00:49Z,11.295526,76.231582,18.024,10.13535,0,0,No Data,No Data
1179730894,2007-05-21T07:01:34Z,11.295745,76.232728,18.479,10.26288,0,0,No Data,No Data
1179730929,2007-05-21T07:02:09Z,11.295714,76.233613,26.767,10.35957,0,0,No Data,No Data
1179730971,2007-05-21T07:02:51Z,11.295721,76.234668,28.871,10.47481,0,0,No Data,No Data
1179731022,2007-05-21T07:03:42Z,11.295440,76.235945,22.909,10.61777,0,0,No Data,No Data
1179731102,2007-05-21T07:05:02Z,11.294925,76.237897,19.744,10.83848,0,0,No Data,No Data
1179731170,2007-05-21T07:06:10Z,11.294384,76.239554,21.115,11.02918,0,0,No Data,No Data
1179731209,2007-05-21T07:06:49Z,11.293990,76.240450,22.256,11.13647,0,0,No Data,No Data
1179731245,2007-05-21T07:07:25Z,11.293328,76.241062,27.206,11.23598,0,0,No Data,No Data
1179731277,2007-05-21T07:07:57Z,11.292787,76.241667,26.968,11.32537,0,0,No Data,No Data
1179731315,2007-05-21T07:08:35Z,11.291852,76.241853,29.449,11.43135,0,0,No Data,No Data
1179731336,2007-05-21T07:08:56Z,11.291323,76.241815,29.006,11.49031,0,0,No Data,No Data
1179731368,2007-05-21T07:09:28Z,11.290532,76.241759,28.304,11.57856,0,0,No Data,No Data
1179731410,2007-05-21T07:10:10Z,11.289494,76.241708,30.253,11.69423,0,0,No Data,No Data
1179731431,2007-05-21T07:10:31Z,11.288978,76.241555,32.621,11.75398,0,0,No Data,No Data
1179731472,2007-05-21T07:11:12Z,11.288068,76.241112,39.5,11.86622,0,0,No Data,No Data
1179731522,2007-05-21T07:12:02Z,11.287025,76.240395,39.17,12.00618,0,0,No Data,No Data
1179731561,2007-05-21T07:12:41Z,11.286349,76.239666,34.908,12.11559,0,0,No Data,No Data
1179731600,2007-05-21T07:13:20Z,11.285620,76.239041,30.853,12.22154,0,0,No Data,No Data
1179731697,2007-05-21T07:14:57Z,11.283859,76.237322,27.967,12.4929,0,0,No Data,No Data
1179731748,2007-05-21T07:15:48Z,11.282979,76.236398,26.921,12.63345,0,0,No Data,No Data
1179731804,2007-05-21T07:16:44Z,11.282077,76.235309,31.094,12.789,0,0,No Data,No Data
1179731868,2007-05-21T07:17:48Z,11.281039,76.234071,38.611,12.96681,0,0,No Data,No Data
1179731955,2007-05-21T07:19:15Z,11.279535,76.232491,30.588,13.2071,0,0,No Data,No Data
1179732039,2007-05-21T07:20:39Z,11.278139,76.230885,25.07,13.4413,0,0,No Data,No Data
1179732120,2007-05-21T07:22:00Z,11.276862,76.229269,35.948,13.6678,0,0,No Data,No Data
