UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,16.529008,80.547582,20.956,0,0,0,No Data,No Data
1179727311,2007-05-21T06:01:51Z,16.531770,80.547803,21.238,0.3084001,0,0,No Data,No Data
1179727562,2007-05-21T06:06:02Z,16.538035,80.547580,21.156,1.00638,0,0,No Data,No Data
1179727758,2007-05-21T06:09:18Z,16.542920,80.547246,18.0,1.551496,0,0,No Data,No Data
1179727925,2007-05-21T06:12:05Z,16.547062,80.547577,26.213,2.014021,0,0,No Data,No Data
1179728087,2007-05-21T06:14:47Z,16.548866,80.551343,18.0,2.463348,0,0,No Data,No Data
1179728198,2007-05-21T06:16:38Z,16.548654,80.554222,23.589,2.771548,0,0,No Data,No Data
1179728364,2007-05-21T06:19:24Z,16.548335,80.558541,23.992,3.233887,0,0,No Data,No Data
1179728503,2007-05-21T06:21:43Z,16.548069,80.562140,26.022,3.619187,0,0,No Data,No Data
1179728614,2007-05-21T06:23:34Z,16.547857,80.565020,22.558,3.927461,0,0,No Data,No Data
1179728780,2007-05-21T06:26:20Z,16.547538,80.569339,22.675,4.389773,0,0,No Data,No Data
1179728947,2007-05-21T06:29:07Z,16.547218,80.573658,21.609,4.852146,0,0,No Data,No Data
1179729030,2007-05-21T06:30:30Z,16.547058,80.575818,20.53,5.083428,0,0,No Data,No Data
1179729179,2007-05-21T06:32:59Z,16.545411,80.579308,22.0,5.498548,0,0,No Data,No Data
1179729341,2007-05-21T06:35:41Z,16.543074,80.582741,21.96,5.947957,0,0,No Data,No Data
1179729565,2007-05-21T06:39:25Z,16.539940,80.587560,23.933,6.569452,0,0,No Data,No Data
1179729865,2007-05-21T06:44:25Z,16.535318,80.593708,22.656,7.403243,0,0,No Data,No Data
1179730043,2007-05-21T06:47:23Z,16.532290,80.597086,23.87,7.896792,0,0,No Data,No Data
1179730241,2007-05-21T06:50:41Z,16.529245,80.601149,23.094,8.447238,0,0,No Data,No Data
