UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,16.572065,80.519164,19.521,0,0,0,No Data,No Data
1179727368,2007-05-21T06:02:48Z,16.572437,80.523538,18.982,0.4686402,0,0,No Data,No Data
1179727618,2007-05-21T06:06:58Z,16.571960,80.530017,25.993,1.162062,0,0,No Data,No Data
1179727988,2007-05-21T06:13:08Z,16.569200,80.539210,24.01,2.190036,0,0,No Data,No Data
1179728527,2007-05-21T06:22:07Z,16.565431,80.552667,22.712,3.686112,0,0,No Data,No Data
1179728904,2007-05-21T06:28:24Z,16.561979,80.561806,21.457,4.734319,0,0,No Data,No Data
1179729242,2007-05-21T06:34:02Z,16.559959,80.570335,20.354,5.671873,0,0,No Data,No Data
1179729471,2007-05-21T06:37:51Z,16.558152,80.575985,22.355,6.307454,0,0,No Data,No Data
1179729667,2007-05-21T06:41:07Z,16.557089,80.580970,19.836,6.852422,0,0,No Data,No Data
1179729833,2007-05-21T06:43:53Z,16.556769,80.585290,20.571,7.314845,0,0,No Data,No Data
1179730009,2007-05-21T06:46:49Z,16.555068,80.589500,20.917,7.802361,0,0,No Data,No Data
1179730205,2007-05-21T06:50:05Z,16.554004,80.594485,19.308,8.347361,0,0,No Data,No Data
1179730401,2007-05-21T06:53:21Z,16.552940,80.599470,19.395,8.89245,0,0,No Data,No Data
1179730657,2007-05-21T06:57:37Z,16.551078,80.605841,22.425,9.60331,0,0,No Data,No Data
1179730851,2007-05-21T07:00:51Z,16.550704,80.610883,26.923,10.14306,0,0,No Data,No Data
1179731103,2007-05-21T07:05:03Z,16.549531,80.617311,20.425,10.84137,0,0,No Data,No Data
1179731446,2007-05-21T07:10:46Z,16.546816,80.625789,20.65,11.79528,0,0,No Data,No Data
1179731753,2007-05-21T07:15:53Z,16.545536,80.633657,21.647,12.64703,0,0,No Data,No Data
1179732004,2007-05-21T07:20:04Z,16.544363,80.640085,19.891,13.34541,0,0,No Data,No Data
1179732233,2007-05-21T07:23:53Z,16.542552,80.645738,21.107,13.98151,0,0,No Data,No Data
1179732344,2007-05-21T07:25:44Z,16.542337,80.648620,21.738,14.29004,0,0,No Data,No Data
