UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,26.601823,93.054940,59.027,0,0,0,No Data,No Data
1179728386,2007-05-21T06:19:46Z,26.573058,93.047173,78.577,3.294375,0,0,No Data,No Data
1179728707,2007-05-21T06:25:07Z,26.565848,93.043247,84.117,4.187135,0,0,No Data,No Data
1179729095,2007-05-21T06:31:35Z,26.556839,93.039304,436.546,5.264125,0,0,No Data,No Data
1179729389,2007-05-21T06:36:29Z,26.549681,93.037479,370.818,6.081432,0,0,No Data,No Data
1179729808,2007-05-21T06:43:28Z,26.540656,93.031571,107.339,7.245664,0,0,No Data,No Data
1179730964,2007-05-21T07:02:44Z,26.515431,93.015964,91.009,10.45543,0,0,No Data,No Data
1179731701,2007-05-21T07:15:01Z,26.499219,93.006220,91.574,12.50472,0,0,No Data,No Data
1179732261,2007-05-21T07:24:21Z,26.488368,92.996399,88.216,14.0593,0,0,No Data,No Data
1179733327,2007-05-21T07:42:07Z,26.468448,92.976704,79.093,17.02061,0,0,No Data,No Data
1179734650,2007-05-21T08:04:10Z,26.443113,92.953087,75.527,20.69426,0,0,No Data,No Data
1179735518,2007-05-21T08:18:38Z,26.426808,92.937145,77.17,23.10683,0,0,No Data,No Data
1179736486,2007-05-21T08:34:46Z,26.408706,92.919305,71.083,25.79477,0,0,No Data,No Data
1179737342,2007-05-21T08:49:02Z,26.392427,92.903858,135.963,28.17321,0,0,No Data,No Data
1179738204,2007-05-21T09:03:24Z,26.376138,92.888200,69.733,30.56625,0,0,No Data,No Data
1179739066,2007-05-21T09:17:46Z,26.359850,92.872491,68.374,32.96272,0,0,No Data,No Data
1179739626,2007-05-21T09:27:06Z,26.350759,92.860661,68.472,34.51735,0,0,No Data,No Data
1179739984,2007-05-21T09:33:04Z,26.345294,92.852765,67.655,35.5126,0,0,No Data,No Data
1179740592,2007-05-21T09:43:12Z,26.334417,92.840971,68.196,37.20094,0,0,No Data,No Data
1179741200,2007-05-21T09:53:20Z,26.323541,92.829181,67.2,38.88903,0,0,No Data,No Data
1179741717,2007-05-21T10:01:57Z,26.316236,92.817332,64.711,40.32404,0,0,No Data,No Data
1179742134,2007-05-21T10:08:54Z,26.310742,92.807452,72.998,41.4842,0,0,No Data,No Data
1179742750,2007-05-21T10:19:10Z,26.301622,92.793653,64.624,43.19509,0,0,No Data,No Data
1179743566,2007-05-21T10:32:46Z,26.288876,92.775934,65.549,45.46248,0,0,No Data,No Data
1179744242,2007-05-21T10:44:02Z,26.279726,92.760150,64.511,47.33859,0,0,No Data,No Data
1179744819,2007-05-21T10:53:39Z,26.272388,92.746333,64.267,48.94161,0,0,No Data,No Data
1179745909,2007-05-21T11:11:49Z,26.261277,92.718645,70.252,51.9699,0,0,No Data,No Data
1179746747,2007-05-21T11:25:47Z,26.253820,92.696872,61.842,54.29685,0,0,No Data,No Data
1179747912,2007-05-21T11:45:12Z,26.247996,92.665117,67.392,57.53311,0,0,No Data,No Data
1179749200,2007-05-21T12:06:40Z,26.247459,92.629284,65.449,61.11144,0,0,No Data,No Data
1179750559,2007-05-21T12:29:19Z,26.246882,92.591470,62.976,64.88768,0,0,No Data,No Data
1179751490,2007-05-21T12:44:50Z,26.246482,92.565601,59.881,67.47106,0,0,No Data,No Data
1179752777,2007-05-21T13:06:17Z,26.245918,92.529791,61.775,71.04727,0,0,No Data,No Data
1179753993,2007-05-21T13:26:33Z,26.245377,92.495976,59.078,74.42424,0,0,No Data,No Data
1179754278,2007-05-21T13:31:18Z,26.245249,92.488020,62.99,75.21872,0,0,No Data,No Data
1179755513,2007-05-21T13:51:53Z,26.250048,92.454100,59.157,78.64745,0,0,No Data,No Data
1179756888,2007-05-21T14:14:48Z,26.254767,92.416207,59.449,82.46719,0,0,No Data,No Data
1179757658,2007-05-21T14:27:38Z,26.261565,92.396171,61.585,84.60593,0,0,No Data,No Data
1179758630,2007-05-21T14:43:50Z,26.275459,92.373993,59.208,87.30682,0,0,No Data,No Data
1179759491,2007-05-21T14:58:11Z,26.289415,92.355787,59.288,89.69778,0,0,No Data,No Data
1179760453,2007-05-21T15:14:13Z,26.306934,92.337500,62.356,92.36901,0,0,No Data,No Data
1179761268,2007-05-21T15:27:48Z,26.322738,92.323225,57.908,94.63286,0,0,No Data,No Data
1179762183,2007-05-21T15:43:03Z,26.340288,92.306918,55.622,97.17546,0,0,No Data,No Data
1179762441,2007-05-21T15:47:21Z,26.345567,92.302821,58.032,97.89132,0,0,No Data,No Data
1179763056,2007-05-21T15:57:36Z,26.354234,92.288696,58.692,99.59915,0,0,No Data,No Data
1179763928,2007-05-21T16:12:08Z,26.366359,92.268519,58.268,102.0226,0,0,No Data,No Data
1179764843,2007-05-21T16:27:23Z,26.380264,92.248296,57.03,104.5652,0,0,No Data,No Data
1179765260,2007-05-21T16:34:20Z,26.385432,92.238223,56.983,105.7229,0,0,No Data,No Data
1179765462,2007-05-21T16:37:42Z,26.388925,92.234161,60.417,106.2845,0,0,No Data,No Data
