UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,27.352095,94.791151,99.7,0,0,0,No Data,No Data
1179728713,2007-05-21T06:25:13Z,27.315782,94.802824,98.426,4.204239,0,0,No Data,No Data
1179733121,2007-05-21T07:38:41Z,27.217282,94.857867,99.848,16.44846,0,0,No Data,No Data
1179737206,2007-05-21T08:46:46Z,27.124989,94.906492,101.197,27.79597,0,0,No Data,No Data
1179740447,2007-05-21T09:40:47Z,27.048302,94.935305,99.093,36.79844,0,0,No Data,No Data
1179742571,2007-05-21T10:16:11Z,26.996484,94.947769,105.942,42.69817,0,0,No Data,No Data
1179743553,2007-05-21T10:32:33Z,26.971996,94.948670,113.294,45.42584,0,0,No Data,No Data
1179744482,2007-05-21T10:48:02Z,26.948916,94.951136,148.742,48.00691,0,0,No Data,No Data
1179744917,2007-05-21T10:55:17Z,26.938067,94.950865,133.439,49.21497,0,0,No Data,No Data
1179745569,2007-05-21T11:06:09Z,26.921809,94.950452,128.558,51.02542,0,0,No Data,No Data
1179746275,2007-05-21T11:17:55Z,26.904206,94.949934,131.325,52.98575,0,0,No Data,No Data
1179747085,2007-05-21T11:31:25Z,26.886617,94.938783,124.039,55.23516,0,0,No Data,No Data
1179747963,2007-05-21T11:46:03Z,26.867737,94.926315,135.872,57.6745,0,0,No Data,No Data
1179748256,2007-05-21T11:50:56Z,26.860998,94.923139,131.387,58.48824,0,0,No Data,No Data
1179749267,2007-05-21T12:07:47Z,26.842116,94.904369,148.409,61.29791,0,0,No Data,No Data
1179749654,2007-05-21T12:14:14Z,26.835382,94.896602,156.959,62.37361,0,0,No Data,No Data
1179750740,2007-05-21T12:32:20Z,26.819251,94.872196,181.225,65.39086,0,0,No Data,No Data
1179751720,2007-05-21T12:48:40Z,26.805810,94.849330,187.263,68.11123,0,0,No Data,No Data
1179752607,2007-05-21T13:03:27Z,26.795058,94.827646,257.691,70.57606,0,0,No Data,No Data
1179752843,2007-05-21T13:07:23Z,26.792377,94.821777,326.971,71.23121,0,0,No Data,No Data
1179753282,2007-05-21T13:14:42Z,26.789685,94.809876,124.803,72.45122,0,0,No Data,No Data
1179753836,2007-05-21T13:23:56Z,26.786986,94.794691,125.171,73.9899,0,0,No Data,No Data
1179754423,2007-05-21T13:33:43Z,26.781612,94.779433,174.836,75.61998,0,0,No Data,No Data
1179755230,2007-05-21T13:47:10Z,26.778900,94.757071,117.72,77.86287,0,0,No Data,No Data
1179755827,2007-05-21T13:57:07Z,26.776193,94.740669,112.283,79.52063,0,0,No Data,No Data
1179756476,2007-05-21T14:07:56Z,26.774822,94.722601,118.284,81.32291,0,0,No Data,No Data
1179757301,2007-05-21T14:21:41Z,26.770767,94.699994,117.987,83.6148,0,0,No Data,No Data
1179758437,2007-05-21T14:40:37Z,26.768026,94.668394,129.865,86.77047,0,0,No Data,No Data
1179760127,2007-05-21T15:08:47Z,26.761236,94.621777,138.461,91.46543,0,0,No Data,No Data
1179761003,2007-05-21T15:23:23Z,26.757167,94.597750,137.837,93.89642,0,0,No Data,No Data
1179761224,2007-05-21T15:27:04Z,26.755815,94.591744,134.744,94.51205,0,0,No Data,No Data
1179761977,2007-05-21T15:39:37Z,26.754420,94.570753,123.504,96.60445,0,0,No Data,No Data
1179762684,2007-05-21T15:51:24Z,26.751696,94.551228,106.539,98.56895,0,0,No Data,No Data
1179762906,2007-05-21T15:55:06Z,26.750344,94.545225,109.127,99.18437,0,0,No Data,No Data
1179763499,2007-05-21T16:04:59Z,26.748958,94.528738,112.621,100.8306,0,0,No Data,No Data
1179764163,2007-05-21T16:16:03Z,26.744901,94.510736,136.403,102.6763,0,0,No Data,No Data
1179764538,2007-05-21T16:22:18Z,26.744866,94.500252,137.388,103.7185,0,0,No Data,No Data
1179764914,2007-05-21T16:28:34Z,26.744832,94.489758,121.061,104.7617,0,0,No Data,No Data
1179765391,2007-05-21T16:36:31Z,26.750114,94.477829,112.604,106.0854,0,0,No Data,No Data
1179765749,2007-05-21T16:42:29Z,26.754082,94.468851,108.587,107.0813,0,0,No Data,No Data
1179766467,2007-05-21T16:54:27Z,26.762020,94.450885,102.938,109.074,0,0,No Data,No Data
1179766994,2007-05-21T17:03:14Z,26.767307,94.437399,102.972,110.538,0,0,No Data,No Data
1179767856,2007-05-21T17:17:36Z,26.777908,94.416411,98.802,112.9348,0,0,No Data,No Data
1179768793,2007-05-21T17:33:13Z,26.789843,94.393903,94.88,115.5366,0,0,No Data,No Data
1179770084,2007-05-21T17:54:44Z,26.811134,94.366843,96.715,119.1212,0,0,No Data,No Data
1179770805,2007-05-21T18:06:45Z,26.823123,94.351788,89.906,121.1259,0,0,No Data,No Data
1179771831,2007-05-21T18:23:51Z,26.840458,94.330684,86.273,123.9755,0,0,No Data,No Data
1179772591,2007-05-21T18:36:31Z,26.853812,94.315585,85.598,126.0872,0,0,No Data,No Data
1179773025,2007-05-21T18:43:45Z,26.863188,94.309518,88.624,127.2925,0,0,No Data,No Data
1179773101,2007-05-21T18:45:01Z,26.864524,94.308006,87.485,127.5039,0,0,No Data,No Data
