Date,Temperature,Uncertainty,State,Country
1/1/1961,26.98,0.434,Andaman And Nicobar,India
2/1/1961,26.76,0.396,Andaman And Nicobar,India
3/1/1961,27.54,0.686,Andaman And Nicobar,India
4/1/1961,28.7,0.412,Andaman And Nicobar,India
5/1/1961,28.14,0.648,Andaman And Nicobar,India
6/1/1961,27.8,0.323,Andaman And Nicobar,India
7/1/1961,27.73,0.393,Andaman And Nicobar,India
8/1/1961,27.63,0.429,Andaman And Nicobar,India
9/1/1961,27.01,0.219,Andaman And Nicobar,India
10/1/1961,26.81,0.351,Andaman And Nicobar,India
11/1/1961,27.54,0.181,Andaman And Nicobar,India
12/1/1961,26.78,0.286,Andaman And Nicobar,India
1/1/1962,26.45,0.499,Andaman And Nicobar,India
2/1/1962,26.5,0.367,Andaman And Nicobar,India
3/1/1962,27.35,0.325,Andaman And Nicobar,India
4/1/1962,28.76,0.454,Andaman And Nicobar,India
5/1/1962,28.85,0.244,Andaman And Nicobar,India
6/1/1962,28.07,0.909,Andaman And Nicobar,India
7/1/1962,27.92,0.327,Andaman And Nicobar,India
8/1/1962,27.6,0.346,Andaman And Nicobar,India
9/1/1962,27.35,0.352,Andaman And Nicobar,India
10/1/1962,27.5,0.619,Andaman And Nicobar,India
11/1/1962,27.45,0.713,Andaman And Nicobar,India
12/1/1962,26.9,1.045,Andaman And Nicobar,India
1/1/1963,26.35,0.286,Andaman And Nicobar,India
2/1/1963,26.65,0.687,Andaman And Nicobar,India
3/1/1963,27.47,0.8,Andaman And Nicobar,India
4/1/1963,28.35,0.414,Andaman And Nicobar,India
5/1/1963,29.26,0.933,Andaman And Nicobar,India
6/1/1963,28.03,0.319,Andaman And Nicobar,India
7/1/1963,27.86,0.7,Andaman And Nicobar,India
8/1/1963,27.59,0.224,Andaman And Nicobar,India
9/1/1963,27.34,0.285,Andaman And Nicobar,India
10/1/1963,27.02,0.209,Andaman And Nicobar,India
11/1/1963,27.68,0.297,Andaman And Nicobar,India
12/1/1963,26.86,0.87,Andaman And Nicobar,India
1/1/1964,26.69,0.512,Andaman And Nicobar,India
2/1/1964,27.36,1.085,Andaman And Nicobar,India
3/1/1964,27.81,0.355,Andaman And Nicobar,India
4/1/1964,29,0.596,Andaman And Nicobar,India
5/1/1964,28.27,0.652,Andaman And Nicobar,India
6/1/1964,27.75,0.495,Andaman And Nicobar,India
7/1/1964,27.82,0.278,Andaman And Nicobar,India
8/1/1964,27.54,0.389,Andaman And Nicobar,India
9/1/1964,27.18,0.215,Andaman And Nicobar,India
10/1/1964,27.06,0.412,Andaman And Nicobar,India
11/1/1964,26.96,0.959,Andaman And Nicobar,India
12/1/1964,26.56,0.238,Andaman And Nicobar,India
1/1/1965,25.85,0.605,Andaman And Nicobar,India
2/1/1965,26.78,0.239,Andaman And Nicobar,India
3/1/1965,27.06,0.446,Andaman And Nicobar,India
4/1/1965,28.17,0.329,Andaman And Nicobar,India
5/1/1965,28.41,0.454,Andaman And Nicobar,India
6/1/1965,27.89,0.647,Andaman And Nicobar,India
7/1/1965,27.81,0.323,Andaman And Nicobar,India
8/1/1965,27.48,0.241,Andaman And Nicobar,India
9/1/1965,27.14,0.323,Andaman And Nicobar,India
10/1/1965,27.12,0.402,Andaman And Nicobar,India
11/1/1965,27.49,0.399,Andaman And Nicobar,India
12/1/1965,27.42,0.505,Andaman And Nicobar,India
1/1/1966,27.05,0.389,Andaman And Nicobar,India
2/1/1966,27.25,0.528,Andaman And Nicobar,India
3/1/1966,27.62,0.347,Andaman And Nicobar,India
4/1/1966,28.6,0.318,Andaman And Nicobar,India
5/1/1966,28.73,0.6,Andaman And Nicobar,India
6/1/1966,28.19,0.355,Andaman And Nicobar,India
7/1/1966,27.8,0.369,Andaman And Nicobar,India
8/1/1966,27.92,0.38,Andaman And Nicobar,India
9/1/1966,27.47,0.526,Andaman And Nicobar,India
10/1/1966,27.18,0.25,Andaman And Nicobar,India
11/1/1966,27.62,0.366,Andaman And Nicobar,India
12/1/1966,27.15,0.241,Andaman And Nicobar,India
1/1/1967,26.83,0.384,Andaman And Nicobar,India
2/1/1967,26.67,0.481,Andaman And Nicobar,India
3/1/1967,27.33,0.643,Andaman And Nicobar,India
4/1/1967,28.51,0.239,Andaman And Nicobar,India
5/1/1967,28.51,0.808,Andaman And Nicobar,India
6/1/1967,28.22,0.323,Andaman And Nicobar,India
7/1/1967,27.77,0.446,Andaman And Nicobar,India
8/1/1967,27.48,0.394,Andaman And Nicobar,India
9/1/1967,27.36,0.364,Andaman And Nicobar,India
10/1/1967,26.92,0.218,Andaman And Nicobar,India
11/1/1967,27.56,0.357,Andaman And Nicobar,India
12/1/1967,27.06,0.333,Andaman And Nicobar,India
1/1/1968,26.48,0.363,Andaman And Nicobar,India
2/1/1968,26.52,0.342,Andaman And Nicobar,India
3/1/1968,27.97,0.274,Andaman And Nicobar,India
4/1/1968,28.56,0.561,Andaman And Nicobar,India
5/1/1968,28.55,0.359,Andaman And Nicobar,India
6/1/1968,27.98,0.417,Andaman And Nicobar,India
7/1/1968,27.81,0.269,Andaman And Nicobar,India
8/1/1968,28.08,0.612,Andaman And Nicobar,India
9/1/1968,27.47,0.41,Andaman And Nicobar,India
10/1/1968,27.4,0.611,Andaman And Nicobar,India
11/1/1968,27.87,0.368,Andaman And Nicobar,India
12/1/1968,27.46,0.313,Andaman And Nicobar,India
1/1/1969,26.59,1.013,Andaman And Nicobar,India
2/1/1969,26.44,0.39,Andaman And Nicobar,India
3/1/1969,28.08,0.368,Andaman And Nicobar,India
4/1/1969,29.4,0.438,Andaman And Nicobar,India
5/1/1969,28.97,0.476,Andaman And Nicobar,India
6/1/1969,28.24,0.455,Andaman And Nicobar,India
7/1/1969,28,0.549,Andaman And Nicobar,India
8/1/1969,27.83,0.676,Andaman And Nicobar,India
9/1/1969,27.53,0.3,Andaman And Nicobar,India
10/1/1969,27.54,0.345,Andaman And Nicobar,India
11/1/1969,27.24,0.232,Andaman And Nicobar,India
12/1/1969,27.32,0.623,Andaman And Nicobar,India
1/1/1970,27.03,0.398,Andaman And Nicobar,India
2/1/1970,27.4,0.609,Andaman And Nicobar,India
3/1/1970,28.16,0.37,Andaman And Nicobar,India
4/1/1970,29.09,0.237,Andaman And Nicobar,India
5/1/1970,28.62,0.339,Andaman And Nicobar,India
6/1/1970,28.27,0.311,Andaman And Nicobar,India
7/1/1970,27.71,0.231,Andaman And Nicobar,India
8/1/1970,27.66,0.277,Andaman And Nicobar,India
9/1/1970,27.47,0.314,Andaman And Nicobar,India
10/1/1970,26.94,0.482,Andaman And Nicobar,India
11/1/1970,27.08,0.319,Andaman And Nicobar,India
12/1/1970,26.6,0.297,Andaman And Nicobar,India
1/1/1971,26.5,0.894,Andaman And Nicobar,India
2/1/1971,26.35,0.389,Andaman And Nicobar,India
3/1/1971,27.27,0.498,Andaman And Nicobar,India
4/1/1971,28.41,0.678,Andaman And Nicobar,India
5/1/1971,28.37,0.281,Andaman And Nicobar,India
6/1/1971,27.72,0.698,Andaman And Nicobar,India
7/1/1971,27.52,0.515,Andaman And Nicobar,India
8/1/1971,27.39,0.589,Andaman And Nicobar,India
9/1/1971,27.38,0.367,Andaman And Nicobar,India
10/1/1971,26.8,0.359,Andaman And Nicobar,India
11/1/1971,26.67,0.317,Andaman And Nicobar,India
12/1/1971,27.01,0.708,Andaman And Nicobar,India
1/1/1972,26.15,0.947,Andaman And Nicobar,India
2/1/1972,26.48,0.922,Andaman And Nicobar,India
3/1/1972,27.34,0.332,Andaman And Nicobar,India
4/1/1972,28.05,0.558,Andaman And Nicobar,India
5/1/1972,28.3,0.99,Andaman And Nicobar,India
6/1/1972,27.98,0.702,Andaman And Nicobar,India
7/1/1972,27.88,0.332,Andaman And Nicobar,India
8/1/1972,27.72,0.631,Andaman And Nicobar,India
9/1/1972,27.49,0.324,Andaman And Nicobar,India
10/1/1972,27.32,0.317,Andaman And Nicobar,India
11/1/1972,27.43,0.642,Andaman And Nicobar,India
12/1/1972,27.06,1.108,Andaman And Nicobar,India
1/1/1973,26.52,1.286,Andaman And Nicobar,India
2/1/1973,27.49,0.598,Andaman And Nicobar,India
3/1/1973,28.06,0.414,Andaman And Nicobar,India
4/1/1973,29.44,0.425,Andaman And Nicobar,India
5/1/1973,28.56,0.258,Andaman And Nicobar,India
6/1/1973,28.45,0.189,Andaman And Nicobar,India
7/1/1973,28.04,0.41,Andaman And Nicobar,India
8/1/1973,27.84,0.327,Andaman And Nicobar,India
9/1/1973,27.59,0.555,Andaman And Nicobar,India
10/1/1973,27.38,0.407,Andaman And Nicobar,India
11/1/1973,26.97,0.198,Andaman And Nicobar,India
12/1/1973,26.32,0.386,Andaman And Nicobar,India
1/1/1974,25.3,0.497,Andaman And Nicobar,India
2/1/1974,26.29,0.335,Andaman And Nicobar,India
3/1/1974,27.58,0.308,Andaman And Nicobar,India
4/1/1974,28.26,0.25,Andaman And Nicobar,India
5/1/1974,28.13,0.309,Andaman And Nicobar,India
6/1/1974,27.98,0.29,Andaman And Nicobar,India
7/1/1974,27.93,0.37,Andaman And Nicobar,India
8/1/1974,28.04,0.38,Andaman And Nicobar,India
9/1/1974,27.59,0.885,Andaman And Nicobar,India
10/1/1974,27.34,0.754,Andaman And Nicobar,India
11/1/1974,27.49,0.358,Andaman And Nicobar,India
12/1/1974,27.12,0.65,Andaman And Nicobar,India
1/1/1975,26.98,0.614,Andaman And Nicobar,India
2/1/1975,26.85,0.478,Andaman And Nicobar,India
3/1/1975,27.97,0.373,Andaman And Nicobar,India
4/1/1975,28.84,0.796,Andaman And Nicobar,India
5/1/1975,28.6,0.794,Andaman And Nicobar,India
6/1/1975,27.78,0.345,Andaman And Nicobar,India
7/1/1975,27.7,0.398,Andaman And Nicobar,India
8/1/1975,27.96,0.391,Andaman And Nicobar,India
9/1/1975,27.18,0.315,Andaman And Nicobar,India
10/1/1975,27.2,0.302,Andaman And Nicobar,India
11/1/1975,26.98,0.732,Andaman And Nicobar,India
12/1/1975,26.05,0.752,Andaman And Nicobar,India
1/1/1976,25.96,1.269,Andaman And Nicobar,India
2/1/1976,26.06,0.637,Andaman And Nicobar,India
3/1/1976,27.45,0.422,Andaman And Nicobar,India
4/1/1976,28.37,0.49,Andaman And Nicobar,India
5/1/1976,27.85,0.308,Andaman And Nicobar,India
6/1/1976,27.74,0.324,Andaman And Nicobar,India
7/1/1976,27.78,0.646,Andaman And Nicobar,India
8/1/1976,27.53,0.501,Andaman And Nicobar,India
9/1/1976,27.51,0.256,Andaman And Nicobar,India
10/1/1976,27.44,0.486,Andaman And Nicobar,India
11/1/1976,27.53,0.32,Andaman And Nicobar,India
12/1/1976,26.8,0.564,Andaman And Nicobar,India
1/1/1977,26.15,0.57,Andaman And Nicobar,India
2/1/1977,26.8,0.304,Andaman And Nicobar,India
3/1/1977,27.77,0.71,Andaman And Nicobar,India
4/1/1977,28.76,0.294,Andaman And Nicobar,India
5/1/1977,28.57,0.578,Andaman And Nicobar,India
6/1/1977,28.31,0.389,Andaman And Nicobar,India
7/1/1977,28.09,0.363,Andaman And Nicobar,India
8/1/1977,27.78,0.465,Andaman And Nicobar,India
9/1/1977,27.52,0.569,Andaman And Nicobar,India
10/1/1977,27.2,0.265,Andaman And Nicobar,India
11/1/1977,27.4,0.327,Andaman And Nicobar,India
12/1/1977,27.18,0.311,Andaman And Nicobar,India
1/1/1978,26.5,1.638,Andaman And Nicobar,India
2/1/1978,27.1,0.989,Andaman And Nicobar,India
3/1/1978,27.48,1.162,Andaman And Nicobar,India
4/1/1978,28.78,0.485,Andaman And Nicobar,India
5/1/1978,28.66,0.284,Andaman And Nicobar,India
6/1/1978,27.77,0.945,Andaman And Nicobar,India
7/1/1978,27.52,0.56,Andaman And Nicobar,India
8/1/1978,28.07,0.477,Andaman And Nicobar,India
9/1/1978,27.58,0.354,Andaman And Nicobar,India
10/1/1978,27.47,0.516,Andaman And Nicobar,India
11/1/1978,27.74,0.26,Andaman And Nicobar,India
12/1/1978,27.5,0.56,Andaman And Nicobar,India
1/1/1979,27.49,0.282,Andaman And Nicobar,India
2/1/1979,27.38,0.489,Andaman And Nicobar,India
3/1/1979,28.42,0.26,Andaman And Nicobar,India
4/1/1979,29.26,0.713,Andaman And Nicobar,India
5/1/1979,29.1,0.505,Andaman And Nicobar,India
6/1/1979,28.7,0.461,Andaman And Nicobar,India
7/1/1979,28.12,0.329,Andaman And Nicobar,India
8/1/1979,28.49,0.368,Andaman And Nicobar,India
9/1/1979,27.63,0.238,Andaman And Nicobar,India
10/1/1979,27.64,0.212,Andaman And Nicobar,India
