Index,Area_name,Diff_Altitude,Water_level,flood_level,state_index
1,Aalo,154.02,154.21,157.54,1
2,Aburoad,18.43,253.77,265.4,17
3,Ahmedabad,2.92,41.69,47.45,5
4,Bardang,156.38,373.72,379.17,18
5,Begusarai,0,32.69,34.72,3
6,Bhanpura,3.14,109.56,133.35,12
7,Bharuch,4.25,2.35,12.65,5
8,Bhuntar,122.98,15.85,18.7,7
9,Bilgi,15.98,394.29,407.34,10
10,Champa,4.9,544.68,534.84,4
11,Cuttack,4.17,25.87,27.61,15
12,Delhi,8.7,203.05,207.49,6
13,Dhemaji,124.39,77.24,79.21,2
14,Faizabad,2.54,103.03,107.61,20
15,Hammigi,9.44,528.8,541.12,10
16,Jenapur,12.86,22.04,24.78,15
17,Jiribam,3.53,86.93,94.23,14
18,Karnal,0.14,245.65,249.5,6
19,Kathapur,9.32,524.7,541.35,13
20,Kathihar,1.93,27.69,34.72,3
21,Kishanpur,-1.67,45.5,49.24,3
22,Kolhapur,6.24,524.7,541.35,13
23,Kongon,58.45,85.54,92.45,14
24,Kota,-0.19,232.58,248.68,17
25,Lakhimpur,4.4,77.24,79.21,2
26,Malwadi,36.84,284.8,301.33,12
27,Midnapore,4.53,18.94,29.87,18
28,Minagallu,2.86,15.85,18.7,0
29,Moradabad,2.4,187.03,192.88,20
30,Musiri,4.4,80.96,86.98,19
31,Nagaon,7.22,60.44,63.59,2
32,Panchhipara,-0.1,21.32,29.69,18
33,Pasighat,42.76,155.21,157.54,1
34,Perumbavoor,0.63,791.36,797,11
35,Phillaur,3,123.78,128.87,16
36,Poradih,7.69,586.98,590.06,9
37,Prayagraj,1.99,71.95,88.03,20
38,Purushottampur,3.05,17.16,19.65,15
39,Rajahmundry,5.54,13.78,20.48,0
40,Ranchi,3.46,569.21,576.87,9
41,Rishikesh,64.07,336.62,341.72,21
42,Saharsa,-0.99,45.5,49.29,3
43,Sangli,1.59,524.7,541.35,13
44,Sholavandan,3.31,129,134.76,19
45,Sivasagar,4.23,77.24,81.23,2
46,Sopore,0.42,1595,1584.96,8
47,Srinagaru,104.31,531.76,537.9,21
48,Vadapuram,3.35,2.16,12.14,11
49,Vijayawada,-1.41,0,11.57,0
